fiscal_year,regime,country,section,rows,qty_imp,val_imp,qty_efc,val_efc,duty
1868,A,B. N. A. Provinces,,2,36109,1196,8,120,32.0
1868,A,B. N. A. Provinces,FREE,11,3751,8150,3285,9155,0.0
1868,A,British West Indies,,3,1404200,38880,1455844,33712,11828.79
1868,A,British West Indies,FREE,1,0,200,0,200,0.0
1868,A,China,,1,937487,315222,345943,121031,42396.26
1868,A,France,,59,308485,665057,300963,379681,72907.71
1868,A,France,FREE,34,35978,755675,35926,755344,0.0
1868,A,Galls,,2,4330,4169,3041,30,0.0
1868,A,Germany,,56,264078,323959,332372,258728,105899.77
1868,A,Germany,FREE,15,4298,98755,5530870,553051,0.0
1868,A,Great Britain,,103,18459157,14239158,16529449,13096036,2343476.63
1868,A,Great Britain,FREE,194,8290911,10543260,5721680,11506174,0.0
1868,A,Lbs,,14,313711,9487,10198228,334959,155089.65
1868,A,Other F. Countries,,1,10,12,10,12,0.0
1868,A,Other Foreign Countries,,1,68886,0,68886,0,10332.9
1868,A,Other Foreign Countries,FREE,10,17332,6949,685,6949,0.0
1868,A,United States,,118,25481545,5580748,30348306,4973824,1340156.31
1868,A,United States,FREE,141,14996613,12260191,4131305,12564148,0.0
1868,B,Africa,FREE,2,0,0,11,334,34.5
1868,B,British Guiana,FREE,1,2528,1271,1862,938,1458.61
1868,B,British West Indies,FREE,34,14763778,769090,7589795,469482,218036.84
1868,B,China,FREE,1,0,0,1108,332,66.48
1868,B,Danish West Indies,FREE,3,31611,3605,24487,2973,89.22
1868,B,Dutch W. Indies,FREE,8,188323,5132,105435,3749,660.46
1868,B,E. W. Indies,FREE,2,163,3411,105,1861,187.1
1868,B,France,FREE,11,49821,40978,45912,50604,29998.36
1868,B,French West Indies,FREE,11,467428,27580,589633,32672,10124.8
1868,B,Great Britain,FREE,129,3066900,4174504,3251068,4099756,527498.94
1868,B,Holland,FREE,11,527983,95321,196160,51936,40327.51
1868,B,Madeira,FREE,2,0,0,96,63,84.6
1868,B,Newfoundland,FREE,22,72857,115608,71049,114742,608.17
1868,B,P. E. Island,FREE,36,799699,180666,794841,180091,824.91
1868,B,P.E. Island,FREE,1,150,57,150,57,11.32
1868,B,Portugal,FREE,2,0,0,2097,4153,610.3
1868,B,Saint Pierre,FREE,1,250,1940,250,1940,0.0
1868,B,Spain,FREE,5,20110,72115,22774,38555,5319.75
1868,B,Spanish West Indies,FREE,8,21242882,723233,16336175,427632,122286.35
1868,B,St. Domingo,FREE,3,1399,1383,3591,768,156.14
1868,B,St. P. Miquelon,FREE,8,6179,2166,6162,2132,138.55
1868,B,St. Pierre,FREE,1,0,275,0,275,13.75
1868,B,United States,FREE,130,3282740,2829867,2684011,2623466,174434.44
1869,A,"13,310—970",FREE,1,0,3271,0,3271,0.0
1869,A,"16,812—6,237",FREE,1,0,24354,0,24354,0.0
1869,A,"Aches—Pot, Pearl and Soda",FREE,1,1233,0,46,1233,0.0
1869,A,Africa,DUTIABLE,1,470,2839,416,2383,357.01
1869,A,B. N. A. Provinces,DUTIABLE,7,672559,30970,5577,1861,346.48
1869,A,B. N. A. Provinces,FREE,24,205580,463567,59662,476661,0.0
1869,A,Belgium,FREE,1,0,200,0,200,0.0
1869,A,British Guiana,DUTIABLE,1,3499,3499,2355,4021,602.91
1869,A,British West Indies,DUTIABLE,35,29846092,1298815,26398250,1144339,444677.9
1869,A,British West Indies,FREE,16,26797,51532,17268,67319,0.0
1869,A,China,DUTIABLE,6,32297,960626,1946,955460,301261.28
1869,A,Danish West Indies,DUTIABLE,2,241,437,222,28,2.9
1869,A,Flour—of Wheat and Rye,FREE,1,9,104,9,104,0.0
1869,A,France,DUTIABLE,86,828821,624245,433529,595140,122928.24
1869,A,France,FREE,32,61539,174027,51211,154021,1385.0
1869,A,French West Indies,DUTIABLE,1,795,112,795,112,16.86
1869,A,French West Indies,FREE,2,42000,42000,4200,43733,0.0
1869,A,Germany,DUTIABLE,66,22703996,1183425,14059641,722897,203110.42
1869,A,Germany,FREE,12,12242,6884,4415,12348,4317.0
1869,A,Great Britain,,4,36647,6631,36647,6631,670.03
1869,A,Great Britain,DUTIABLE,312,21043679,14813398,12403064,15395860,2172446.74
1869,A,Great Britain,FREE,299,3616669,5968645,3620945,5881963,434.49
1869,A,Holland,DUTIABLE,8,76,325,371,17382,385.4
1869,A,Holland,FREE,1,5378,5378,2702,4302,0.0
1869,A,Jersey,DUTIABLE,13,62975,61120,11612,66301,10057.13
1869,A,Jersey,FREE,1,5,16,5,16,0.0
1869,A,Lbs,DUTIABLE,2,3645,0,17167,3910,585.37
1869,A,Lbs,FREE,4,5536,0,90897,5209,2488.47
1869,A,Mexico,DUTIABLE,3,26,60,2,140,3.75
1869,A,Mille,FREE,2,2651,0,51,467,161.5
1869,A,Newfoundland,DUTIABLE,9,2505,1123,2578,1018,153.5
1869,A,Other For. Countries,DUTIABLE,12,921643,2702214,1425243,2671952,160422.5
1869,A,Other For. Countries,FREE,2,0,833,0,833,0.0
1869,A,P. E. Island,DUTIABLE,10,4046,1870,3079,2113,440.93
1869,A,P. E. Island,FREE,13,369858,176218,369867,37862,0.0
1869,A,P.E. Island,DUTIABLE,1,1090,67440,1136,67581,10147.84
1869,A,Pieces,FREE,1,7981,39814,7981,39814,0.0
1869,A,Pkgs,DUTIABLE,11,293665,0,2245041,295652,44331.01
1869,A,Portugal,DUTIABLE,2,1434,74,126,475,71.25
1869,A,Portugal,FREE,3,9301,696,9301,696,0.0
1869,A,Spain,DUTIABLE,3,142645,55293,130746,46894,9305.46
1869,A,Spain,FREE,6,58792,37588,53680,32496,0.0
1869,A,Spanish West Indies,DUTIABLE,11,8091359,297360,8761595,325409,115812.47
1869,A,Spanish West Indies,FREE,1,3332,0,158,2468,630.2
1869,A,St. Pierre,DUTIABLE,4,5,8,7,116,7.78
1869,A,St. Pierre Miquelon,DUTIABLE,1,4,65,4,65,9.75
1869,A,St. Pierre Miquelon,FREE,5,74780,81391,7553,81391,0.0
1869,A,United States,,5,69385,25223,69256,22720,3142.36
1869,A,United States,DUTIABLE,344,18100443,6128065,20932160,5678729,968766.34
1869,A,United States,FREE,285,12834944,12095123,9210434,11672783,22812.28
1870,A,B. N. A. Provinces,FREE,8,251,338446,20247,321169,2019.23
1870,A,Belgium,FREE,24,2740,225878,8653,231739,34892.37
1870,A,Brazil,FREE,1,14,159,14,159,0.0
1870,A,British Guiana,DUTIABLE,3,10947114,221457,55362,214,0.0
