gold_commodity,unit,total_tier,bycountry_tier,gold_years,benchmark_years,total_ok_years,bycountry_ok_years,gold_peak_total,pipeline_match
Petroleum,Gallons,SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,189953945,PETROLEUM
Gold Leave,Number,SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,89634100,GOLD|Leaves of
Woollen Manufactures Stuffs,Yards,SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,81912246,WOOLLEN MANUFACTURES|Stuffs
Cotton Manufactures Other than Muslins,Pieces,SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,58561796,COTTON MANUFACTURES|Other than Muslins
Leather Dressed,Lbs. (Pounds),SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,39485980,LEATHER|Dressed
Woollen Yarn For Weaving,Lbs. (Pounds),SOLID,SOLID,4,1876;1881;1886;1896,1876;1881;1886;1896,1876;1881;1886;1896,18688650,WOOLLEN YARN|For Weaving
Straw Platting for Hats,Lbs. (Pounds),SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,11669802,"STRAW PLATTING, FOR MAKING HATS OR BONNETS"
Cork Manufactured,Lbs. (Pounds),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,11358407,COFFEE|Manufactured
Wine Red,Gallons,SOLID,SOLID,3,1876;1881;1886,1876;1881;1886,1876;1881;1886,10853551,WINE|Red
Cotton Yarn,Lbs. (Pounds),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,9435187,COTTON|Yarn
Sugar Unrefined Beetroot,CWTS (Hundredweights),SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,9103514,SUGAR|Unrefined : Beetroot
Woollen Manufactures Cloths,Yards,SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,5832998,WOOLLEN MANUFACTURES|Cloths
Lemons and Oranges,Bushels,SOLID,SOLID,4,1876;1881;1886;1891,1876;1881;1886;1891,1876;1881;1886;1891,5178676,FRUIT|Oranges and Lemons
Bristles,Lbs. (Pounds),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,4056279,BRISTLES
Beads of all Sorts,Lbs. (Pounds),SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,2401456,BEADS OF ALL SORTS
Cheese,CWTS (Hundredweights),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,2244525,CHEESE
Leather Manufactures Gloves,Dozen Pairs,SOLID,SOLID,4,1876;1886;1891;1896,1876;1886;1891;1896,1876;1886;1891;1896,2213583,LEATHER MANUFACTURES|Gloves
Cotton Manufactures Piece Goods of other Countries Muslins,Pieces,SOLID,SOLID,4,1876;1886;1891;1896,1876;1886;1891;1896,1876;1886;1891;1896,2182674,COTTON MANUFACTURES|Muslins
Tallow and Stearine,CWTS (Hundredweights),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,2049749,TALLOW AND STEARINE
Lard,CWTS (Hundredweights),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1739463,LARD
Flax Dressed or Undressed,CWTS (Hundredweights),SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,1473135,"FLAX, DRESSED OR UNDRESSED"
Paper Millboard and Pasteboard,CWTS (Hundredweights),SOLID,SOLID,4,1876;1881;1886;1891,1876;1881;1886;1891,1876;1881;1886;1891,1165893,PAPER|Millboard and Pasteboard
Hats and Bonnets of Straw,Lbs. (Pounds),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,939848,HATS OR BONNETS|Of Straw
Brimstone,CWTS (Hundredweights),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,876490,BRIMSTONE
Hats and Bonnets of Felt,Number,SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,835979,HATS OR BONNETS|Of Felt
Molasses,CWTS (Hundredweights),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,776586,SUGAR|Molasses
Pyrites of Iron or Copper,Tons,SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,616227,PYRITES OF IRON OR COPPER
Turpentine Oil,CWTS (Hundredweights),SOLID,SOLID,4,1881;1886;1891;1896,1881;1886;1891;1896,1881;1886;1891;1896,498791,OIL|Turpentine
Ice,Tons,SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,467333,ICE
Clover and Grass Seeds,CWTS (Hundredweights),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,405617,SEEDS|Clover and Grass
