commodity,country,year,unit,quantity,value,grade
wood-furniture-hardwoods,argentine republic,1877,tons,5943034,209224,C
wood-furniture-hardwoods,australasia,1885,tons,151,1033,C
wood-furniture-hardwoods,australasia,1887,tons,3043,16943,A
wood-furniture-hardwoods,australasia,1889,tons,1315,8771,A
wood-furniture-hardwoods,australia,1877,tons,281247190,17590472,C
wood-furniture-hardwoods,austrian territories,1889,tons,335,2572,A
wood-furniture-hardwoods,belgium,1877,tons,2695010,156608,C
wood-furniture-hardwoods,brazil,1877,tons,870,11174,C
wood-furniture-hardwoods,brazil,1878,,0,1136,C
wood-furniture-hardwoods,brazil,1879,tons,1469,12059,B
wood-furniture-hardwoods,brazil,1885,tons,1364,12741,C
wood-furniture-hardwoods,brazil,1889,tons,975,10619,A
wood-furniture-hardwoods,british east indies,1885,tons,347,5610,C
wood-furniture-hardwoods,british east indies,1887,tons,599,6925,A
wood-furniture-hardwoods,british east indies,1889,tons,526,3624,A
wood-furniture-hardwoods,british honduras,1877,tons,6495,54817,C
wood-furniture-hardwoods,british india bombay and scinde,1877,tons,21547990,853120,C
wood-furniture-hardwoods,british possessions in south africa,1877,tons,41607778,2742651,C
wood-furniture-hardwoods,british west indies,1877,tons,3183,24856,C
wood-furniture-hardwoods,british west indies,1878,,0,2516,C
wood-furniture-hardwoods,british west indies,1879,tons,2335,14904,B
wood-furniture-hardwoods,british west indies,1885,tons,11412,94110,C
wood-furniture-hardwoods,british west indies,1887,tons,1180,7576,A
wood-furniture-hardwoods,british west indies,1889,tons,1724,10254,A
wood-furniture-hardwoods,canada,1877,tons,2945,16446,C
wood-furniture-hardwoods,canada,1878,,0,1676,C
wood-furniture-hardwoods,canada,1879,tons,2384,18013,B
wood-furniture-hardwoods,canada,1885,tons,4173,26561,C
wood-furniture-hardwoods,canada,1887,tons,5284,37357,A
wood-furniture-hardwoods,canada,1889,tons,3902,24011,A
wood-furniture-hardwoods,central america,1877,tons,3451,29269,C
wood-furniture-hardwoods,central america,1879,tons,1486,12043,B
wood-furniture-hardwoods,central america,1885,tons,2857,25140,C
wood-furniture-hardwoods,central america,1889,tons,429,2407,A
wood-furniture-hardwoods,chili,1877,tons,534249,39602,C
wood-furniture-hardwoods,china,1877,tons,473680,18112,C
wood-furniture-hardwoods,denmark,1877,tons,2041994,115855,C
wood-furniture-hardwoods,egypt,1877,tons,4438143,162849,C
wood-furniture-hardwoods,falkland islands,1877,tons,913259,45965,C
wood-furniture-hardwoods,france,1877,tons,1670,34758,C
wood-furniture-hardwoods,france,1878,,0,951,C
wood-furniture-hardwoods,france,1879,tons,1706,43708,B
wood-furniture-hardwoods,france,1885,tons,301,3505,C
wood-furniture-hardwoods,france,1889,tons,2532,34053,A
wood-furniture-hardwoods,germany,1877,tons,9517450,585292,C
wood-furniture-hardwoods,germany,1885,tons,617,5617,C
wood-furniture-hardwoods,germany,1887,tons,535,6071,C
wood-furniture-hardwoods,germany,1889,tons,1943,14889,A
wood-furniture-hardwoods,gibraltar,1877,tons,411441,17856,C
wood-furniture-hardwoods,hayti and st domingo,1877,tons,3970,38277,C
wood-furniture-hardwoods,hayti and st domingo,1885,tons,718,6551,C
wood-furniture-hardwoods,hayti and st domingo,1887,tons,1772,12968,A
wood-furniture-hardwoods,hayti and st domingo,1889,tons,256,1813,A
wood-furniture-hardwoods,holland,1877,tons,1610236,112404,C
wood-furniture-hardwoods,holland,1887,tons,1484,24038,C
wood-furniture-hardwoods,holland,1889,tons,441,3534,A
wood-furniture-hardwoods,italy,1877,tons,4135,29086,C
wood-furniture-hardwoods,italy,1878,,0,1514,C
wood-furniture-hardwoods,italy,1879,tons,2797,19108,B
wood-furniture-hardwoods,italy,1885,tons,1020,7737,C
wood-furniture-hardwoods,italy,1887,tons,582,4330,A
wood-furniture-hardwoods,italy,1889,tons,1408,10277,A
