commodity,flow,measure,year,value,tier
wood-furniture-hardwoods,reexport,value,1868,49737,B
wood-furniture-hardwoods,reexport,value,1869,66373,B
wood-furniture-hardwoods,reexport,value,1870,51743,A
wood-furniture-hardwoods,reexport,value,1871,97419,A
wood-furniture-hardwoods,reexport,value,1872,125722,A
wood-furniture-hardwoods,reexport,value,1873,106373,A
wood-furniture-hardwoods,reexport,value,1874,120088,A
wood-furniture-hardwoods,reexport,value,1875,127929,A
wood-furniture-hardwoods,reexport,value,1881,111872,A
wood-furniture-hardwoods,reexport,value,1882,102592,A
wood-furniture-hardwoods,reexport,value,1891,101968,B
wood-furniture-hardwoods,reexport,value,1892,141768,A
wood-furniture-hardwoods,reexport,value,1893,133357,A
wood-furniture-hardwoods,reexport,value,1894,229870,C
wood-furniture-hardwoods,reexport,value,1895,120292,A
wood-furniture-hardwoods,reexport,value,1896,143326,B
wood-hewn-fir,import,quantity,1868,1360763,B
wood-hewn-fir,import,quantity,1869,1324648,B
wood-hewn-fir,import,quantity,1870,1430174,A
wood-hewn-fir,import,quantity,1871,1658894,A
wood-hewn-fir,import,quantity,1872,1789576,A
wood-hewn-fir,import,quantity,1873,2077982,A
wood-hewn-fir,import,quantity,1874,2446525,A
wood-hewn-fir,import,quantity,1875,1695022,A
wood-hewn-fir,import,quantity,1876,2169376,A
wood-hewn-fir,import,quantity,1877,2088459,A
wood-hewn-fir,import,quantity,1878,1686662,A
wood-hewn-fir,import,quantity,1879,1384115,A
wood-hewn-fir,import,quantity,1880,2130541,A
wood-hewn-fir,import,quantity,1881,1871966,A
wood-hewn-fir,import,quantity,1882,2022656,A
wood-hewn-fir,import,quantity,1883,2152868,A
wood-hewn-fir,import,quantity,1884,1953930,A
wood-hewn-fir,import,quantity,1885,1935854,A
wood-hewn-fir,import,quantity,1886,1582762,A
wood-hewn-fir,import,quantity,1887,1718466,A
wood-hewn-fir,import,quantity,1888,1989851,A
wood-hewn-fir,import,quantity,1889,2392223,A
wood-hewn-fir,import,quantity,1890,2278171,A
wood-hewn-fir,import,quantity,1891,2250692,A
wood-hewn-fir,import,quantity,1896,2432790,B
wood-hewn-fir,import,quantity,1898,2024268,B
wood-hewn-fir,import,quantity,1899,2344681,B
wood-hewn-fir,import,quantity,1900,2787945,B
wood-hewn-fir,import,value,1868,4126602,B
wood-hewn-fir,import,value,1869,4328723,A
wood-hewn-fir,import,value,1870,4641119,A
wood-hewn-fir,import,value,1871,4670828,A
wood-hewn-fir,import,value,1872,5209802,A
wood-hewn-fir,import,value,1873,6712689,A
wood-hewn-fir,import,value,1874,7884209,A
wood-hewn-fir,import,value,1875,4859322,B
wood-hewn-fir,import,value,1876,6297615,A
wood-hewn-fir,import,value,1877,5862278,B
wood-hewn-fir,import,value,1878,4133330,B
wood-hewn-fir,import,value,1879,2909480,A
wood-hewn-fir,import,value,1880,5252149,A
wood-hewn-fir,import,value,1881,4809069,A
wood-hewn-fir,import,value,1882,5297873,A
wood-hewn-fir,import,value,1883,5615189,A
wood-hewn-fir,import,value,1884,4673485,A
wood-hewn-fir,import,value,1885,4636997,A
wood-hewn-fir,import,value,1886,3422236,A
wood-hewn-fir,import,value,1887,3250084,A
wood-hewn-fir,import,value,1888,1989851,B
wood-hewn-fir,import,value,1889,5636764,A
wood-hewn-fir,import,value,1890,5004474,A
wood-hewn-fir,import,value,1891,4500667,A
wood-hewn-fir,import,value,1892,4885850,A
wood-hewn-fir,import,value,1893,4048743,A
wood-hewn-fir,import,value,1894,7033453,B
wood-hewn-fir,import,value,1895,6907828,B
wood-hewn-fir,import,value,1896,3026595,B
wood-hewn-fir,import,value,1897,3584949,B
wood-hewn-fir,import,value,1898,2978329,B
wood-hewn-fir,import,value,1899,3401023,B
wood-hewn-fir,import,value,1900,4299518,B
wood-hewn-fir,reexport,value,1868,69574,C
wood-hewn-fir,reexport,value,1869,38520,B
wood-hewn-fir,reexport,value,1870,53161,B
wood-hewn-fir,reexport,value,1871,44196,A
wood-hewn-fir,reexport,value,1872,55875,A
wood-hewn-fir,reexport,value,1873,52528,A
wood-hewn-fir,reexport,value,1874,117031,A
wood-hewn-fir,reexport,value,1875,83484,A
wood-hewn-fir,reexport,value,1881,61238,A
wood-hewn-fir,reexport,value,1882,43591,A
wood-hewn-fir,reexport,value,1894,73468,A
wood-hewn-fir,reexport,value,1895,69880,A
wood-hewn-fir,reexport,value,1896,88539,B
wood-hewn-oak,import,quantity,1898,167314,B
wood-hewn-oak,import,quantity,1899,170569,B
wood-hewn-oak,import,quantity,1900,173800,B
wood-hewn-oak,import,value,1894,667383,B
wood-hewn-oak,import,value,1895,639799,B
wood-hewn-oak,import,value,1896,862011,B
wood-hewn-oak,import,value,1897,1020771,B
wood-hewn-oak,import,value,1898,947589,B
wood-hewn-oak,import,value,1899,959949,B
wood-hewn-oak,import,value,1900,1018829,B
wood-hewn-teak,import,quantity,1898,58917,B
wood-hewn-teak,import,quantity,1899,53930,B
wood-hewn-teak,import,quantity,1900,63080,B
wood-hewn-teak,import,value,1894,465769,B
wood-hewn-teak,import,value,1895,574882,B
wood-hewn-teak,import,value,1896,705224,B
wood-hewn-teak,import,value,1897,867083,B
wood-hewn-teak,import,value,1898,693629,B
wood-hewn-teak,import,value,1899,654304,B
wood-hewn-teak,import,value,1900,786066,B
wood-house-frames,import,value,1894,668325,B
wood-house-frames,import,value,1895,762838,B
wood-house-frames,import,value,1896,974802,B
wood-house-frames,import,value,1897,1146249,B
wood-house-frames,import,value,1898,1338822,B
wood-mahogany,import,quantity,1894,65494,B
wood-mahogany,import,quantity,1895,34848,B
wood-mahogany,import,quantity,1896,53772,B
wood-mahogany,import,quantity,1897,73476,B
wood-mahogany,import,quantity,1898,77810,B
wood-mahogany,import,quantity,1899,73035,B
wood-mahogany,import,quantity,1900,89593,B
wood-mahogany,import,value,1894,521859,B
wood-mahogany,import,value,1900,827520,B
wood-mahogany,reexport,value,1894,31367338,C
wood-mahogany,reexport,value,1895,33647709,C
wood-mahogany,reexport,value,1896,451110073,C
wood-mahogany,reexport,value,1897,68658928,C
wood-mahogany,reexport,value,1898,96737410,C
wood-sawn-fir,import,quantity,1868,2709968,B
wood-sawn-fir,import,quantity,1869,2609418,A
wood-sawn-fir,import,quantity,1870,2926131,A
wood-sawn-fir,import,quantity,1871,2857777,A
wood-sawn-fir,import,quantity,1872,3093933,A
wood-sawn-fir,import,quantity,1873,3434160,A
wood-sawn-fir,import,quantity,1874,3841011,A
wood-sawn-fir,import,quantity,1875,3305390,A
wood-sawn-fir,import,quantity,1876,4118192,A
wood-sawn-fir,import,quantity,1877,4583451,A
wood-sawn-fir,import,quantity,1878,3635546,A
