year,Germany,France,Netherlands,Belgium,Denmark,Italy,Austria-Hungary,Australasia,British India & Burma,Cape of Good Hope,East Africa,Java,Madagascar,Madeira,Mauritius,Other foreign countries,Siam,Total
1873,,,,,,,,,40073,,,,,,,240,,40313
1874,,,,,,,,,29973,,,,,,,38,,30011
1875,,,,,,,,,,,,,,,,30515,,30515
1876,,,,,,,,,34416,,,,,,,810,,35226
1877,,,,,,,,,1108,,,,,,1603,299,,3010
1878,,,,,,,,,37785,,,,,,,205,,37990
1879,,,,,,,,,14100,,,,,,,1637,,15737
1881,,,,,,,,,,,,,,,,296,731,1027
1883,,,323,,,,,,41538,152,,,,,,79,3447,45539
1885,,,473,,,,,,42653,,,,,569,,65,4401,48161
1886,,,,,,,,,31581,,,580,,,408,410,8324,41303
1887,,,,,,,90,,20782,,,,,,4,72,1825,22773
1890,,,,,,,,,46687,,,684,,,,196,12615,60182
1891,,,,,,,,,39792,,,,501,,,87,9582,49962
1892,,,,,,,,,34894,,,,,,1,245,4381,39521
1893,83,165,275,209,,,,,32677,,,,,,,734,857,35000
1894,4,131,,,,,,,38014,,6319,,,,,,,44468
1895,12,,3,120,,,,,44643,,,,,,,150,14673,59601
1896,43,704,137,25,,185,,20,54570,,,,,,,68,10683,66435
1897,30,59,211,53,,70,,,64088,,,,,,,146,9817,74474
1898,83,461,2,13,300,20,,,52901,,,,,,,5,5132,58917
1899,,58,101,,818,,,,51661,,,,,,,24,1268,53930
