year,Canada,United States,Norway,Russia,Germany,France,Netherlands,Belgium,Italy,Austria-Hungary,Argentina,Australasia,Brazil,British East Indies,British Guiana,British Honduras,British India & Burma,British West Indies,Cape of Good Hope,Central America,Ceylon,China,Colombia,Costa Rica,Dutch Guiana,French West Africa,Greece,Haiti & Santo Domingo,Madagascar,Mauritius,Mexico,Nicaragua,Niger Protectorate,Other British possessions,Other foreign countries,Philippines,Spanish West Indies,Turkey,Venezuela,West Africa (unspecified),Total
1873,,,,,,904,,,2277,,,,2472,,,705,,836,,1940,,,,,629,,,910,,,1848,,,,,,,3356,,1258,17135
1886,4230,23251,,2867,1369,851,302,,956,,,1676,406,,,,1183,1517,,585,,,,,,,,2129,,307,1234,,,326,1193,770,1459,1664,715,1677,50667
1888,3771,40676,,3713,1494,2120,296,,577,183,,442,189,,,,543,1017,,,,,,,,,,1776,,,,,,133,415,,1807,2831,443,1586,64012
1890,2957,48426,,4603,2886,3260,837,,881,208,606,3363,992,1544,,,,2532,,337,,,783,,,,,1633,846,,204,,,446,640,,1296,1017,938,1284,82519
1891,3237,50967,690,3457,2241,2527,755,,386,,6395,,640,,,,2445,1885,,1051,,,,,,,,3342,966,,1249,,,211,786,,1711,478,913,729,87061
1893,6412,56886,,2726,1149,1814,73,12,475,,40,,1320,,89,1438,3164,1300,,,,215,181,747,,,,2620,,,357,370,250,439,1539,,1608,1955,1472,300,88951
1894,3944,52706,,1759,1479,2069,207,122,298,,53,,321,,74,227,,317,,,,,120,,,595,1,2958,,,889,,,129,1298,,1703,2726,2125,,76120
1895,3822,47545,,475,867,1579,351,145,264,,600,,10,,30,93,,571,440,,,,648,,,,,1558,,,299,,667,233,673,,986,5333,700,688,68577
1896,5747,,,,2445,2132,599,170,231,,2014,31955,458,,255,151,1929,1712,971,,447,,604,,,,,,,,1262,50,1015,75,535,,,1193,861,,56811
1897,7597,,,,2493,2903,1061,228,325,,2101,,1450,,189,422,,3427,,,,,1300,,,,421,,,,1012,,,174,669,,,1104,522,,27398
1898,5776,,,,2225,2459,881,894,140,,64,,1300,,501,566,,2513,,,,,1276,,,,,,,,258,,,239,1150,,,520,1083,,21845
1899,9200,,,,2915,2209,1450,922,212,,492,,914,,259,737,,3310,,,,,351,,,,1,,,,1024,,,185,1484,,,617,,,26282
