flow,volume,from_group,article,to_group,method,sim,rows,value,reference
export_uk,tn_1871,MEAL and FLOUR,Lace and Patent Net,COTTON MANUFACTURES,aligned,1.0,36,2040015,as_1876
export_uk,tn_1871,MEAL and FLOUR,"Fustians, &c., Plain and Coloured",COTTON MANUFACTURES,interpolated,0.0,18,609584,as_1876
export_uk,tn_1871,MEAL and FLOUR,Mixed Goods,COTTON MANUFACTURES,interpolated,0.0,27,339232,as_1876
export_uk,tn_1871,MEAL and FLOUR,Stockings and Socks,COTTON MANUFACTURES,aligned,1.0,16,1723234,as_1876
export_uk,tn_1871,MEAL and FLOUR,Gloves,COTTON MANUFACTURES,interpolated,0.0,6,72668,as_1876
export_uk,tn_1871,MEAL and FLOUR,Shirts and Drawers,COTTON MANUFACTURES,interpolated,0.0,8,80100,as_1876
export_uk,tn_1871,MEAL and FLOUR,Hosiery of Other Sorts,COTTON MANUFACTURES,aligned,1.0,11,358313,as_1876
export_uk,tn_1871,MEAL and FLOUR,Counterpanes and Bed Quilts,COTTON MANUFACTURES,interpolated,0.0,15,2640766,as_1876
export_uk,tn_1871,MEAL and FLOUR,Thread for Sewing,COTTON MANUFACTURES,aligned,1.0,32,6217707,as_1876
export_uk,tn_1871,MEAL and FLOUR,Piece Goods: Of India and China (Foreign),COTTON MANUFACTURES,trailing,0.0,7,41310,as_1876
export_uk,tn_1871,MEAL and FLOUR,Piece Goods: Of Other Countries (Foreign),COTTON MANUFACTURES,trailing,0.0,12,287266,as_1876
export_uk,tn_1871,MEAL and FLOUR,Of all other Sorts (Foreign),COTTON MANUFACTURES,trailing,0.0,17,300078,as_1876
export_uk,tn_1871,MEAL and FLOUR,CREAM OF TARTAR,COTTON MANUFACTURES,trailing,0.0,6,66676,as_1876
export_uk,tn_1871,MEAL and FLOUR,CUTCH,COTTON MANUFACTURES,trailing,0.0,9,87472,as_1876
export_uk,tn_1871,EARTHEN and CHINA WARE,Salmon,"FISH, FRESH and CURED",aligned,1.0,5,89938,as_1876
export_uk,tn_1871,EARTHEN and CHINA WARE,Pilchards,"FISH, FRESH and CURED",interpolated,0.0,6,60590,as_1876
export_uk,tn_1871,EARTHEN and CHINA WARE,Oysters,"FISH, FRESH and CURED",aligned,1.0,4,58838,as_1876
export_uk,tn_1871,EARTHEN and CHINA WARE,Other Kinds (British),Wool,aligned,1.0,5,43574,as_1876
export_uk,tn_1871,EARTHEN and CHINA WARE,All Sorts (Foreign),Wool,aligned,1.0,18,170974,as_1876
export_uk,tn_1871,EARTHEN and CHINA WARE,FISHING TACKLE,Wool,trailing,0.0,7,104230,as_1876
export_uk,tn_1871,"LINEN and JUTE MANUFACTURES: 
                    Linen Manufactures","Hosiery, Other Sorts",WOOLLEN and WORSTED MANUFACTURES,aligned,1.0,1,8121,as_1876
export_uk,tn_1871,"LINEN and JUTE MANUFACTURES: 
                    Linen Manufactures",Tapes and Small Wares,WOOLLEN and WORSTED MANUFACTURES,aligned,0.67,11,95818,as_1876
export_uk,tn_1871,"LINEN and JUTE MANUFACTURES: 
                    Linen Manufactures",Thread for Sewing,WOOLLEN and WORSTED MANUFACTURES,trailing,0.0,15,279728,as_1876
export_uk,tn_1871,"LINEN and JUTE MANUFACTURES: 
                    Linen Manufactures","Bags, empty, for packing Merchandise",WOOLLEN and WORSTED MANUFACTURES,trailing,0.0,21,261899,as_1876
export_uk,tn_1871,"LINEN and JUTE MANUFACTURES: 
                    Linen Manufactures",Not made up,WOOLLEN and WORSTED MANUFACTURES,trailing,0.0,25,789063,as_1876
export_uk,tn_1871,"LINEN and JUTE MANUFACTURES: 
                    Linen Manufactures",Made up,WOOLLEN and WORSTED MANUFACTURES,trailing,0.0,1,294,as_1876
export_uk,tn_1871,"MACHINERY and MILL WORK: 
                    » Steam Engines or Parts of Steam Engines, Locomotive","Steam Engines or Parts of Steam Engines, Locomotive",MACHINERY and MILL WORK,aligned,1.0,5,920343,as_1876
export_uk,tn_1871,"MACHINERY and MILL WORK: 
                    » Steam Engines or Parts of Steam Engines, Locomotive","Steam Engines or Parts of Steam Engines, other than Locomotive",MACHINERY and MILL WORK,aligned,1.0,39,2375876,as_1876
export_uk,tn_1871,"MACHINERY and MILL WORK: 
                    » Steam Engines or Parts of Steam Engines, Locomotive",Not being Steam Engines ; Agricultural,MACHINERY and MILL WORK,aligned,1.0,19,605236,as_1876
export_uk,tn_1871,"MACHINERY and MILL WORK: 
                    » Steam Engines or Parts of Steam Engines, Locomotive",Not being Steam Engines; Other descriptions,MACHINERY and MILL WORK,aligned,1.0,36,5985929,as_1876
export_uk,tn_1871,"MACHINERY and MILL WORK: 
                    » Steam Engines or Parts of Steam Engines, Locomotive","MANURE, not otherwise described",MACHINERY and MILL WORK,trailing,0.0,18,829870,as_1876
export_uk,tn_1871,"MACHINERY and MILL WORK: 
                    » Steam Engines or Parts of Steam Engines, Locomotive","MATS and MATTING, not being India-rubber Matting",MACHINERY and MILL WORK,trailing,0.0,17,188596,as_1876
export_uk,tn_1871,"STATIONERY, other than Paper","SUGAR, REFINED and CANDY (British)",SUGAR,aligned,1.0,21,1868190,as_1876
export_uk,tn_1871,"STATIONERY, other than Paper","SUGAR, REFINED and CANDY (Foreign)",SUGAR,interpolated,0.0,13,104568,as_1876
export_uk,tn_1871,"STATIONERY, other than Paper","SUGAR, UNREFINED",SUGAR,interpolated,0.0,42,852380,as_1876
