gold_commodity,pipeline_fullname,method,confidence
Alkali,ALKALI None,exact,1.0
Almonds,Almonds,exact,1.0
Aniline,Aniline,exact,1.0
Animal Oil,Animal,subset,1.0
Animals Living Horses Mares Geldings Colts and Foals,"Horses, Mares, Geldings,     Colts and Foals",subset,1.0
Animals Unenumerated,Animal,exact,1.0
Apples Raw,"Apples, Raw",exact,1.0
Arms and Ammunition Gunpowder,Gunpowder,subset,1.0
Arms and Ammunition Shot Large and Small,"Shot, Large and Small",subset,1.0
"Art, Works of, other than Pictures","ART, WORKS OF, other than PICTURES None",exact,1.0
Asphalt or Bitumen,ASPHALT or BITUMEN None,exact,1.0
Bacon,BACON None,exact,1.0
Bark Extracts of Bark or other Substances to be used in Tanning or Dyeing,Extracts of Bark or other Substances to be used     in Tanning or Dyeing,exact,1.0
Bark For Tanners and Dyers Use,For Tanners' or Dyers' Use,subset,1.0
Bark Of other sorts,Bark,exact,1.0
Bark Peruvian,"Bark, Peruvian",exact,1.0
Barley,Barley,exact,1.0
Barley meal,Barley Meal,exact,1.0
Beads of Glass,GLASS None,subset,1.0
Beads of all Sorts,Unenumerated,exact,1.0
Bean Meal and Pea Meal,Bean Meal and Pea Meal,exact,1.0
Bean meal,Bean meal,exact,1.0
Beans,Beans (not Kidney or French),exact,1.0
Beef Fresh,Fresh (not of British taking),subset,1.0
Beef Fresh or Slightly Salted,Fresh or Slightly Salted,subset,1.0
Beef Preserved not by Salting,"Preserved, otherwise than by Salting : Beef",exact,1.0
Beef Salted,Salted,subset,1.0
Beer and Ale Mum,Of other Sorts,subset,1.0
Beer and Ale Mum and Spruce,Mum and Spruce,subset,1.0
Beer and Ale Spruce,Of other Sorts,subset,1.0
Beer and Ale of other Sorts,Of other Sorts,exact,1.0
Bones (except Whalefins),"Bones of Animals, and Fish for Manure only",subset,1.0
Bones except Whalebone for Manufacturing,WHALEBONE (Whalefins) None,subset,1.0
Bones for manure,Bones for Manure (whether burnt or not),exact,1.0
Books,BOOKS None,exact,1.0
Books including Maps and Charts,"BOOKS, Bound or Unbound, including     MAPS and CHARTS",subset,1.0
Boots and Shoes,Boots and Shoes,exact,1.0
Brandy,Brandy,exact,1.0
"Brass, Bronze, and Metal, Bronzed or Lacquered","BRASS, BRONZE, and METAL, Bronzed and Lacquered None",exact,1.0
Brimstone,BRIMSTONE None,exact,1.0
Bristles,BRISTLES None,exact,1.0
Buckwheat,Buckwheat,exact,1.0
Buckwheat meal,Buckwheat Meal,exact,1.0
Butter,BUTTER None,exact,1.0
Butterine,BUTTERINE None,exact,1.0
"Buttons and Studs, not of Metal","BUTTONS AND STUDS, not of Metal None",exact,1.0
Calves,Calves,exact,1.0
Candles Stearine,Stearine,subset,1.0
Candles of all Sorts,Other Kinds,exact,1.0
Cannon and Mortars,Cannon and Mortars,exact,1.0
Cannon and Mortars not Mounted or Accompanied with Carriages,"Cannon and Mortars, mounted or accompanied with Carriages None",exact,1.0
Caoutchouc,CAOUTCHouc None,exact,1.0
Caoutchouc Manufactures of,"CAOUTCHouc, Manufactures of None",exact,1.0
Cheese,CHEESE None,exact,1.0
Cheese Imitation,"Imitation Cheese (including Lard Cheese, and all kinds of Artificial or Imitation Cheese)",exact,1.0
Chemical Essential or Perfumed Oils,"Chemical, Essential, or Perfumed",subset,1.0
Chemical Manufactures and Products,"CHEMICAL MANUFACTURES and PRODUCTS, Unenumerated",exact,1.0
Cherries Raw,"Cherries, Raw",exact,1.0
Chicory Other Vegetable matter,"VEGETABLES, Unenumerated None",subset,1.0
Chicory Raw or Kiln-Dried,Raw or Kiln-dried,subset,1.0
Chicory Roasted or Ground,Roasted or Ground,subset,1.0
China or Porcelain Ware,CHINA or PORCELAIN WARE,exact,1.0
China or Porcelain and Earthenware,"CHINA, OR PORCELAIN, AND EARTHENWARE None",exact,1.0
Chloral Hydrate,CHLORAL HYDRATE None,exact,1.0
Chloroform,CHLOROFORM None,exact,1.0
Cider and Perry,CIDER AND PERRY None,exact,1.0
Clocks,CLOCKS None,exact,1.0
Clover and Grass Seeds,Clover and Grass,subset,1.0
Coal Tar Dyes Unenumerated,Other Coal Tar Dyes,exact,1.0
"Coals, Culm, or Cinders","COAL, CULM, AND CINDERS None",exact,1.0
Cochineal,COCHINEAL (including Granilla and Dust),exact,1.0
Cocoa,COCOA None,exact,1.0
Cocoa Butter,BUTTER None,subset,1.0
Cocoa Cocoa or Chocolate in the manufacture of which Spirit has been used,"Cocoa or Chocolate, in the manufacture   of which Spirit has been used",exact,1.0
Cocoa Husks and Shells,Husks and Shells,subset,1.0
Cocoa Paste or Chocolate,Paste or Chocolate,subset,1.0
Cocoa or Chocolate ground prepared or in anyway manufactured,"Cocoa or Chocolate, ground, prepared or in anyway manufactured None",exact,1.0
Cocoa-nut Oil,Unenumerated,subset,1.0
Coffee,COFFEE None,exact,1.0
Coffee Kiln Dried Roasted or Ground,"Kiln dried, roasted or ground",subset,1.0
Coffee Raw,"COFFEE, Raw None",exact,1.0
Coffee and Chicory mixed,"COFFEE AND CHICORY, mixed",exact,1.0
Collodion,COLLODION,exact,1.0
Confectionery,CONFECTIONERY (not containing any article liable to Duty) None,exact,1.0
Confectionery containing not more than 50% Chocolate in the manufacture of which Spirit has been use,"CONFECTIONERY, containing not more than 50 % Chocolate, in the Manufacture of which Spirit has been used",subset,1.0
Confectionery containing not more than 50% chocolate,"CONFECTIONERY, containing not more than 50 % Chocolate",exact,1.0
Confectionery in the Manufacture of which Spirit has been used,"CONFECTIONERY, in the Manufacture of which Spirit has been used None",exact,1.0
Copper Manufactures Unenumerated including Copper Coin,"Manufactures, Unenumerated, including Copper Coin",exact,1.0
Copper Old (fit only to be re-manufactured from 1876 onward),,unmatched,0.2
Copper Ore,"COPPER, Ore of None",exact,1.0
Copper Part Wrought,Part Wrought,subset,1.0
Copper Regulus (and Precipitate from 1886 onward),Regulus,subset,1.0
Copper Unwrought,"Unenumerated, Unwrought",subset,1.0
Copper Unwrought and part Wrought,Unwrought and Part Wrought,subset,1.0
"Cordage, Twine, and Cable Yarn","CORDAGE, TWINE, and CABLE YARN None",exact,1.0
Cork Manufactured,Manufactured : Other Sorts (including Cigarettes),subset,1.0
Cork Unmanufactured,Unmanufactured,subset,1.0
Cotton Manufactures Other than Muslins,Unenumerated,subset,1.0
Cotton Manufactures Piece Goods Unenumerated,Unenumerated,subset,1.0
Cotton Manufactures Piece Goods of India and China,Piece Goods of India and China,subset,1.0
Cotton Manufactures Piece Goods of Other Countries Hosiery of all sorts,Unenumerated,subset,1.0
Cotton Manufactures Piece Goods of Other Countries Unenumerated,Unenumerated,subset,1.0
Cotton Manufactures Piece Goods of other Countries Muslins,"Piece Goods, Muslins",subset,1.0
Cotton Raw,Cotton None,subset,1.0
"Cotton Raw, and Waste of",Cotton None,subset,1.0
Cotton Seeds,Cotton None,subset,1.0
Cotton Waste,Cotton None,subset,1.0
Cotton Yarn,Cotton None,subset,1.0
"Cotton Yarn, and Waste of",Yarn and Waste of,subset,1.0
Cow Ox Bull or Elk Hair,"Cow, Ox, Bull, or Elk",subset,1.0
Cows,Cows,exact,1.0
Currants,Currants,exact,1.0
Currants Dried,Currants,subset,1.0
Cutch,Cutch and Gambier,subset,1.0
Cutch and Gambier,Cutch and Gambier,exact,1.0
Drugs Unenumerated,"DRUGS, Unenumerated",exact,1.0
Dye Stuffs Alizarine and Alizarine Dyes,"DYE STUFFS, Unenumerated",subset,1.0
Dye Stuffs Bark,"DYE STUFFS, Unenumerated",subset,1.0
Dye Stuffs Unenumerated,"DYE STUFFS, Unenumerated",exact,1.0
Dye Stuffs and Substances used in Tanning Extracts,"DYE STUFFS, and Substances used in Tanning; Unenumerated",subset,1.0
Dye Woods Logwood,Unenumerated,subset,1.0
Dye Woods Unenumerated,Unenumerated,exact,1.0
"Earthenware, not being China or Porcelain Ware","EARTHENWARE, not being China or Porcelain Ware",exact,1.0
Eggs,Eggs None,exact,1.0
Embroidery and Needlework,EMBROIDERY and NEEDLEWORK None,exact,1.0
Esparto and other Vegetable Fibres for making Paper,Esparto and other Vegetable Fibres,subset,1.0
Essence of Spruce,Spruce,subset,1.0
Ether Acetic,ETHER None,subset,1.0
Ether Butyric,ETHER None,subset,1.0
Ether Sulphuric,ETHER None,subset,1.0
Ethyl Iodide of,"ETHYL, IODIDE OF",exact,1.0
Extract of Bark or Other Vegetable Substance for Tanning or Dyeing,Extracts of Bark or other Substances to be used     in Tanning or Dyeing,subset,1.0
Extracts Unenumerated,"EXTRACTS of other Sorts, Unenumerated None",exact,1.0
Farinaceous Substances and Manufactures thereof,FARINACEOUS SUBSTANCES and Manufactures thereof None,exact,1.0
Feathers Ornamental,Ornamental,subset,1.0
Feathers for Beds,"For Beds, in Beds or otherwise",subset,1.0
Figs,Figs,exact,1.0
Figs Dried,Figs,subset,1.0
Figs and Fig Cake,Figs and Fig Cake,exact,1.0
Fish Cured or Salted,"Cured or salted, unenumerated",subset,1.0
Fish Fresh Not of British Taking,Other sorts of Fresh Fish,subset,1.0
Flax Dressed,"FLAX, Dressed or Undressed None",subset,1.0
Flax Dressed or Undressed,"FLAX, Dressed or Undressed None",exact,1.0
Flax Rough or Undressed,Rough or Undressed,subset,1.0
Flaxseed and Linseed,Flax and Linseed,exact,1.0
Flint Glass,Flint Glass,exact,1.0
Flowers Artificial,"FLOWERS, ARTIFICIAL None",exact,1.0
Fresh Herrings,Fresh (not of British taking) : Herrings,exact,1.0
Fresh Milk,"MILK AND CREAM, fresh or preserved, other than condensed milk None",subset,1.0
Fruit Dried unenumerated,FRUIT None,subset,1.0
Fruit Preserved without Sugar Unenumerated,"FRUIT: 
                    „ Unenumerated: Preserved without Sugar None",exact,1.0
Fruit Preserved without sugar not dried,"FRUIT: 
                    „ Unenumerated: Preserved without Sugar None",subset,1.0
Fruit Raw or otherwise not described,"Raw, not otherwise described",subset,1.0
Fruit Raw unenumerated,Raw,subset,1.0
Fruits and Vegetables Preserved in Sugar,FRUITS AND VEGETABLES: Preserved in Sugar None,exact,1.0
Furs,"Unenumerated, being Furs",exact,1.0
Galls,GALLS None,exact,1.0
