volume,year,flow,article_group,article,country_raw,old_value,new_value,witnesses
as_1897,1897,export_uk,ALKALI,,Russia : Northern Ports,45021.0,47432.0,inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Russia : Southern Ports,21321.0,20880.0,inf:tn_1899; inf:tn_1901; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Sweden,18125.0,14278.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Norway,5923.0,5983.0,inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Germany,3994.0,40904.0,inf:as_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Holland,2552.0,27942.0,inf:as_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Belgium,1332.0,37852.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,France,2014.0,20114.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899
as_1897,1897,export_uk,ALKALI,,Portugal,1205.0,12105.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Madeira,33.0,378.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Spain,16922.0,108922.0,inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Italy,6743.0,69943.0,inf:as_1899; obs:as_1898; obs:tn_1899
as_1897,1897,export_uk,ALKALI,,Austrian Territories,1925.0,10537.0,inf:as_1899; inf:tn_1899; obs:as_1898; obs:tn_1899
as_1897,1897,export_uk,ALKALI,,Greece,827.0,8927.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Bulgaria,58.0,890.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Roumania,824.0,8104.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Turkey : European,252.0,2537.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Turkey : Asiatic,740.0,7643.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Turkey : Cyprus,3.0,59.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Egypt,625.0,6335.0,inf:as_1899; inf:tn_1899; obs:as_1898; obs:tn_1899
as_1897,1897,export_uk,ALKALI,,Tripoli,6.0,67.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Tunis,128.0,1101.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,Algeria,6.0,62.0,inf:as_1899; inf:tn_1899; inf:tn_1901; obs:as_1898; obs:tn_1899; obs:tn_1901
as_1897,1897,export_uk,ALKALI,,East Africa: Portuguese Possessions,22.0,927.0,inf:as_1899; inf:tn_1899; obs:as_1898; obs:tn_1899
as_1897,1897,export_uk,ALL OTHER ARTICLES NOT ENUMERATED AND NOT FALLING UNDER ANY OF THE GENERAL HEADS,Articles Exported,Sweden,20631.0,20034.0,inf:as_1898; inf:tn_1899; obs:as_1898; obs:tn_1899
as_1897,1897,export_uk,ALL OTHER ARTICLES NOT ENUMERATED AND NOT FALLING UNDER ANY OF THE GENERAL HEADS,Articles Exported,Germany,325667.0,335667.0,inf:as_1898; inf:tn_1899; obs:as_1898; obs:tn_1899
as_1897,1897,export_uk,ALL OTHER ARTICLES NOT ENUMERATED AND NOT FALLING UNDER ANY OF THE GENERAL HEADS,Articles Exported,Spain,23021.0,28091.0,inf:as_1898; inf:tn_1899; obs:as_1898; obs:tn_1899
as_1897,1897,export_uk,ALL OTHER ARTICLES NOT ENUMERATED AND NOT FALLING UNDER ANY OF THE GENERAL HEADS,Articles Exported,Turkey : European,5590.0,5699.0,obs:as_1898; obs:tn_1899
