volume,year,article_group,article,country_raw,old_value,new_value,middle_column,raw_cell,matched_on
as_1872,1872,Wood and Timber,"Rough, Hewn, Sawn, or Split",British Possessions in South Africa Mauritius,61301773.0,1773.0,6130.0,"6,130 1,773",British Possessions in South Africa Mauritius
as_1872,1872,ZINC or SPELTER,"Crude, in Cakes",British India: Bombay and Scinde Bengal and Burmah,773944893.0,44893.0,7739.0,"7,739 44,893",British Possessions in South Africa
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",Peru,56283085100.0,85100.0,562830.0,"Lbs. 562,830 £ 85,100",Yards
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",Chili,16902820920.0,20920.0,169028.0,"169,028 20,920",Chili
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",Brazil,39382271879.0,71879.0,393822.0,"393,822 71,879",Brazil
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",Argentine Republic,11199818177.0,18177.0,111998.0,"111,998 18,177",Argentine Republic
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",British Possessions in South Africa,12883225293.0,25293.0,128832.0,"128,832 25,293",British Possessions in South Africa
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",Madras,96602783.0,2783.0,9660.0,"9,660 2,783",Madras
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",Bengal and Burmah,23561041159.0,41159.0,235610.0,"235,610 41,159",Bengal and Burmah
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",Hong Kong,6951013282.0,13282.0,69510.0,"69,510 13,282",Hong Kong
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Sweden and Norway,62336076178.0,76178.0,623360.0,"Lbs. 623,360 £ 76,178",Yards
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Belgium,37845056172.0,56172.0,378450.0,"378,450 56,172",Belgium
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Italy,27416042677.0,42677.0,274160.0,"274,160 42,677",Italy
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Japan,18512017980.0,17980.0,185120.0,"185,120 17,980",Japan
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Pacific,208702585.0,2585.0,20870.0,"20,870 2,585",Pacific
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Peru,10726019825.0,19825.0,107260.0,"107,260 19,825",Peru
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Chili,16260526176.0,26176.0,162605.0,"162,605 26,176",Chili
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Brazil,25662035244.0,35244.0,256620.0,"256,620 35,244",Brazil
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Argentine Republic,30670041034.0,41034.0,306700.0,"306,700 41,034",Argentine Republic
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Madras,246002539.0,2539.0,24600.0,"24,600 2,539",Madras
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Bengal and Burmah,26853034603.0,34603.0,268530.0,"268,530 34,603",Bengal and Burmah
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Hong Kong,11535020053.0,20053.0,115350.0,"115,350 20,053",Hong Kong
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths; Coatings, Duffs, &c., of Wool, mixed with other Materials",Australia,29762058180.0,58180.0,297620.0,"297,620 58,180",Australia
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",Germany,27181062528.0,62528.0,271810.0,"Lbs. 271,810 £ 62,528",Yards
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",Holland,7470021311.0,21311.0,74700.0,"74,700 21,311",Holland
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",Holland,32642481880.0,81880.0,326424.0,"326,424 81,880",Holland
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",Belgium,8786522717.0,22717.0,87865.0,"87,865 22,717",Belgium
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",Belgium,22670165610.0,65610.0,226701.0,"226,701 65,610",Belgium
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",China (exclusive of Hong Kong),10346020985.0,20985.0,103460.0,"103,460 20,985",China (exclusive of Hong Kong)
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool","Portugal, Azores, and Madeira",9161019302.0,19302.0,91610.0,"91,610 19,302","Portugal, Azores, and Madeira"
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",United States: Atlantic,42493088712.0,88712.0,424930.0,"424,930 88,712","Portugal, Azores, and Madeira"
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",Italy,12189025819.0,25819.0,121890.0,"121,890 25,819",Italy
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",Egypt,12074673033.0,73033.0,120746.0,"120,746 73,033",Egypt
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",Chili,697208325.0,8325.0,69720.0,"69,720 8,325",Chili
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",China,30337073232.0,73232.0,303370.0,"303,370 73,232",China
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",Brazil,16084021657.0,21657.0,160840.0,"160,840 21,657",Brazil
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",Gibraltar,4470010159.0,10159.0,44700.0,"44,700 10,159",Gibraltar
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",Pacific,980137.0,137.0,980.0,980 137,Pacific
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",British Possessions in South Africa,9320019323.0,19323.0,93200.0,"93,200 19,323",British Possessions in South Africa
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths, Coatings, Duffs, &c., Plain, all Wool",United States of Colombia (New Granada),8863119747.0,19747.0,88631.0,"88,631 19,747",United States of Colombia (New Granada)
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",British India: Bombay and Seinde,5742010507.0,10507.0,57420.0,"57,420 10,507",United States of Colombia (New Granada)
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",Madras,58701534.0,1534.0,5870.0,"5,870 1,534",Madras
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",Bengal and Burmah,11537020336.0,20336.0,115370.0,"115,370 20,336",Bengal and Burmah
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",British North America,45265094110.0,94110.0,452650.0,"452,650 94,110",British North America
as_1874,1874,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths: Coatings, Duffs, &c., Plain, all Wool",Other Countries,37711373117.0,73117.0,377113.0,"377,113 73,117",Other Countries
as_1877,1877,"STONES, Marble and Slate, Rough, Hewn, or Manufactured",,Australia,73826346.0,6346.0,7382.0,"7,382 6,346",To all Countries
as_1881,1881,TAR,"TEETH, Elephants', Sea Cow, and Sea Horse",West Africa: Portuguese Possessions Not particularly design- nated,4664028629.0,28629.0,46640.0,"46,640 28,629",Holland
as_1881,1881,TAR,"TEETH, Elephants', Sea Cow, and Sea Horse",Other Countries,12024356575.0,56575.0,120243.0,"120,243 56,575",Other Countries
as_1883,1883,SPIRITS,Brandy,United States of America             Other Countries,1136722.0,722.0,1136.0,"1,136 722",United States of America Other Countries
as_1883,1883,SPIRITS,"Unenumerated, not Sweetened or     Mixed",United States of America             Other Countries,301721065.0,1065.0,30172.0,"30,172 1,065",United States of America Other Countries
as_1883,1883,SPIRITS,"Unenumerated, Sweetened or     Mixed (Tested)",United States of America             British West India             Islands,65256158.0,6158.0,6525.0,"6,525 6,158",United States of America British West India Islands
as_1884,1884,IVORY,"Teeth, Elephants', Sea-cow, Sea-   horse, or Sea-morse",East Coast of Africa:     Portuguese     Native,226129990.0,29990.0,2261.0,"2,261 29,990",From Sweden
as_1884,1884,GLASS,"Plate, Rough or Silvered (in-         cluding Looking Glasses or         Mirrors)",United States: Atlantic                                                 Pacific,1000972410.0,2410.0,100097.0,"100,097 2,410",To Italy
as_1894,1894,"FISH, FRESH AND CURED",Unenumerated,"Portugal, Azores and Madeira     .. Spain and Canaries",262234033.0,34033.0,2622.0,"2,622 34,033",British West India Islands and British Guiana
