flow,canonical,family
export_uk,AGRICULTURAL IMPLEMENTS,AGRICULTURAL IMPLEMENTS AND TOOLS
export_uk,"ANIMALS, LIVING'd)","ANIMALS, LIVING"
export_uk,"ANIMALS, Living","ANIMALS, LIVING"
export_uk,APPAREL AND SLOPS,APPAREL AND SLOPS
export_uk,APPAREL and STOPS,APPAREL AND SLOPS
export_uk,APPAREL and STORES,APPAREL AND SLOPS
export_uk,"ARMS, AMMUNITION, &c.","ARMS, AMMUNITION AND MILITARY STORES"
export_uk,"ARMS, AMMUNITION, AND MILITARY STORES'd)","ARMS, AMMUNITION AND MILITARY STORES"
export_uk,"ARMS, AMMUNITION, and MILITARY STORES","ARMS, AMMUNITION AND MILITARY STORES"
export_uk,ARTICLE,"ANIMALS, LIVING"
export_uk,BEEF and ALE,BEER AND ALE
export_uk,BEER AND ALE,BEER AND ALE
export_uk,BRASS,BRASS MANUFACTURES
export_uk,"BRASS : Manufactures of, not being Ordnance",BRASS MANUFACTURES
export_uk,"BRASS, AND MANUFACTURES OF, not being Ordnance",BRASS MANUFACTURES
export_uk,BUTTER,BUTTER
export_uk,BUTTER (British),BUTTER
export_uk,"Books, Printed","BOOKS, PRINTED"
export_uk,CAGUTCHOUC MANUFACTURES,CAOUTCHOUC MANUFACTURES
export_uk,CALCITRHOUS MANUFACTURES,CAOUTCHOUC MANUFACTURES
export_uk,CANDLES,CANDLES
export_uk,CANDLES of all sorts,CANDLES
export_uk,"CANDLES, Stearine (British)",CANDLES
export_uk,CAOTCHOUK Manufactures of,CAOUTCHOUC MANUFACTURES
export_uk,CAOUTCHOUO MANUFACTURES,CAOUTCHOUC MANUFACTURES
export_uk,CAOUTCHOUQ MANUFACTURES,CAOUTCHOUC MANUFACTURES
export_uk,"CAOUTCHOUQ, MANUFACTURES OF",CAOUTCHOUC MANUFACTURES
export_uk,CAOUTCHouc MANUFACTURES,CAOUTCHOUC MANUFACTURES
export_uk,"CAOUTCHouc, Manufactures of",CAOUTCHOUC MANUFACTURES
export_uk,CARRIAGES,CARRIAGES
export_uk,"CARRIAGES, &c.",CARRIAGES
export_uk,"CARRIAGES, CARTS, &c.",CARRIAGES
export_uk,CEMENT,CEMENT
export_uk,CEMENT'd),CEMENT
export_uk,CHEMICAL PRODUCTS AND PREPARATIONS not specially enumerated,CHEMICAL PRODUCTS AND PREPARATIONS
export_uk,"CHEMICAL PRODUCTS and Preparations, not specially unenumerated",CHEMICAL PRODUCTS AND PREPARATIONS
export_uk,"CHEMICAL PRODUCTS or Preparations, not specially enumerated",CHEMICAL PRODUCTS AND PREPARATIONS
export_uk,"CLAY, Unmanufactured","CLAY, UNMANUFACTURED"
export_uk,"CLAY, unmant factured","CLAY, UNMANUFACTURED"
export_uk,"CLOCKS, WATCHES, and parts thereof",CLOCKS AND WATCHES
export_uk,"COAL, CINDERS, &c.","COALS, CINDERS, &c."
export_uk,"COALS, CINDERS, &c.","COALS, CINDERS, &c."
export_uk,"COALS, CINDERS, &c.Products of Coal, Peat, or Shale, including Naphtha, Paraffine, and Oil thereof, and Petroleum, Pitch, and Tar","COALS, CINDERS, &c."
export_uk,COPPER,COPPER
