flow,volume,year,group,article,seq_from,seq_to,to_group,to_article,to_unit,rows,value,canada,primary,method,reference,from_block
export_uk,tn_1871,1870,COPPER,"Unwrought, in Bricks or Pigs, Rose Copper, and all Cast Copper (Foreign)",931,954,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",,Tons,24,1117581,0,1,continuation~x4,as_1884,"COPPER/Unwrought, in Bricks or Pigs, Rose Copper, and all Cast Copper (Foreign)"
export_uk,tn_1871,1870,MEAL and FLOUR,COTTON TWIST and YARN (British),1209,1216,"COTTON, YARN, AND TWIST",,,8,4353991,461088,1,continuation~x4,as_1876,MEAL and FLOUR/COTTON TWIST and YARN (British)
export_uk,tn_1871,1870,SILK MANUFACTURES,Unenumerated,4737,4748,SILK MANUFACTURES,Broad Stuffs,,12,73683,1960,1,continuationx3,as_1876,SILK MANUFACTURES/Unenumerated
export_uk,as_1872,1872,"PERFUMERY, of all Sorts",,2054,2077,"PICKLES, VINEGAR, and SAUCES",,,24,592607,55323,1,gapx6,as_1876,"PERFUMERY, of all Sorts/"
export_uk,as_1872,1872,"PLATE, GOLD",Silver,2101,2108,PLATED and GIFT WARES,,Ounces,8,75097,13993,1,gap~x2,as_1876,"PLATE, GOLD/Silver"
export_uk,as_1873,1873,IRON,Tin Plates,1330,1345,IRON,Galvanized (other than Wire or Manufactures     of Wire),Tons,16,867271,31381,1,gap,as_1876,IRON/Tin Plates
export_uk,as_1873,1873,IRON,Hoops,1366,1380,IRON,"Wire of Iron or Steel (except Telegraph Wire), Galvanized or not",Tons,15,692170,19634,1,gap,as_1876,IRON/Hoops
export_uk,as_1873,1873,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",2738,2756,WOOLLEN AND WORSTED MANUFACTURES,Blankets,,19,629677,73164,1,gap+shape,as_1888,"WOOLLEN and WORSTED MANUFACTURES/Carpets, not being Rugs"
export_uk,as_1873,1873,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",2757,2768,WOOLLEN AND WORSTED MANUFACTURES,Shawls,,12,460187,80588,1,gap+shape,as_1888,"WOOLLEN and WORSTED MANUFACTURES/Carpets, not being Rugs"
export_uk,as_1873,1873,WOOLLEN and WORSTED MANUFACTURES,"Carpets, not being Rugs",2769,2787,WOOLLEN AND WORSTED MANUFACTURES,"Rugs, Coverlets, or Wrappers",,19,1579020,96196,1,gap+shape,as_1888,"WOOLLEN and WORSTED MANUFACTURES/Carpets, not being Rugs"
export_uk,as_1874,1874,SILK,Lace,2218,2233,SILK MANUFACTURES,Unenumerated,,16,502155,16661,1,gapx5,as_1876,SILK MANUFACTURES/Lace
