year,commodity,country_raw,country_norm,to_location,quantity,unit,value,currency,series,note,is_world,world_rank,value_is_zero,sheet,src_row
1800,Rosin,France,france,United Kingdom,8.0,CWTS (Hundredweights),4.0,British Pound,KEW_CUST 5,,0,,,Rosin (raw),78915
1800,Rosin,Sweden,sweden,United Kingdom,3.0,CWTS (Hundredweights),1.0,British Pound,KEW_CUST 5,,0,,,Rosin (raw),78916
1800,Rosin,World,world,United Kingdom,3332.0,CWTS (Hundredweights),1450.0,British Pound,KEW_CUST 5,,1,1,0,Rosin (raw),78917
1800,Rosin,Channel Islands,channel islands,United Kingdom,535.0,CWTS (Hundredweights),233.0,British Pound,KEW_CUST 5,,0,,,Rosin (raw),78918
1800,Rosin,The Americas,the americas,United Kingdom,2786.0,CWTS (Hundredweights),1212.0,British Pound,KEW_CUST 5,,0,,,Rosin (raw),78919
1856,Rosin,United States,united states,United Kingdom,517733.0,CWTS (Hundredweights),232980.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78924
1856,Rosin,World,world,United Kingdom,554539.0,CWTS (Hundredweights),249542.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Rosin (raw),78925
1856,Rosin,Other Parts,other parts,United Kingdom,1156.0,CWTS (Hundredweights),520.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78926
1856,Rosin,Hanse Towns,hanse towns,United Kingdom,35650.0,CWTS (Hundredweights),16042.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78927
1861,Rosin,France,france,United Kingdom,66790.0,CWTS (Hundredweights),58361.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78928
1861,Rosin,World,world,United Kingdom,598080.0,CWTS (Hundredweights),391331.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Rosin (raw),78929
1861,Rosin,Hamburg,hamburg,United Kingdom,32203.0,CWTS (Hundredweights),28039.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78930
1861,Rosin,United States North Atlantic Ports,united states north atlantic ports,United Kingdom,280341.0,CWTS (Hundredweights),174231.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78931
1861,Rosin,United States South Atlantic Ports,united states south atlantic ports,United Kingdom,177345.0,CWTS (Hundredweights),93895.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78932
1861,Rosin,Other Parts,other parts,United Kingdom,14807.0,CWTS (Hundredweights),13165.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78933
1861,Rosin,Bremen,bremen,United Kingdom,26594.0,CWTS (Hundredweights),23640.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78934
1866,Rosin,France,france,United Kingdom,206546.0,CWTS (Hundredweights),124007.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78935
1866,Rosin,World,world,United Kingdom,593818.0,CWTS (Hundredweights),418966.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Rosin (raw),78936
1866,Rosin,Hamburg,hamburg,United Kingdom,3567.0,CWTS (Hundredweights),2167.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78937
1866,Rosin,United States North Atlantic Ports,united states north atlantic ports,United Kingdom,243794.0,CWTS (Hundredweights),191642.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78938
1866,Rosin,United States South Atlantic Ports,united states south atlantic ports,United Kingdom,102514.0,CWTS (Hundredweights),79734.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78939
1866,Rosin,Other Parts,other parts,United Kingdom,3489.0,CWTS (Hundredweights),2158.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78940
1866,Rosin,Bremen,bremen,United Kingdom,31712.0,CWTS (Hundredweights),17350.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78941
1866,Rosin,Bahamas,bahamas,United Kingdom,2196.0,CWTS (Hundredweights),1908.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78942
1871,Rosin,France,france,United Kingdom,171042.0,CWTS (Hundredweights),81942.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78943
1871,Rosin,World,world,United Kingdom,736942.0,CWTS (Hundredweights),330994.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Rosin (raw),78944
1871,Rosin,United States of America,united states of america,United Kingdom,557450.0,CWTS (Hundredweights),245134.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78945
1871,Rosin,Other Countries,other countries,United Kingdom,8450.0,CWTS (Hundredweights),3918.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78946
1876,Rosin,France,france,United Kingdom,13851.0,CWTS (Hundredweights),6738.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78947
1876,Rosin,World,world,United Kingdom,980027.0,CWTS (Hundredweights),313007.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Rosin (raw),78948
1876,Rosin,United States of America,united states of america,United Kingdom,966109.0,CWTS (Hundredweights),306234.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78949
1876,Rosin,Other Countries,other countries,United Kingdom,67.0,CWTS (Hundredweights),35.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78950
1881,Rosin,World,world,United Kingdom,1131443.0,CWTS (Hundredweights),349442.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Rosin (raw),78951
1881,Rosin,United States of America,united states of america,United Kingdom,1117384.0,CWTS (Hundredweights),343382.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78952
1881,Rosin,Other Countries,other countries,United Kingdom,14059.0,CWTS (Hundredweights),6060.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78953
1886,Rosin,France,france,United Kingdom,9291.0,CWTS (Hundredweights),3605.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78954
1886,Rosin,World,world,United Kingdom,1168555.0,CWTS (Hundredweights),292229.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Rosin (raw),78955
1886,Rosin,British North America,british north america,United Kingdom,1404.0,CWTS (Hundredweights),428.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78956
1886,Rosin,United States of America,united states of america,United Kingdom,1155695.0,CWTS (Hundredweights),287627.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78957
1886,Rosin,Other Foreign Countries ,other foreign countries,United Kingdom,2165.0,CWTS (Hundredweights),569.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78958
1891,Rosin,France,france,United Kingdom,38692.0,CWTS (Hundredweights),12540.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78959
1891,Rosin,World,world,United Kingdom,1638840.0,CWTS (Hundredweights),399939.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Rosin (raw),78960
1891,Rosin,United States of America,united states of america,United Kingdom,1599707.0,CWTS (Hundredweights),387216.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78961
1891,Rosin,Other Foreign Countries ,other foreign countries,United Kingdom,441.0,CWTS (Hundredweights),183.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78962
1896,Rosin,Brazil,brazil,United Kingdom,20787.0,CWTS (Hundredweights),6845.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78963
1896,Rosin,France,france,United Kingdom,29830.0,CWTS (Hundredweights),10232.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78964
1896,Rosin,World,world,United Kingdom,1655374.0,CWTS (Hundredweights),419563.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Rosin (raw),78965
1896,Rosin,United States of America,united states of america,United Kingdom,1599903.0,CWTS (Hundredweights),400790.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78966
1896,Rosin,Other Foreign Countries ,other foreign countries,United Kingdom,4854.0,CWTS (Hundredweights),1696.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78967
1901,Rosin,France,france,United Kingdom,62505.0,CWTS (Hundredweights),21060.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78968
1901,Rosin,World,world,United Kingdom,1812478.0,CWTS (Hundredweights),429302.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Rosin (raw),78969
1901,Rosin,United States of America,united states of america,United Kingdom,1745970.0,CWTS (Hundredweights),406539.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78970
1901,Rosin,Other Foreign Countries ,other foreign countries,United Kingdom,4003.0,CWTS (Hundredweights),1703.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78971
1906,Rosin,France,france,United Kingdom,235864.0,CWTS (Hundredweights),121702.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78972
1906,Rosin,World,world,United Kingdom,1650727.0,CWTS (Hundredweights),819349.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Rosin (raw),78973
1906,Rosin,Spain,spain,United Kingdom,72748.0,CWTS (Hundredweights),39569.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78974
1906,Rosin,United States of America,united states of america,United Kingdom,1320852.0,CWTS (Hundredweights),648074.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78975
1906,Rosin,Other Foreign Countries ,other foreign countries,United Kingdom,21211.0,CWTS (Hundredweights),9983.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78976
1906,Rosin,British Possessions,british possessions,United Kingdom,52.0,CWTS (Hundredweights),21.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Rosin (raw),78977
1800,Tallow,France,france,United Kingdom,1271.0,CWTS (Hundredweights),1334.0,British Pound,KEW_CUST 5,,0,,,Tallow (raw),99405
1800,Tallow,Holland,holland,United Kingdom,75.0,CWTS (Hundredweights),79.0,British Pound,KEW_CUST 5,,0,,,Tallow (raw),99406
1800,Tallow,World,world,United Kingdom,415921.0,CWTS (Hundredweights),450851.0,British Pound,KEW_CUST 5,,1,1,0,Tallow (raw),99407
1800,Tallow,Russia,russia,United Kingdom,410260.0,CWTS (Hundredweights),444905.0,British Pound,KEW_CUST 5,,0,,,Tallow (raw),99408
1800,Tallow,Prussia,prussia,United Kingdom,20.0,CWTS (Hundredweights),21.0,British Pound,KEW_CUST 5,,0,,,Tallow (raw),99409
1800,Tallow,Germany,germany,United Kingdom,601.0,CWTS (Hundredweights),631.0,British Pound,KEW_CUST 5,,0,,,Tallow (raw),99410
1800,Tallow,Channel Islands,channel islands,United Kingdom,209.0,CWTS (Hundredweights),220.0,British Pound,KEW_CUST 5,,0,,,Tallow (raw),99411
1800,Tallow,Poland,poland,United Kingdom,81.0,CWTS (Hundredweights),85.0,British Pound,KEW_CUST 5,,0,,,Tallow (raw),99412
1800,Tallow,Ireland,ireland,United Kingdom,2794.0,CWTS (Hundredweights),2934.0,British Pound,KEW_CUST 5,,0,,,Tallow (raw),99413
1800,Tallow,The Americas,the americas,United Kingdom,545.0,CWTS (Hundredweights),573.0,British Pound,KEW_CUST 5,,0,,,Tallow (raw),99414
1800,Tallow,Denmark and Norway,denmark and norway,United Kingdom,65.0,CWTS (Hundredweights),69.0,British Pound,KEW_CUST 5,,0,,,Tallow (raw),99415
1831,Tallow,Brazil,brazil,United Kingdom,1576.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99417
1831,Tallow,Denmark,denmark,United Kingdom,60.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99418
1831,Tallow,France,france,United Kingdom,8568.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99419
1831,Tallow,Italy,italy,United Kingdom,7070.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99420
1831,Tallow,Sweden,sweden,United Kingdom,6582.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99421
1831,Tallow,World,world,United Kingdom,1040691.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,1,1,1,Tallow (raw),99422
1831,Tallow,Russia,russia,United Kingdom,999309.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99423
1831,Tallow,Prussia,prussia,United Kingdom,405.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99424
1831,Tallow,Norway,norway,United Kingdom,118.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99425
1831,Tallow,Turkey,turkey,United Kingdom,9358.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99426
1831,Tallow,Germany,germany,United Kingdom,1005.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99427
1831,Tallow,Portugal,portugal,United Kingdom,843.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99428
1831,Tallow,Cape of Good Hope,cape of good hope,United Kingdom,3009.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99429
1831,Tallow,Malta,malta,United Kingdom,235.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99430
