flow,volume,from_group,article,to_group,reason,rows,value,destinations
export_uk,as_1898,WOOD AND TIMBER,Noils,WOOLLEN AND WORSTED MANUFACTURES,vocab,84,8762190,15
export_uk,as_1898,WOOD AND TIMBER,"Woollen Tissues, Light, Narrow, mixed with other Materials",WOOLLEN AND WORSTED MANUFACTURES,home,247,3082110,48
export_uk,as_1898,WOOD AND TIMBER,"Woollen Tissues, Heavy, Broad, all Wool",WOOLLEN AND WORSTED MANUFACTURES,home,1593,76266642,96
export_uk,as_1898,WOOD AND TIMBER,Shawls,WOOLLEN AND WORSTED MANUFACTURES,home,104,1342733,19
export_uk,as_1898,WOOD AND TIMBER,"Worsted Tissues, Coatings, Broad, all Wool",WOOLLEN AND WORSTED MANUFACTURES,home,306,41713901,60
export_uk,as_1898,WOOD AND TIMBER,"Worsted Stuffs, &c., mixed with other Materials",WOOLLEN AND WORSTED MANUFACTURES,vocab,195,24953567,39
export_uk,as_1898,WOOD AND TIMBER,Wool and Mohair Plushes,WOOLLEN AND WORSTED MANUFACTURES,home,40,260018,6
export_uk,as_1898,WOOD AND TIMBER,"Yarn, Hair or Wool, not otherwise Enumerated",WOOLLEN AND WORSTED MANUFACTURES,home,39,1569336,6
export_uk,as_1898,WOOD AND TIMBER,Flannels,WOOLLEN AND WORSTED MANUFACTURES,home,164,5233888,31
export_uk,as_1898,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., Mixed with other Materials—cont.",WOOLLEN AND WORSTED MANUFACTURES,home,135,22507808,26
export_uk,as_1898,WOOD AND TIMBER,"Damasks, Tapestry, and other Furniture Stuffs",WOOLLEN AND WORSTED MANUFACTURES,home,49,243452,8
export_uk,as_1898,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",WOOLLEN AND WORSTED MANUFACTURES,home,238,10471561,46
export_uk,as_1898,WOOD AND TIMBER,Blankets,WOOLLEN AND WORSTED MANUFACTURES,home,213,6783214,41
export_uk,as_1898,WOOD AND TIMBER,Waste,WOOLLEN AND WORSTED MANUFACTURES,vocab,451,89896970,35
export_uk,as_1898,WOOD AND TIMBER,"Yarn, Alpaca and Mohair",WOOLLEN AND WORSTED MANUFACTURES,home,75,22944471,13
export_uk,as_1898,WOOD AND TIMBER,"Carpets, not being Rugs",WOOLLEN AND WORSTED MANUFACTURES,home,230,12158021,44
export_uk,as_1898,WOOD AND TIMBER,"Worsted Tissues, Coatings, Broad, mixed with other Materials",WOOLLEN AND WORSTED MANUFACTURES,home,190,4907178,34
export_uk,as_1898,WOOD AND TIMBER,"Rugs, Coverlets, or Wrappers",WOOLLEN AND WORSTED MANUFACTURES,home,185,6688846,35
export_uk,as_1898,WOOD AND TIMBER,Hosiery,WOOLLEN AND WORSTED MANUFACTURES,home,425,14680965,56
export_uk,as_1899,WOOD AND TIMBER,"Sheep and Lambs', British,     Raw or Undressed",WOOLLEN AND WORSTED MANUFACTURES,vocab,83,12795332,15
export_uk,as_1899,WOOD AND TIMBER,Noils,WOOLLEN AND WORSTED MANUFACTURES,vocab,85,9616383,15
export_uk,as_1899,WOOD AND TIMBER,"Woollen Tissues, Light, Narrow, mixed with other Materials",WOOLLEN AND WORSTED MANUFACTURES,home,246,3199692,48
export_uk,as_1899,WOOD AND TIMBER,Worsted Yarn (Combed or Carded),WOOLLEN AND WORSTED MANUFACTURES,home,170,74774209,32
export_uk,as_1899,WOOD AND TIMBER,"Rugs, Coverlets, or Wrappers",WOOLLEN AND WORSTED MANUFACTURES,home,493,20206448,54
export_uk,as_1899,WOOD AND TIMBER,Woollen Yarn (Carded),WOOLLEN AND WORSTED MANUFACTURES,home,105,1519592,19
export_uk,as_1899,WOOD AND TIMBER,"Woollen Tissues, Light, Broad, mixed with other Materials",WOOLLEN AND WORSTED MANUFACTURES,home,490,14277789,63
export_uk,as_1899,WOOD AND TIMBER,"Carpets, not being Rugs",WOOLLEN AND WORSTED MANUFACTURES,home,230,12530830,44
export_uk,as_1899,WOOD AND TIMBER,"Worsted Tissues, Coatings, Broad, all Wool",WOOLLEN AND WORSTED MANUFACTURES,home,699,54978212,70
export_uk,as_1899,WOOD AND TIMBER,"Worsted Stuffs, &c., mixed with other Materials",WOOLLEN AND WORSTED MANUFACTURES,vocab,195,24973762,39
export_uk,as_1899,WOOD AND TIMBER,Wool and Mohair Plushes,WOOLLEN AND WORSTED MANUFACTURES,home,40,248287,6
export_uk,as_1899,WOOD AND TIMBER,"Woollen Tissues, Heavy, Broad, all Wool",WOOLLEN AND WORSTED MANUFACTURES,home,1101,65196353,82
export_uk,as_1899,WOOD AND TIMBER,Shawls,WOOLLEN AND WORSTED MANUFACTURES,home,103,1261808,19
export_uk,as_1899,WOOD AND TIMBER,Flocks and Ragwool,WOOLLEN AND WORSTED MANUFACTURES,vocab,68,5055680,12
export_uk,as_1899,WOOD AND TIMBER,Combed or Carded and Tops,WOOLLEN AND WORSTED MANUFACTURES,vocab,94,19862468,17
export_uk,as_1899,WOOD AND TIMBER,"Yarn, Hair or Wool, not otherwise Enumerated",WOOLLEN AND WORSTED MANUFACTURES,home,39,1570999,6
export_uk,as_1899,WOOD AND TIMBER,Flannels,WOOLLEN AND WORSTED MANUFACTURES,home,163,5445510,31
export_uk,as_1899,WOOD AND TIMBER,Waste,WOOLLEN AND WORSTED MANUFACTURES,vocab,84,1425011,16
export_uk,as_1899,WOOD AND TIMBER,"Yarn, Alpaca and Mohair",WOOLLEN AND WORSTED MANUFACTURES,home,75,24611833,13
export_uk,as_1899,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., Mixed with other Materials—cont.",WOOLLEN AND WORSTED MANUFACTURES,home,135,22419635,26
export_uk,as_1899,WOOD AND TIMBER,"Damasks, Tapestry, and other Furniture Stuffs",WOOLLEN AND WORSTED MANUFACTURES,home,65,295383,11
export_uk,as_1899,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",WOOLLEN AND WORSTED MANUFACTURES,home,238,11061193,46
export_uk,as_1899,WOOD AND TIMBER,Blankets,WOOLLEN AND WORSTED MANUFACTURES,home,213,6331252,41
