scope,raw_norm,example,years,n_rows,canonical_id,rule,status
tier1,furniture and hardwood of all sorts,Furniture and Hardwood of all Sorts,1868-1894,11,wood-furniture-hardwoods,furniture/hardwoods,auto
tier1,furniture woods and hard woods of all sorts,"Furniture woods and hard woods, of all Sorts -",1891-1896,6,wood-furniture-hardwoods,furniture/hardwoods,auto
tier1,furniture woods mahogany,Furniture woods: Mahogany,1894-1900,14,wood-mahogany,mahogany,auto
tier1,hewn,Hewn - - - - -,1868-1896,65,wood-hewn-fir,bare hewn (fir is the default species),auto
tier1,hewn fir,Hewn : Fir - - - - -,1894-1900,10,wood-hewn-fir,hewn+fir,auto
tier1,hewn loads,Hewn . . . . . Loads,1888-1888,1,wood-hewn-fir,bare hewn (fir is the default species),auto
tier1,horse frames fittings joiners and cabinet work,"Horse Frames, Fittings, Joiners' and Cabinet Work - - - - -",1894-1898,5,wood-house-frames,house frames/joinery,auto
tier1,oak,"""    Oak - - - - -",1894-1900,10,wood-hewn-oak,oak (hewn category),auto
tier1,sawn fir,Sawn: Fir - - - - -,1894-1900,10,wood-sawn-fir,sawn+fir,auto
tier1,sawn or split,"Sawn or Split . . . . . """,1868-1896,59,wood-sawn-fir,bare sawn (fir is the default species),auto
tier1,sawn or split planed or dressed,"Sawn or Split, Planed or Dressed - - - - -",1868-1882,10,wood-sawn-fir,bare sawn (fir is the default species),auto
tier1,sawn or split planked or dressed,"Sawn or Split, Planked or Dressed",1890-1894,5,wood-sawn-fir,bare sawn (fir is the default species),auto
tier1,staves,Staves - - - - -,1868-1896,52,wood-staves,staves,auto
tier1,staves of all dimensions,"Staves, of all dimensions",1894-1900,10,wood-staves,staves,auto
tier1,teak,"""    Teak - - - - -",1894-1900,10,wood-hewn-teak,teak (hewn category),auto
tier1,unenumerated,„ Unenumerated,1894-1900,14,wood-unenumerated,unenumerated (unqualified),auto
tier1,wool sheep and lambs,"Wool, Sheep and Lambs'",1887-1890,4,,UNMAPPED - needs review,review
tier1,woollen manufactures,Woollen Manufactures,1887-1894,8,,UNMAPPED - needs review,review
tier2,(blank),(blank),1876-1899,1166,,UNMAPPED - needs review,review
tier2,alpaca vicuna and llama,"Alpaca, Vicuna, and Llama",1893-1898,52,,UNMAPPED - needs review,review
