commodity,unit,gap_start,gap_end,n_years,kind,ratios,missing_qty,gbp_at_stake,commodity_gbp,dup_years,dup_by,all_dup
"Sugar — Unrefined, Total",Cwt,1874,1874,1,collapse,0.00,14129112,17041927,395688379,,,
Caoutchouc — Manufactures Of,Lb,1892,1898,7,collapse,0.38 0.35 0.34 0.39 0.38 0.38 0.45,45871395,11834386,10361298,,,
"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated",Ton,1882,1882,1,collapse,0.09,47841,542683,3709450,,,
Cocoa Nut,Cwt,1876,1876,1,hole,0.00,199431,531678,1104442,,,
"Cordage, Twine, And Cable Yarn",Value,1888,1888,1,hole,0.00,459138,515078,11235441,,,
Sumach,Ton,1890,1892,3,hole,0.00 0.00 0.00,35366,513980,966136,,,
Sago,Cwt,1893,1893,1,hole,0.00,611506,512954,7561005,,,
Opium,Lb,1882,1882,1,hole,0.00,478624,482551,12710420,,,
Bones (Except Whalefins) — Applicable To Manufacturing Pur- Poses,Ton,1892,1894,3,hole,0.00 0.00 0.00,23451,480083,584878,,,
"Skins And Furs — Goat, Undressed",Number,1882,1882,1,hole,0.00,3620868,477377,12174237,,,
Oil — Coco-Nut,Cwt,1875,1875,1,hole,0.00,219158,462836,8204058,,,
Sugar — Glucose,Cwt,1885,1885,1,hole,0.00,460524,459235,13293374,,,
Opium,Lb,1890,1890,1,hole,0.00,451193,454895,12710420,,,
Kowrie,Cwt,1875,1876,2,hole,0.00 0.00,72930,452656,9031187,,,
Spices — Unenumerated,Lb,1887,1887,1,collapse,0.18,11654102,451293,8638811,,,
Drugs — Unenumerated,Value,1874,1874,1,hole,0.00,427938,443880,12817788,,,
Leather Manufactures — Boots And Shoes,Dozen Pairs,1883,1883,1,collapse,0.13,107278,440500,11339603,,,
"Flowers, Artificial",Value,1874,1874,1,collapse,0.33,300000,383453,11864916,,,
Caoutchouc — Manufactures Of,Lb,1882,1882,1,hole,0.00,1447739,373503,10361298,,,
Opium,Lb,1893,1893,1,hole,0.00,368566,371590,12710420,,,
Spices — Unenumerated,Lb,1885,1885,1,collapse,0.17,9139939,353935,8638811,,,
"Cordage, Twine, And Cable Yarn",Value,1885,1885,1,collapse,0.42,260337,292056,11235441,,,
Bristles,Lb,1874,1874,1,collapse,0.35,1720726,265642,12614284,,,
"Madder, Madder Root, Garancine, And Munjeet",Cwt,1891,1891,1,hole,0.00,11477,263938,3638655,,,
Spices — Unenumerated,Lb,1873,1873,1,hole,0.00,6601393,255632,8638811,,,
"Meat, Salted Or Fresh",Cwt,1880,1880,1,collapse,0.39,90520,243473,10531402,,,
Fruit — Figs,Cwt,1885,1885,1,hole,0.00,113162,233097,5701363,,,
