year,country,article_group,article,unit,value,quantity,value_inf,engines_agree,section,tier,volume,own_year,row_seq
1870,British North America,AGRICULTURAL IMPLEMENTS,Unenumerated,,2656.0,,,0,within5,D,tn_1871,1,22
1870,British North America,ALKALI,Bicarbonate of Soda,Cwts,6995.0,14198.0,6995.0,1,exact01,A,tn_1871,1,71
1870,Canada,ALKALI,"Caustic Soda, Soda Ash, and Refined Alkali",Cwts,25675.0,54996.0,28675.0,0,gross,D,tn_1871,1,44
1870,Canada,ALKALI,Crystals of Soda,Cwts,5799.0,28188.0,,0,exact01,B,tn_1871,1,60
1870,Canada,ALUM,,Cwts,2062.0,5804.0,,0,exact01,B,tn_1871,1,87
1870,British North America,APPAREL and SLOPS,,,813624.0,,2501.0,0,gross,D,tn_1871,1,111
1870,British North America,"ARMS, AMMUNITION, and MILITARY STORES",Gunpowder,Lbs,12641.0,512535.0,12641.0,1,exact01,A,tn_1871,1,213
1870,British North America,"ARMS, AMMUNITION, and MILITARY STORES",Muskets,No,2607.0,2317.0,2607.0,1,exact01,A,tn_1871,1,137
1870,British North America,"ARMS, AMMUNITION, and MILITARY STORES",Percussion Caps,Mille,1143.0,7916.0,,0,exact01,B,tn_1871,1,236
1870,British North America,BEER and ALE,,Barrels,32078.0,7930.0,,0,exact01,B,tn_1871,1,342
1870,Canada,BLEACHING MATERIALS,,BLEACHING MATERIALS :,3976.0,9691.0,,0,gross,D,tn_1871,1,379
1870,British North America,BORAX (Refined in the United Kingdom),,Cwts,1973.0,586.0,,0,exact01,B,tn_1871,1,400
1870,Canada,BRASS,Tubing,Cwts,1360.0,366.0,1360.0,1,exact01,A,tn_1871,1,432
1870,Canada,BRASS,"Wire of all Sorts, and Manufactures of Wire",Cwts,1153.0,2509.0,1153.0,1,mod,D,tn_1871,1,416
1870,British North America,BRASS,"Wrought, of all other Sorts, not being Ordnance, and not otherwise described",Cwts,1627.0,698.0,,0,mod,D,tn_1871,1,455
1870,British North America,BRICKS,,Mille,3137.0,1372.0,,0,within5,D,tn_1871,1,478
1870,British North America,BRIMSTONE,,,1445.0,2744.0,2501.0,0,gross,D,tn_1871,1,489
1870,British North America,BROOMS and BRUSHES,,,1462.0,,2501.0,0,mod,D,tn_1871,1,503
