commodity,total,mapped,top_origins,regions
TEA,9295628,9295628,China 4835358; Bengal 2071964; Bengal And Burmah 1025005; Ceylon 950597; Hong Kong 103951; Holland 87547,China & Japan 4942929; India & Southeast Asia 4138903; Europe 184279; Mediterranean & Levant 13507; North America 11683; Australasia & Pacific 3810; South America 438; Africa 78
FRUIT,1450574,1450574,Spain 442898; Greece 294834; Turkey 151400; France 95074; United States Of America 76659; Portugal 72670,Europe 815870; Mediterranean & Levant 470277; North America 117235; China & Japan 20595; Australasia & Pacific 8725; Caribbean & Central America 7985; South America 5120; India & Southeast Asia 4314; Africa 453
SILK MANUFACTURES,1353445,1219737,France 555000; Belgium 379048; Holland 216097; British East Indies 19456; China 11672; United States Of America 8490,Europe 1153671; Unmapped 133708; China & Japan 21796; India & Southeast Asia 21658; North America 15734; South America 4859; Australasia & Pacific 1186; Caribbean & Central America 770; Mediterranean & Levant 62
"SKINS, FURS AND PELTS",1143301,1143301,Cape Of Good Hope 143973; United States Of America 107809; Argentine Republic 99836; New Zealand 83731; France 79449; British Possessions In South Africa 55783,Africa 228742; Europe 226837; Australasia & Pacific 224827; North America 173628; South America 128381; India & Southeast Asia 104425; China & Japan 37625; Mediterranean & Levant 18828; Caribbean & Central America 8
HEMP,1105023,1105023,Philippine Islands 351834; Germany 143482; Italy 142553; Russia 133047; Philippine And Ladrone Islands 90757; Hong Kong 64649,India & Southeast Asia 493596; Europe 436495; China & Japan 71810; Australasia & Pacific 44274; North America 21113; Africa 19004; Caribbean & Central America 17978; Mediterranean & Levant 753
WOOL,999785,999785,New South Wales 173632; New Zealand 126592; Victoria 115083; Cape Of Good Hope 60934; British Possessions In South Africa 54360; France 51195,Australasia & Pacific 572323; Europe 147055; Africa 126095; Mediterranean & Levant 60524; India & Southeast Asia 51498; South America 37266; North America 2465; China & Japan 2453; Caribbean & Central America 106
WOOLLEN MANUFACTURES,877427,877427,France 715779; Holland 67180; Germany 35906; Belgium 25091; United States Of America (Atlantic) 13969; Australasia 2937,Europe 848107; North America 16963; South America 3321; Australasia & Pacific 2946; India & Southeast Asia 2512; China & Japan 1255; Africa 1083; Caribbean & Central America 734; Mediterranean & Levant 507
RICE,628582,628582,Bengal And Burmah 416384; Bengal 54514; Madras 39488; Holland 27495; Burmah 26143; Japan 19166,India & Southeast Asia 564262; Europe 43182; China & Japan 19750; Mediterranean & Levant 651; North America 396; Africa 316; South America 25
ZINC AND ZINC ORE,563093,563093,Germany 163152; Holland 143113; Belgium 91719; France 34269; Bengal 24249; Italy 17245,Europe 461569; India & Southeast Asia 48934; North America 20867; Mediterranean & Levant 12956; Australasia & Pacific 6434; Africa 3519; Caribbean & Central America 3094; China & Japan 2971; South America 2749
SPICES,535607,535607,British East Indies 182536; Straits Settlements 154017; British West India Islands 53812; Ceylon 27252; Holland 20059; Bombay 12986,India & Southeast Asia 402363; Caribbean & Central America 53955; Europe 29020; Africa 24382; China & Japan 18704; North America 6557; Mediterranean & Levant 414; South America 140; Australasia & Pacific 72
