year,region,reexport_value_est
1870,Europe,0
1870,India & Southeast Asia,0
1870,China & Japan,0
1870,North America,0
1870,Australasia & Pacific,0
1870,Mediterranean & Levant,0
1870,South America,0
1870,Unmapped,0
1870,Africa,0
1870,Caribbean & Central America,0
1871,Europe,0
1871,India & Southeast Asia,0
1871,China & Japan,0
1871,North America,0
1871,Australasia & Pacific,0
1871,Mediterranean & Levant,0
1871,South America,0
1871,Unmapped,0
1871,Africa,0
1871,Caribbean & Central America,0
1872,Europe,158789
1872,India & Southeast Asia,148940
1872,China & Japan,470852
1872,North America,20876
1872,Australasia & Pacific,53168
1872,Mediterranean & Levant,36482
1872,South America,32625
1872,Unmapped,16670
1872,Africa,20159
1872,Caribbean & Central America,11296
1873,Europe,108607
1873,India & Southeast Asia,129704
1873,China & Japan,305358
1873,North America,12380
1873,Australasia & Pacific,2256
1873,Mediterranean & Levant,25282
1873,South America,11402
1873,Unmapped,6828
1873,Africa,8086
1873,Caribbean & Central America,12299
1874,Europe,128758
1874,India & Southeast Asia,136693
1874,China & Japan,336361
1874,North America,16041
1874,Australasia & Pacific,2480
1874,Mediterranean & Levant,24215
1874,South America,25628
1874,Unmapped,23902
1874,Africa,9243
1874,Caribbean & Central America,25401
1875,Europe,55623
1875,India & Southeast Asia,109501
1875,China & Japan,270866
1875,North America,8268
1875,Australasia & Pacific,1094
1875,Mediterranean & Levant,17865
1875,South America,9061
1875,Unmapped,8973
1875,Africa,4223
1875,Caribbean & Central America,10187
1876,Europe,71027
1876,India & Southeast Asia,123876
1876,China & Japan,274854
1876,North America,8603
1876,Australasia & Pacific,1062
1876,Mediterranean & Levant,17356
1876,South America,18654
1876,Unmapped,1354
1876,Africa,5897
1876,Caribbean & Central America,19821
1877,Europe,80527
1877,India & Southeast Asia,134679
1877,China & Japan,255506
1877,North America,11077
1877,Australasia & Pacific,2725
1877,Mediterranean & Levant,24025
1877,South America,18644
1877,Unmapped,0
1877,Africa,5917
1877,Caribbean & Central America,17079
1878,Europe,97144
1878,India & Southeast Asia,143795
1878,China & Japan,227421
1878,North America,11927
1878,Australasia & Pacific,2397
1878,Mediterranean & Levant,24571
1878,South America,6230
1878,Unmapped,0
1878,Africa,2708
