kind,commodity,country,unit,year,value,series_median,ratio_to_median,gbp
spike,Wine — Total Of All Kinds,Canary Islands,?,1896,71327,17730,4.023,317045205
hole,Corn And Grain — Wheat,United States Of America,Cwt,1892,,23859581,,189400601
hole,Wood And Timber,British East Indies,Load,1890,,48772,,108629085
hole,Wood And Timber,British East Indies,Load,1891,,48772,,108629085
hole,Wood And Timber,British East Indies,Load,1892,,48772,,108629085
hole,Corn And Grain — Wheat,United States Of America (Atlantic),Cwt,1892,,15050412,,107083664
hole,Wood And Timber,Burmah,Load,1890,,42661,,98873013
hole,Wood And Timber,Burmah,Load,1891,,42661,,98873013
hole,Wood And Timber,Burmah,Load,1892,,42661,,98873013
dip,"Animals, Living — Oxen And Bulls",United States Of America,Number,1882,47664,262566,0.182,96205111
dip,"Corn, Grain, Meal, And Flour — United States Of America",United States Of America,?,1892,1196678,24460716,0.049,95615684
hole,Meal And Flour — Wheat Meal Or Flour,United States Of America,Cwt,1881,,12292220,,94694198
hole,Meal And Flour — Wheat Meal Or Flour,United States Of America,Cwt,1882,,12292220,,94694198
hole,Meal And Flour — Wheat Meal Or Flour,United States Of America,Cwt,1892,,12292220,,94694198
dip,Meal And Flour — Wheat Meal Or Flour,United States Of America,Cwt,1873,1582957,12292220,0.129,94694198
dip,Coffee,Holland,?,1888,4017,18608,0.216,89486473
dip,Coffee,Holland,?,1890,2610,18608,0.14,89486473
hole,Jute,Bengal,Ton,1892,,337483,,78691360
hole,Butter,France,Cwt,1882,,461222,,71362173
hole,Butter,France,Cwt,1883,,461222,,71362173
hole,Butter,France,Cwt,1884,,461222,,71362173
hole,Butter,France,Cwt,1885,,461222,,71362173
dip,Butter,France,Cwt,1874,36307,461222,0.079,71362173
hole,Silk — Raw,China,Lb,1884,,1697135,,68951268
hole,Silk — Raw,China,Lb,1886,,1697135,,68951268
hole,Coffee,Ceylon,Cwt,1879,,504992,,65166356
hole,Coffee,Ceylon,Cwt,1882,,504992,,65166356
hole,Coffee,Ceylon,Cwt,1883,,504992,,65166356
dip,Coffee,Ceylon,Cwt,1874,30195,504992,0.06,65166356
hole,Corn And Grain — Wheat,United States Of America (Pacific),Cwt,1892,,8874679,,64363994
dip,Corn And Grain — Wheat,United States Of America (Pacific),Cwt,1885,77392,8874679,0.009,64363994
hole,Caoutchouc,Brazil,Cwt,1874,,90990,,60237983
hole,Caoutchouc,Brazil,Cwt,1887,,90990,,60237983
hole,Caoutchouc,Brazil,Cwt,1889,,90990,,60237983
hole,Caoutchouc,Brazil,Cwt,1890,,90990,,60237983
hole,Caoutchouc,Brazil,Cwt,1891,,90990,,60237983
dip,Caoutchouc,Brazil,Cwt,1875,1814,90990,0.02,60237983
hole,Rice,Bengal And Burmah,Cwt,1880,,6676410,,58948040
dip,Tea,Ceylon,Lb,1879,219555,57323010,0.004,58399543
dip,Maize Or Indian Corn,Roumania,Cwt,1880,1761432,7343682,0.24,58182307
hole,"Other Sorts, Including Candy",Germany,Cwt,1886,,5142084,,57665338
hole,"Other Sorts, Including Candy",Germany,Cwt,1892,,5142084,,57665338
hole,"Flax, Dressed Or Undressed",Other Countries,Cwt,1873,,2556,,54881303
hole,"Flax, Dressed Or Undressed",Other Countries,Cwt,1877,,2556,,54881303
hole,"Flax, Dressed Or Undressed",Other Countries,Cwt,1882,,2556,,54881303
dip,"Flax, Dressed Or Undressed",Other Countries,Cwt,1883,483,2556,0.189,54881303
dip,"Corn, Grain, Meal, And Flour — United States Of America",United States Of America (Atlantic),?,1892,653373,14320702,0.046,53906013
spike,Silk — Raw,Japan,?,1886,119846,25690,4.665,52145790
hole,Wool — Sheep Or Lambs',British India Bombay And Scinde,Lb,1877,,22201322,,50631268
hole,Wool — Sheep Or Lambs',British India Bombay And Scinde,Lb,1881,,22201322,,50631268
hole,Tobacco — Unmanufactured,United States Of America,Lb,1876,,60247715,,48785335
hole,Tobacco — Unmanufactured,United States Of America,Lb,1877,,60247715,,48785335
hole,Tobacco — Unmanufactured,United States Of America,Lb,1879,,60247715,,48785335
hole,Tobacco — Unmanufactured,United States Of America,Lb,1881,,60247715,,48785335
hole,Tobacco — Unmanufactured,United States Of America,Lb,1882,,60247715,,48785335
hole,Cheese,Canada,Cwt,1881,,650610,,47651520
hole,Cheese,Canada,Cwt,1885,,650610,,47651520
hole,Corn And Grain — Wheat,Russia (Southern Ports),Cwt,1892,,6797082,,46832948
hole,Oil,Lagos,?,1887,,618596,,46779712
hole,Oil,Lagos,?,1889,,618596,,46779712
hole,Oil,Lagos,?,1890,,618596,,46779712
hole,Barley,Russia,Cwt,1893,,5182076,,44504465
dip,Barley,Russia,Cwt,1888,461712,5182076,0.089,44504465
hole,Spirits — Brandy,France,Proof Gallon,1874,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1876,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1879,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1880,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1881,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1884,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1887,,2790416,,43068839
hole,Spirits — Brandy,France,Proof Gallon,1888,,2790416,,43068839
hole,Cotton — Flax Or Linseed,Bengal,Quarter,1884,,969183,,41085323
hole,Cotton — Flax Or Linseed,Bengal,Quarter,1888,,969183,,41085323
hole,Cotton — Flax Or Linseed,Bengal,Quarter,1890,,969183,,41085323
hole,Cotton — Flax Or Linseed,Bengal,Quarter,1891,,969183,,41085323
hole,Cotton — Flax Or Linseed,Bengal,Quarter,1892,,969183,,41085323
hole,Tea,China,Lb,1883,,37961745,,39106451
hole,Tea,China,Lb,1884,,37961745,,39106451
hole,Tea,China,Lb,1886,,37961745,,39106451
spike,Tea,China,Lb,1872,160520882,37961745,4.228,39106451
hole,Roasted Or Ground,Belgium,Lb,1875,,143204,,37440997
hole,Roasted Or Ground,Belgium,Lb,1880,,143204,,37440997
hole,Roasted Or Ground,Belgium,Lb,1886,,143204,,37440997
hole,Roasted Or Ground,Belgium,Lb,1887,,143204,,37440997
hole,Roasted Or Ground,Belgium,Lb,1888,,143204,,37440997
