commodity,year,kind,ratio,t1_qty,country_sum,cluster_gbp
Nuts And Kernels — Coco-Nut,1875,missing/short,0.0,219158,0,24006360
Nuts And Kernels — Coco-Nut,1877,missing/short,0.0,195115,0,24006360
"Lac, Seed, Shell, Stick, And Dye",1885,missing/short,0.002,119511,239,23761989
Toys,1880,missing/short,0.129,577397,74389,21681549
Painters' Colours And Pigments,1872,missing/short,0.0,526666,0,18276576
Painters' Colours And Pigments,1873,missing/short,0.0,548327,0,18276576
Painters' Colours And Pigments,1895,missing/short,0.0,873911,0,18276576
Bristles,1874,missing/short,0.354,2664374,943648,12682886
"Thrown, Dyed Or Not Dyed",1899,missing/short,0.0,317786,0,9673930
"Wool — Alpaca, Vicuña, And Llama",1873,missing/short,0.0,4540037,0,7819850
"Wool — Alpaca, Vicuña, And Llama",1874,missing/short,0.0,4182867,0,7819850
"Wool — Alpaca, Vicuña, And Llama",1892,missing/short,0.0,4794901,0,7819850
Nuts And Kernels — Seed,1883,missing/short,0.0,10524,0,6754277
Nuts And Kernels — Seed,1884,missing/short,0.0,12528,0,6754277
Nuts And Kernels — Seed,1885,missing/short,0.0,12940,0,6754277
Nuts And Kernels — Seed,1886,missing/short,0.0,16315,0,6754277
Nuts And Kernels — Seed,1887,missing/short,0.0,15508,0,6754277
Beans (Not Kidney Or French),1893,missing/short,0.187,3946985,738050,6253596
Beans (Not Kidney Or French),1894,missing/short,0.191,5259895,1003451,6253596
Cork — Unmanufactured,1880,missing/short,0.0,7765,0,5559591
Cork — Unmanufactured,1882,missing/short,0.0,9683,0,5559591
Cork — Unmanufactured,1892,missing/short,0.0,12522,0,5559591
Ice,1889,missing/short,0.0,342473,0,5358655
Cochineal (Including Granilla And Dust),1889,missing/short,0.0,8186,0,5321057
Cochineal (Including Granilla And Dust),1890,missing/short,0.0,7808,0,5321057
Parcel Post (Goods Free Of Duty),1892,missing/short,0.0,464792,0,4857967
Parcel Post (Goods Free Of Duty),1898,missing/short,0.0,986290,0,4857967
Parcel Post (Goods Free Of Duty),1899,missing/short,0.0,970165,0,4857967
"Staves, Of All Dimensions",1892,missing/short,0.0,136063,0,3565733
"Staves, Of All Dimensions",1893,missing/short,0.0,131708,0,3565733
Alkali,1879,missing/short,0.589,73014,42984,2605400
"Unmanufactured, Stemmed Or Stripped",1893,missing/short,0.0,52469509,0,2437025
"Unmanufactured, Stemmed Or Stripped",1894,missing/short,0.0,57213582,0,2437025
"Unmanufactured, Stemmed Or Stripped",1895,missing/short,0.0,47252055,0,2437025
"Unmanufactured, Stemmed Or Stripped",1896,missing/short,0.0,58329401,0,2437025
"Unmanufactured, Stemmed Or Stripped",1897,missing/short,0.0,49773153,0,2437025
"Unmanufactured, Stemmed Or Stripped",1898,missing/short,0.0,51119315,0,2437025
"Unmanufactured, Stemmed Or Stripped",1899,missing/short,0.0,95005938,0,2437025
"Manufactured, Of All Kinds",1890,missing/short,0.0,3678846,0,1941082
"Manufactured, Of All Kinds",1891,missing/short,0.0,3497408,0,1941082
"Manufactured, Of All Kinds",1892,missing/short,0.0,4142293,0,1941082
"Manufactured, Of All Kinds",1893,missing/short,0.0,3895104,0,1941082
"Manufactured, Of All Kinds",1894,missing/short,0.0,3811402,0,1941082
"Manufactured, Of All Kinds",1895,missing/short,0.0,4240770,0,1941082
"Manufactured, Of All Kinds",1896,missing/short,0.0,5037198,0,1941082
Candles Of All Sorts,1878,missing/short,0.0,118147,0,1776013
Candles Of All Sorts,1879,missing/short,0.0,120995,0,1776013
Candles Of All Sorts,1880,missing/short,0.0,132433,0,1776013
Candles Of All Sorts,1881,missing/short,0.0,156244,0,1776013
Candles Of All Sorts,1884,missing/short,0.0,90979,0,1776013
Peas,1893,missing/short,0.0,2302443,0,1711200
Peas,1894,missing/short,0.0,2272623,0,1711200
Peas,1895,missing/short,0.0,2422851,0,1711200
Peas,1896,missing/short,0.0,3018657,0,1711200
Peas,1899,missing/short,0.0,2752950,0,1711200
