class,gbp,n_volumes,volume,year,group,article,n_rows_ch,n_rows_inf,qty_offset,qty_matched,lbl_offset,lbl_matched,slip,n_disagree,third_voice,row_set_closes,closure_ch,closure_inf,shipped,ships_wrong,votes_ch,votes_inf,ships_ch,ships_inf,examples
slip,3799145,4,as_1895,1895,"CORN, GRAIN, MEAL, AND FLOUR",Oats,14,14,0,14,-1,8,-1,6,infinity,,1/2,1/2,chandra,True,0,8,7,4,"1,130,870: ch=Russia(0) inf=Sweden(1) ; 748,640: ch=Sweden(0) inf=Germany(0) ; 278,350: ch=Germany(0) inf=Holland(2) ; 43,200: ch=Holland(0) inf=Roumania(2) ; 460,910: ch=Roumania(0) inf=Turkey(0) ; 297,800: ch=Turkey(0) inf=United States of America(1)"
slip,93288940,1,as_1882,1882,COTTON,Raw,19,18,0,16,-1,13,-1,6,UNSETTLEABLE (printed once),infinity,0/0,1/1,infinity,False,0,0,0,13,"20,784: ch=Belgium(0) inf=France(0) ; 1,334,090: ch=France(0) inf=Egypt(0) ; 2,770: ch=On the Atlantic(0) inf=On the Pacific(0) ; 21,981: ch=On the Pacific(0) inf=United States of Colombia(0) ; 37,958: ch=United States of Colombia(0) inf=Peru(0) ; 20,577: ch=Peru(0) inf=Chile(0)"
slip,25742046,1,as_1881,1881,WOOL,Sheep and Lambs',18,19,1,18,0,11,-1,6,UNSETTLEABLE (printed once),infinity,0/1,1/1,chandra,False,0,0,11,0,"13,008,652: ch=Russia : Northern Ports(0) inf=Southern Ports(0) ; 2,499,429: ch=Southern Ports(0) inf=Denmark(0) ; 2,263,651: ch=Denmark(0) inf=Germany(0) ; 1,520,417: ch=Germany(0) inf=Holland(0) ; 3,612,810: ch=Holland(0) inf=Belgium(0) ; 3,011,131: ch=Belgium(0) inf=France(0)"
slip,17218634,3,as_1897,1897,WOOD AND TIMBER,"Sawn or Split, planed or dressed, Fir",39,39,0,13,1,18,1,5,engines systematically differ,chandra,2/6,1/5,infinity,False,0,0,1,3,"18,358: ch=Norway(0) inf=Sweden(0) ; 2,856: ch=Germany(0) inf=Norway(0) ; 4,313: ch=Holland(0) inf=Germany(0) ; 8,103: ch=France(0) inf=Holland(0) ; 40,811: ch=On the Atlantic(0) inf=United States of America : On the Atlantic(0)"
slip,12973918,3,as_1897,1896,WOOD AND TIMBER,"Sawn or Split, planed or dressed, Fir",37,38,0,18,1,18,1,6,engines systematically differ,chandra,5/6,4/5,infinity,False,0,0,3,5,"11,184: ch=Norway(0) inf=Sweden(0) ; 3,472: ch=Holland(0) inf=Germany(0) ; 7,809: ch=France(0) inf=Holland(0) ; 12,680: ch=United States of America(0) inf=France(0) ; 20: ch=On the Pacific(0) inf=United States of America : On the Pacific(0) ; 683: ch=Other Foreign Countries(0) inf=United States of America : Other Foreign Countries(0)"
slip,12441281,2,as_1897,1894,WOOD AND TIMBER,"Sawn or Split, planed or dressed, Fir",40,41,0,20,1,19,1,5,engines systematically differ,chandra,5/6,2/5,,False,0,0,3,3,"14,949: ch=Norway(0) inf=Sweden(0) ; 4,865: ch=Holland(0) inf=Germany(0) ; 7,954: ch=France(0) inf=Holland(0) ; 105: ch=On the Pacific(0) inf=United States of America : On the Pacific(0) ; 139: ch=Other Foreign Countries(0) inf=United States of America : Other Foreign Countries(0)"
slip,11200390,4,as_1897,1895,WOOD AND TIMBER,"Sawn or Split, planed or dressed, Fir",39,40,0,16,1,19,1,5,engines systematically differ,chandra,6/6,4/5,infinity,False,0,0,1,4,"25,374: ch=Sweden(0) inf=Russia(0) ; 15,205: ch=Norway(0) inf=Sweden(0) ; 5,171: ch=Holland(0) inf=Germany(0) ; 8,152: ch=France(0) inf=Holland(0) ; 145: ch=On the Pacific(0) inf=United States of America : On the Pacific(0)"
slip,10768377,1,as_1897,1893,WOOD AND TIMBER,"Sawn or Split, planed or dressed, Fir",37,38,0,16,1,18,1,6,UNSETTLEABLE (printed once),chandra,4/6,3/5,,False,0,0,4,4,"15,488: ch=Norway(0) inf=Sweden(0) ; 3,589: ch=Germany(0) inf=Norway(0) ; 5,015: ch=Holland(0) inf=Germany(0) ; 9,372: ch=United States of America(0) inf=France(0) ; 20,894: ch=On the Atlantic(0) inf=United States of America : On the Atlantic(0) ; 110: ch=On the Pacific(0) inf=United States of America : On the Pacific(0)"
slip,4992679,1,as_1877,1877,Corn and Grain,Oats,10,9,0,9,-1,9,-1,6,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,8,0,"7,262,948: ch=Russia: Northern Ports(0) inf=Southern Ports(0) ; 150,013: ch=Southern Ports(0) inf=Sweden(0) ; 3,083,578: ch=Sweden(0) inf=Norway(0) ; 38,095: ch=Norway(0) inf=Denmark(0) ; 106,457: ch=Denmark(0) inf=Germany(0) ; 1,281,760: ch=Germany(0) inf=Holland(0)"
slip,4477003,1,as_1894,1894,CHICORY,"Cocoa or Chocolate, in the manufacture of which Spirit has been used",32,31,-1,23,0,21,1,6,UNSETTLEABLE (printed once),,1/3,1/3,chandra,False,0,0,14,0,"1,369: ch=Belgium(0) inf=Holland(0) ; 46,475: ch=France(0) inf=Belgium(0) ; 3,476: ch=Portugal(0) inf=France(0) ; 3,606: ch=West Africa, Foreign(0) inf=Portugal(0) ; 99,122: ch=United States of America(0) inf=West Africa, Foreign(0) ; 1,898: ch=Mexico(0) inf=United States of America(0)"
