shipped_as_read,total_may_be_the_error,score,column,engine,volume,year,group,article,country,unit,reads,should_be,q_read,v_read,q_fixed,v_fixed,delta,digit,n_members,printed_total,other_engine_agrees,price_improves,price_before,price_after,block_rate,candidates_in_block,unique,strong
True,False,6,q,chandra,as_1890,1890,COTTON,Raw,British East Indies : Bengal,Cwts,103860,193860,103860,392688,193860,392688,90000,0->9,12,2153010,True,True,3.78,2.03,2.65,1,True,True
True,True,6,v,chandra,as_1888,1888,"SKINS, FURS, and PELTS",Unenumerated : Undressed,Australasia,Number,32591,82591,654650,32591,654650,82591,50000,3->8,3,86239,True,True,0.05,0.13,0.1,1,True,True
True,False,6,q,chandra,as_1890,1890,Meal and Flour,Wheat Meal or Flour,Australasia,Cwts,181140,131140,181140,78012,131140,78012,-50000,8->3,3,1064964,True,True,0.43,0.59,0.56,1,True,True
True,False,6,q,chandra,as_1898,1897,METAL,"Leaf, not Gold",Germany,Packets,10407,19407,10407,5836,19407,5836,9000,0->9,3,124027,True,True,0.56,0.3,0.09,1,True,True
True,False,6,q,chandra,as_1896,1896,HEMP,Dressed or Undressed,Hong Kong,Tons,16527,10527,16527,197588,10527,197588,-6000,6->0,7,18027,True,True,11.96,18.77,16.05,1,True,True
True,False,6,q,chandra,as_1891,1891,FEATHERS AND DOWN,Ornamental,Japan,Lbs. ozs,5935,5035,5935,3076,5035,3076,-900,9->0,9,442450,True,True,0.52,0.61,1.1,1,True,True
True,False,6,v,chandra,as_1897,1894,NUTS AND KERNELS,"Chemical, Essential or Perfumed",Canada,Tons,10981,10081,1574,10981,1574,10081,-900,9->0,4,39643,True,True,6.98,6.4,6.54,1,True,True
True,True,6,q,chandra,as_1892,1892,"PICTURES and DRAWINGS, by HAND",,British East Indies,Number,290,230,290,597,230,597,-60,9->3,4,533,True,True,2.06,2.6,24.6,1,True,True
True,False,6,v,chandra,as_1889,1889,SUGAR,Molasses,Belgium,Cwts,2635,2685,7303,2635,7303,2685,50,3->8,4,124918,True,True,0.36,0.37,0.37,1,True,True
True,True,6,v,chandra,as_1898,1894,Cotton,Tares and Lentils,Bengal,Bushels,3538,3588,28433,3538,28433,3588,50,3->8,3,23377,True,True,0.12,0.13,0.21,1,True,True
True,False,6,q,chandra,as_1877,1877,HORNS,Tips and Pieces of Horn and Hoofs,Ceylon,Tons,110,119,110,5637,119,5637,9,0->9,14,6822,True,True,51.25,47.37,31.03,1,True,True
True,False,6,q,chandra,as_1892,1892,Corn and Grain,Rye,British Possessions in South Africa : Cape of Good Hope,Cwts,39,30,39,7,30,7,-9,9->0,3,124375,True,True,0.18,0.23,0.33,1,True,True
True,False,6,v,chandra,as_1897,1895,"CARDS, PLAYING",,France,Dozen Packs,249,240,663,249,663,240,-9,9->0,6,7505,True,True,0.38,0.36,0.3,1,True,True
True,False,6,v,chandra,as_1898,1897,FRUIT,"Plums, Dried or Preserved",Germany,Cwts,32120,32129,23777,32120,23777,32129,9,0->9,5,92048,True,True,1.35,1.35,1.89,1,True,True
True,False,6,v,infinity,as_1898,1894,ZINC,"Crude, in cakes",Canada,Tons,850,859,65,850,65,859,9,0->9,3,5471,True,True,13.08,13.22,13.29,1,True,True
True,False,6,q,chandra,as_1889,1889,COTTON,Waste of (Raw and Yarn),Germany,Lbs,364009,864009,364009,9201,864009,9201,500000,3->8,10,13042785,True,True,0.03,0.01,0.01,7,False,True
True,False,6,q,chandra,as_1889,1889,"SKINS, FURS, and PELTS",Furs,British North America,Number,337596,837596,337596,302674,837596,302674,500000,3->8,6,20208833,True,True,0.9,0.36,0.14,3,False,True
True,False,6,v,chandra,as_1895,1895,LEATHER,Dressed,France,Lbs,333344,833344,5987688,333344,5987688,833344,500000,3->8,9,3156321,True,True,0.06,0.14,0.11,4,False,True
True,False,6,q,chandra,as_1888,1888,"DYE STUFFS, and Substances used in Tanning",Unenumerated,Venezuela,Cwts,92100,32100,92100,15266,32100,15266,-60000,9->3,12,265816,True,True,0.17,0.48,1.61,2,False,True
True,True,6,q,chandra,as_1889,1889,WOOL,Sheep or Lambs',Holland,Lbs,1632685,1682685,1632685,82210,1682685,82210,50000,3->8,23,135371702,True,True,0.05,0.05,0.04,12,False,True
True,True,6,q,chandra,as_1890,1890,DRUGS,Opium,Persia,Lbs,80035,30035,80035,19955,30035,19955,-50000,8->3,7,441245,True,True,0.25,0.66,0.58,2,False,True
True,False,6,q,chandra,as_1899,1899,"ANIMALS, LIVING",Oxen and Bulls,Argentine Republic,Number,55359,85359,55359,1392543,85359,1392543,30000,5->8,3,405931,True,True,25.15,16.31,17.26,2,False,True
True,True,6,v,chandra,as_1885,1885,"POULTRY and GAME (alive or dead), including Rabbits","Other Materials, and Pulp of Rags and of Wood",France,Tons,25579,35579,7728,25579,7728,35579,10000,2->3,11,631199,True,True,3.31,4.6,8.0,8,False,True
True,False,6,v,chandra,as_1874,1874,ISINGLASS,,Straits Settlements,,13416,19416,917,13416,917,19416,6000,3->9,6,83880,True,True,14.63,21.17,20.22,2,False,True
True,True,6,v,chandra,as_1890,1890,"HIDES, Raw, and Pieces thereof",Wet,Russia,Cwts,29351,23351,9810,29351,9810,23351,-6000,9->3,16,1173257,True,True,2.99,2.38,2.39,6,False,True
True,True,6,v,chandra,as_1898,1897,LEAD,"Varnished, Japanned, or Enamelled",Germany,Cwts,60315,66315,2564,60315,2564,66315,6000,0->6,5,217787,True,True,23.52,25.86,26.11,3,False,True
True,True,6,q,chandra,as_1899,1898,CORDAGE,Maize or Indian Corn,Uruguay,Cwts,10830,16830,10830,3123,16830,3123,6000,0->6,10,49196090,True,True,0.29,0.19,0.21,6,False,True
True,False,6,q,chandra,as_1899,1897,PORK,Salted (not hams),Denmark,Cwts,60104,66104,60104,60245,66104,60245,6000,0->6,7,220913,True,True,1.0,0.91,0.93,4,False,True
True,True,6,v,chandra,as_1875,1875,Cotton,,Germany,Quarters,223693,228693,93796,223693,93796,228693,5000,3->8,10,5135182,True,True,2.38,2.44,2.67,6,False,True
True,False,6,q,chandra,as_1885,1885,POTATOES,,France,Cwts,908696,903696,908696,201573,903696,201573,-5000,8->3,6,1237224,True,True,0.22,0.22,0.28,3,False,True
True,False,6,q,chandra,as_1886,1886,Corn and Grain,Beans,France,Cwts,18954,13954,18954,4574,13954,4574,-5000,8->3,10,2777197,True,True,0.24,0.33,0.32,6,False,True
True,False,6,v,chandra,as_1888,1888,HAIR,"Cow, Ox, Bull, or Elk",Russia,Cwts,28532,23532,12108,28532,12108,23532,-5000,8->3,10,137793,True,True,2.36,1.94,1.8,5,False,True
True,True,6,v,chandra,as_1889,1889,"DYE STUFFS, and Substances used in Tanning",Unenumerated,Chile,Cwts,3759,8759,11450,3759,11450,8759,5000,3->8,12,279376,True,True,0.33,0.76,1.48,4,False,True
True,True,6,q,chandra,as_1890,1890,FRUIT,Unenumerated : Dried,France,Cwts,8694,3694,8694,8682,3694,8682,-5000,8->3,8,450407,True,True,1.0,2.35,1.78,3,False,True
True,True,6,v,infinity,as_1890,1890,DYE WOODS,Unenumerated,West Coast of Africa (not particularly designated),,8901,3901,883,8901,883,3901,-5000,8->3,13,103127,True,True,10.08,4.42,5.85,5,False,True
True,True,6,q,chandra,as_1891,1891,"SKINS, FURS, and PELTS",Seal,United States of America,Number,81979,84979,81979,337698,84979,337698,3000,1->4,6,238977,True,True,4.12,3.97,0.76,3,False,True
True,True,6,q,chandra,as_1893,1893,"MEAT, Unenumerated",Preserved : Mutton,Argentine Republic,Cwts,3266,2266,3266,4391,2266,4391,-1000,3->2,3,4334,True,True,1.34,1.94,2.27,2,False,True
True,False,6,v,chandra,as_1885,1885,"Dye Stuffs, and Substances used in Tanning",Shumach,Other Foreign Countries,Tons,4985,4085,284,4985,284,4085,-900,9->0,4,162935,True,True,17.55,14.38,14.86,2,False,True
True,False,6,v,chandra,as_1891,1891,WINE,"White, in Casks",Portugal,Gallons,6964,6064,17172,6964,17172,6064,-900,9->0,10,840343,True,True,0.41,0.35,0.28,2,False,True
True,False,6,q,chandra,as_1891,1891,SUCCADES,,Belgium,Cwts,3967,3067,3967,5174,3067,5174,-900,9->0,11,61422,True,True,1.3,1.69,2.15,3,False,True
True,False,6,v,chandra,as_1894,1894,COTTON,Waste of (Raw and Yarn),Belgium,,2015,2915,366379,2015,366379,2915,900,0->9,6,39550,True,True,0.01,0.01,0.01,3,False,True
True,False,6,q,chandra,as_1898,1897,LEAD,Dressed,United States of America,Cwts,261938,261038,261938,1647091,261038,1647091,-900,9->0,8,350653,True,True,6.29,6.31,16.81,2,False,True
True,False,6,v,chandra,as_1898,1894,WOOLLEN YARN,"For Weaving, Mixed or not with Silk",France,Lbs,331924,331024,2232708,331924,2232708,331024,-900,9->0,5,1511924,True,True,0.15,0.15,0.09,2,False,True
True,False,6,q,chandra,as_1899,1896,WOOD AND TIMBER,"Hewn, Fir",Denmark,Loads,1015,1915,1015,2029,1915,2029,900,0->9,11,2053476,True,True,2.0,1.06,1.5,3,False,True
True,False,6,q,infinity,as_1898,1894,SUGAR,"Sawn or Split, planed or dressed, Fir",France,Loads,1075,1975,1075,4419,1975,4419,900,0->9,11,4079621,True,True,4.11,2.24,2.43,3,False,True
True,False,6,q,chandra,as_1877,1877,"TEETH, Elephants', Sea Cow, and Sea Horse",,Egypt,Cwts,347,947,347,42024,947,42024,600,3->9,13,12462,True,True,121.11,44.38,45.19,7,False,True
True,True,6,q,chandra,as_1887,1887,HIDES. Raw. and Pieces thereof,Dry,Brazil,Cwts,12601,12001,12601,33591,12001,33591,-600,6->0,26,113222,True,True,2.67,2.8,3.03,13,False,True
True,True,6,q,chandra,as_1887,1887,TIN,"In Blocks, Ingots, Bars, or Slabs",Australasia : Queensland,Cwts,3384,3984,3384,20386,3984,20386,600,3->9,7,491786,True,True,6.02,5.12,5.16,4,False,True
True,True,6,q,chandra,as_1888,1888,"MEAT, unenumerated","Preserved, otherwise than by Salting",Holland,Cwts,1041,1641,1041,5683,1641,5683,600,0->6,10,347811,True,True,5.46,3.46,3.1,5,False,True
True,True,6,q,infinity,as_1882,1882,MANURES,Guano,British Possessions in South Africa,Tons,4069,4669,4069,56565,4669,56565,600,0->6,7,44952,True,True,13.9,12.12,8.75,5,False,True
True,True,6,v,chandra,as_1885,1885,"SKINS, FURS, and PELTS",In any way dressed ; not leather,Spain,Number,350,850,5500,350,5500,850,500,3->8,5,4649,True,True,0.06,0.15,0.17,2,False,True
True,False,6,v,chandra,as_1886,1886,LEATHER,"Varnished, Japanned, or Enamelled",Holland,Lbs,40816,40316,135985,40816,135985,40316,-500,8->3,6,112836,True,True,0.3,0.3,0.25,2,False,True
True,False,6,q,chandra,as_1887,1887,LEAD,Ore of,Germany,Tons,893,393,893,2920,393,2920,-500,8->3,12,14856,True,True,3.27,7.43,7.75,4,False,True
True,True,6,v,chandra,as_1887,1887,NUTS AND KERNELS,Commonly used for expressing oil therefrom,Portugal,Tons,7333,7833,771,7333,771,7833,500,3->8,6,284983,True,True,9.51,10.16,12.83,5,False,True
True,True,6,v,chandra,as_1887,1887,"SKINS, FURS, and PELTS",Unenumerated : Undressed,Argentine Republic,Number,312,812,6075,312,6075,812,500,3->8,6,8774,True,True,0.05,0.13,0.19,4,False,True
