kept,folded_in,unit,head
"Animals, Living — Horses","Animals, Living — Horses : Geldings",Number,"Animals, Living"
"Arms And Ammunition — Muskets, Rifles, Carbines, Fowling-Pieces,Or Guns Of Any Other Sort, Not Enumerated,And Pistols","Arms And Ammunition — Muskets, Rifles, Carbines, Fowling-Pieces, Or Guns Of Any Other Sort, Not Enumerated, And Parts Thereof And Pistols",?,Arms And Ammunition
"Arms, Ammunition, And Military Stores — Cannon And Mortars, Of Brass, Not Mounted Nor Accompanied With Carriages","Arms, Ammunition, And Military Stores — Cannon And Mortars, Of Brass, Not Mounted Or Accompanied With Carriages",Cwt,"Arms, Ammunition, And Military Stores"
"Arms, Ammunition, And Military Stores — Fowling Pieces","Arms, Ammunition, And Military Stores — Muskets, Rifles And Fowling Pieces",?,"Arms, Ammunition, And Military Stores"
"Arms, Ammunition, And Military Stores — Ordnance Stores And Ammunition, Unenumerated","Arms, Ammunition, And Military Stores — Ammunition, Unenumerated",?,"Arms, Ammunition, And Military Stores"
"Arms, Ammunition, And Military Stores — Parts Of Fire-Arms","Arms, Ammunition, And Military Stores — Other Fire-Arms And Parts Of Fire-Arms",?,"Arms, Ammunition, And Military Stores"
"Arms, And Ammunition — Muskets, Rifles, Carbines, Fowling Pieces, Orguns Of Any Other Sorts, Not Enumerated,And Pistols","Arms, And Ammunition — Muskets, Rifles, Carbines, Fowling Pieces, Orguns Of Any Other Sorts, Not Enumerated;And Parts Thereof, And Pistols",?,"Arms, And Ammunition"
Asphalt Or Bitumen,"Asphalt, Or Bitumen Judaicum",Ton,(groupless)
Bark,"Bark, For Tanning",Cwt,(groupless)
Bark,Bark: For Tanning Or Dyeing,Cwt,(groupless)
Bark — Of Other Sorts,Bark — Other Sorts Of Fresh Fish,Cwt,Bark
Beef — Fresh,Beef — Fresh Or Slightly Salted,Cwt,Beef
Beer And Ale — Spruce,Beer And Ale — Malt And Spruce,Barrel,Beer And Ale
Caoutchouc — West Africa,Caoutchouc — West Coast Of Africa (Foreign),?,Caoutchouc
"Cheese — Chemical Manufactures And Pro- Ducts, Not Enumerated","Cheese — Chemical Manufactures And Pro- Ducts, Not Enumerated, And Not Chargeable With Duty",Value,Cheese
"Cheese — Imitation Cheese (Including Lard Cheese, And All Kinds Of Artificial Or Imitation Cheese)",Cheese — Artificial,Cwt,Cheese
"Copper — Cordage, Cables (Not Of Iron). Twine And Cable Yarn","Copper — Cordage, Twine, And Cable Yarn",Value,Copper
