flow,volume,year,group,article,nseg,rows,extra_value,canada,primary,closed,why
export_uk,tn_1871,1870,COPPER,Mixed or Yellow Metal for Sheathing,3,44,51893,0,1,0,as_1876: block group absent from reference || as_1880: gap has 2 headings for 2 segments: COPPER/Unenumerated | COPPER/Unenumerated: (Coal) || as_1884: gap has 1 headings for 2 segments: Copper/Unenumerated || as_1888: gap has 1 headings for 2 segments: COPPER/Unenumerated || as_1892: gap has 2 headings for 2 segments: COPPER/Unenumerated | COPPER/Sulphate of || as_1896: gap has 2 headings for 2 segments: COPPER/Unenumerated | COPPER/Sulphate of
export_uk,tn_1871,1870,COTTON MANUFACTURES,Lace and Patent Net,2,36,821816,9403,1,0,"refs disagree: as_1880=EARTHEN and CHINA WA/Earthenware, Chinaware, Parian, and Porcelain vs as_1896=DYE STUFFS/Products of Coal Tar || as_1876: gap has 0 headings for 1 segments:  || as_1884: gap has 0 headings for 1 segments:  || as_1888: gap has 0 headings for 1 segments:  || as_1892: gap has 0 headings for 1 segments: "
export_uk,tn_1871,1870,HIDES,Hors(Foreign),2,16,255275,0,1,0,as_1876: block group absent from reference || as_1880: block group absent from reference || as_1884: block group absent from reference || as_1888: block group absent from reference || as_1892: block group absent from reference || as_1896: block group absent from reference
export_uk,tn_1871,1870,"LINEN and JUTE YARN : 
                    Linen Yarn, of all Sorts",,2,28,188032,0,1,1,as_1876: block group absent from reference || as_1880: block group absent from reference || as_1884: block group absent from reference || as_1888: block group absent from reference || as_1892: block group absent from reference || as_1896: block group absent from reference
export_uk,tn_1871,1870,"LINEN and JUTE MANUFACTURES: 
                    Linen Manufactures","Plain, Mixed and Unmixed, with other Materials",4,45,662988,4746,1,0,as_1876: block group absent from reference || as_1880: block group absent from reference || as_1884: block group absent from reference || as_1888: block group absent from reference || as_1892: block group absent from reference || as_1896: block group absent from reference
export_uk,tn_1871,1870,"LINEN AND JUTE MANUFACTURES: 
                    » JUTE MANUFACTURES: 
                    » Bags, empty, for packing Merchandise",,2,26,22823,8,1,0,as_1876: block group absent from reference || as_1880: block group absent from reference || as_1884: block group absent from reference || as_1888: block group absent from reference || as_1892: block group absent from reference || as_1896: block group absent from reference
export_uk,tn_1871,1870,Oil,Train and Spermaceti (British Fishery),2,13,35796,0,1,0,as_1876: block group absent from reference || as_1880: block group absent from reference || as_1884: block group absent from reference || as_1888: block group absent from reference || as_1892: block group absent from reference || as_1896: block group absent from reference
export_uk,tn_1871,1870,SUGAR,"SUGAR, UNREFINED",4,42,317991,12956,1,0,as_1876: gap has 0 headings for 3 segments:  || as_1880: gap has 0 headings for 3 segments:  || as_1884: gap has 0 headings for 3 segments:  || as_1888: gap has 0 headings for 3 segments:  || as_1892: gap has 0 headings for 3 segments:  || as_1896: gap has 0 headings for 3 segments: 
export_uk,tn_1871,1870,WOOLLEN and WORSTED MANUFACTURES,"Broad Cloths: Coatings, Duffs, &c., of Wool Mixed with other Materials",2,20,3615867,0,1,0,"as_1876: gap has 1 headings for 1 segments: WOOLLEN and WORSTED MANUFACTURES/Narrow Cloths, Coatings, Duffels, &c., Plain, all Wool || as_1880: gap has 1 headings for 1 segments: WOOLLEN and WORSTED MANUFACTURES/Narrow Cloths, Coatings, Duffels, &c., Plain, all Wool || as_1884: gap has 8 headings for 1 segments: WOOLLEN and WORSTED MANUFACTURES/Flannels | WOOLLEN and WORSTED MANUFACTURES/Carpets, not being Rugs | WOOLLEN and WORSTED MANUFACTURES/Blankets | WOOLLEN and WORSTED MANUFACTURES/Shawls | WOOLLEN and WORSTED MANUFACTURES/Rugs, Coverlets, or Wrappers | WOOLLEN and WORSTED MANUFACTURES/Hosiery | WOOLLEN and WORSTED MANUFACTURES/Small Wares, and Manufactures of Wool or Worsted, unenumerated | WOOLLEN and WORSTED MANUFACTURES/Sorts Unenumerated || as_1888: gap has 10 headings for 1 segments: WOOLLEN and WORSTED MANUFACTURES/Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Coatings, &c. | WOOLLEN AND WORSTED MANUFACTURES/Flannels | WOOLLEN AND WORSTED MANUFACTURES/Carpets, not being Rugs | WOOLLEN AND WORSTED MANUFACTURES/Blankets | WOOLLEN AND WORSTED MANUFACTURES/Shawls | WOOLLEN AND WORSTED MANUFACTURES/Rugs, Coverlets, or Wrappers | WOOLLEN AND WORSTED MANUFACTURES/Hosiery | WOOLLEN AND WORSTED MANUFACTURES/Small Wares, and Manufactures of Wool or Worsted, unenumerated || as_1892: gap has 4 headings for 1 segments: WOOLLEN AND WORSTED MANUFACTURES/Worsted Tissues | WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Broad, mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, all Wool | WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, mixed with other materials || as_1896: gap has 3 headings for 1 segments: WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Broad, mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, all Wool | WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, mixed with other materials"
export_uk,as_1873,1873,IRON,"Iron: Tubes and Pipes, Wrought",2,56,2964052,35659,1,0,"as_1876: gap has 1 headings for 1 segments: Iron/Nails, Screws, and Rivets || as_1880: gap has 1 headings for 1 segments: IRON/Nails, Screws, and Rivets || as_1884: gap has 1 headings for 1 segments: IRON/Nails, Screws, and Rivets || as_1888: gap has 1 headings for 1 segments: IRON/Nails, Screws and Rivets || as_1892: gap has 1 headings for 1 segments: Iron/Nails, Screws, and Rivets || as_1896: gap has 1 headings for 1 segments: Iron/Nails, Screws, and Rivets"
export_uk,as_1873,1873,IRON,"Iron: Cast or Wrought, and all other Manufactures, except Ordnance, unenumerated",4,49,2191657,125158,1,0,"as_1876: gap has 5 headings for 3 segments: Iron/Steel, cast in Ingots | Iron/Steel, Bar, of all Kinds | IRON/Steel, Sheets | IRON/Manufactures of Steel, or of Steel and Iron combined | IRON/Rolled and Sheet, Piping and Tubing || as_1880: gap has 4 headings for 3 segments: IRON/Steel, cast in Ingots | IRON/Steel, Bar, of all Kinds | IRON/Steel, Sheets | IRON/Manufactures of Steel, or of Steel and Iron combined || as_1884: gap has 8 headings for 3 segments: IRON/Wrought, and Manufactures thereof, unenumerated | IRON/ | IRON/Steel, Cast in Ingots or Blooms | IRON/Steel, Bar, of all Kinds | IRON/Steel, Sheets | IRON/Manufactures of Steel, or of Steel and Iron combined | IRON/Manufactures, Piece Goods | JUTE MANUFACTURES/None || as_1888: gap has 12 headings for 3 segments: IRON/Wrought, and Manufactures thereof, unenumerated | IRON,/ | IRON,/India | IRON,/Steel, Cast in Ingots and Blooms | IRON,/Steel, Bar, of all kinds | IRON/Steel, Bar, of all kinds | IRON/Steel Sheets | IRON/Manufactures of Steel, or of Steel   and Iron combined | IRON/Manufactures of Steel, or of Steel and Iron combined | JUTE YARN/None | IRON/Piece Goods | IRON/Unenumerated || as_1892: gap has 6 headings for 3 segments: Iron/Wrought. and Manufactures thereof, unenumerated | Iron/Cast in Ingots or Blooms | Iron/Bar. of all kinds | IRON AND STEEL/None | JUTE YARN/None | JUTE MANUFACTURES/None || as_1896: gap has 6 headings for 3 segments: Iron/Wrought, and Manufactures   thereof, unenumerated | Iron/Cast, in Ingots or Blooms | Iron/Sheets | IRON AND STEEL/None | JUTE YARN/None | JUTE MANUFACTURES/None"
export_uk,as_1874,1874,BEEF and ALE,,2,35,83528,0,1,0,as_1876: gap has 1 headings for 1 segments: BISCUIT and BREAD/None || as_1880: gap has 1 headings for 1 segments: Biscuit and Bread/None || as_1884: gap has 1 headings for 1 segments: BISCUIT and BREAD/None || as_1888: gap has 1 headings for 1 segments: BISCUIT and BREAD/None || as_1892: gap has 2 headings for 1 segments: BEER AND ALE/None | BISCUIT and BREAD/None || as_1896: gap has 1 headings for 1 segments: BISCUIT AND BREAD/None
export_uk,as_1874,1874,GLASS,Common Bottles,2,39,197597,22195,1,0,"refs disagree: as_1876=GREASE, not otherwis/ || only a weak answer (block article absent from the reference): as_1876 || as_1880: gap has 2 headings for 1 segments: GLASS/Other Manufactures, Unenumerated | GREASE, not otherwise described/None || as_1884: gap has 2 headings for 1 segments: GLASS„ Common Bottles/None | GREASE, TALLOW and ANIMAL FAT/None || as_1888: gap has 2 headings for 1 segments: GLASS/Other Manufactures, Unenum- erated | GREASE, TALLOW, and ANIMAL FAT/None || as_1892: gap has 2 headings for 1 segments: GLASS/Other Manufactures, Unenum- erated | GREASE, TALLOW, AND ANIMAL FAT/None || as_1896: gap has 2 headings for 1 segments: GLASS/Other Manufactures, Unenumerated | GREASE, TALLOW, AND ANIMAL FAT/None"
export_uk,as_1875,1875,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths, Coatings, Duffels, &c., of Wool mixed with other Materials",4,69,11912414,621334,1,0,"as_1876: gap has 1 headings for 3 segments: WOOLLEN and WORSTED MANUFACTURES/Blankets and Blanketing || as_1880: gap has 0 headings for 3 segments:  || as_1884: gap has 0 headings for 3 segments:  || as_1888: gap has 0 headings for 3 segments:  || as_1892: gap has 5 headings for 3 segments: WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/All Wool | WOOLLEN AND WORSTED MANUFACTURES/Mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/Damasks, Tapestry, and other Furniture Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Wool and Mohair Plushes || as_1896: gap has 5 headings for 3 segments: WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/All Wool | WOOLLEN AND WORSTED MANUFACTURES/Mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/Damasks, Tapestry, and other Furniture Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Wool and Mohair Plushes"
export_uk,as_1876,1876,HATS,Of Felt,4,39,1531714,110882,1,0,as_1880: gap has 1 headings for 3 segments: HATS/Of Straw || as_1884: gap has 1 headings for 3 segments: HATS/Of Straw || as_1888: gap has 2 headings for 3 segments: HATS/Straw | HATS/Other Sorts || as_1892: gap has 2 headings for 3 segments: HATS/Straw | HATS/Unenumerated || as_1896: gap has 2 headings for 3 segments: HATS/Straw | HATS/Unenumerated
export_uk,as_1876,1876,IRON,Pig,2,23,528257,27442,1,0,refs disagree: as_1880=LEAD/Pig vs as_1884=JUTE MANUFACTURES/Pig vs as_1888=LEAD/Pig vs as_1892=LEAD/Pig vs as_1896=LEAD/Pig
export_uk,as_1876,1876,PLUMBAGO,,2,2,0,0,1,0,"as_1880: gap has 1 headings for 1 segments: PRINTS, ENGRAVINGS, DRAWINGS, &c./None || as_1884: block group absent from reference || as_1888: block group absent from reference || as_1892: block group absent from reference || as_1896: block group absent from reference"
export_uk,as_1876,1876,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths, Coatings, Duffels, &c., of Wool mixed with other Materials",3,50,0,0,1,0,"as_1880: gap has 0 headings for 2 segments:  || as_1884: gap has 2 headings for 2 segments: WOOLLEN and WORSTED MANUFACTURES/Flannels | WOOLLEN and WORSTED MANUFACTURES/Carpets, not being Rugs || as_1888: gap has 2 headings for 2 segments: WOOLLEN AND WORSTED MANUFACTURES/Flannels | WOOLLEN AND WORSTED MANUFACTURES/Carpets, not being Rugs || as_1892: gap has 7 headings for 2 segments: WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/All Wool | WOOLLEN AND WORSTED MANUFACTURES/Mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/Damasks, Tapestry, and other Furniture Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Wool and Mohair Plushes | WOOLLEN AND WORSTED MANUFACTURES/Flannels | WOOLLEN AND WORSTED MANUFACTURES/Carpets, not being Rugs || as_1896: gap has 7 headings for 2 segments: WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/All Wool | WOOLLEN AND WORSTED MANUFACTURES/Mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/Damasks, Tapestry, and other Furniture Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Wool and Mohair Plushes | WOOLLEN AND WORSTED MANUFACTURES/Flannels | WOOLLEN AND WORSTED MANUFACTURES/Carpets, not being Rugs"
export_uk,as_1877,1877,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths, Coatings, Duffels, &c., of Wool mixed with other Materials",4,57,7983048,565596,1,0,"as_1876: gap has 1 headings for 3 segments: WOOLLEN and WORSTED MANUFACTURES/Blankets and Blanketing || as_1880: gap has 0 headings for 3 segments:  || as_1884: gap has 0 headings for 3 segments:  || as_1888: gap has 0 headings for 3 segments:  || as_1892: gap has 5 headings for 3 segments: WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/All Wool | WOOLLEN AND WORSTED MANUFACTURES/Mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/Damasks, Tapestry, and other Furniture Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Wool and Mohair Plushes || as_1896: gap has 5 headings for 3 segments: WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/All Wool | WOOLLEN AND WORSTED MANUFACTURES/Mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/Damasks, Tapestry, and other Furniture Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Wool and Mohair Plushes"
