merged_token,kept_token,merged_signature,kept_signature
AIKALI,ALKALI,AIKALI,ALKALI
BANDS,BEADS,ALL/BANDS/SORTS,ALL/BEADS/SORTS
BEALS,BEADS,ALL/BEALS/SORTS,ALL/BEADS/SORTS
BLIMSTONE,BRIMSTONE,BLIMSTONE,BRIMSTONE
BONES,BOXES,APPLICABLE/BONES/EXCEPT/MANUFACTURING/PURPOSES/TO/WHALEFINS,APPLICABLE/BOXES/EXCEPT/MANUFACTURING/PURPOSES/TO/WHALEFINS
BRADS,BEADS,ALL/BRADS/SORTS,ALL/BEADS/SORTS
BRIKESTONE,BRIMSTONE,BRIKESTONE,BRIMSTONE
BRIKSTONE,BRIMSTONE,BRIKSTONE,BRIMSTONE
BUBBER,BLUBBER,BUBBER/FISH/OIL/TRAIN,BLUBBER/FISH/OIL/TRAIN
BUTTON,BUTTER,BUTTON,BUTTER
CAGUTCHOUC,CAOUTCHOUC,CAGUTCHOUC/MANUFACTURES,CAOUTCHOUC/MANUFACTURES
CAOUCHEUC,CAOUTCHOUC,CAOUCHEUC,CAOUTCHOUC
CAOUCHEUC,CAOUTCHOUC,CAOUCHEUC/MANUFACTURES,CAOUTCHOUC/MANUFACTURES
CAOUTCHOUUC,CAOUTCHOUC,CAOUTCHOUUC,CAOUTCHOUC
CAOUTCHOUUC,CAOUTCHOUC,CAOUTCHOUUC/MANUFACTURES,CAOUTCHOUC/MANUFACTURES
CHINAAWARE,CHINAWARE,CHINAAWARE/EARTHENWARE/PORCELAIN,CHINAWARE/EARTHENWARE/PORCELAIN
CHINESE,CHEESE,CHINESE,CHEESE
CINDER,CINDERS,CINDER/COALS/CULM,CINDERS/COALS/CULM
CLOVES,CLOCKS,CLOVES,CLOCKS
COCOA,COCOS,ANY/CHOCOLATE/COCOA/FACTURED/GROUND/IN/MANU/PARED/PRE/WAY,ANY/CHOCOLATE/COCOS/FACTURED/GROUND/IN/MANU/PARED/PRE/WAY
COCON,COCOA,COCON,COCOA
CODILLA,CORDILLA,APPLICABLE/AS/CODILLA/FLAX/HEMP/OTHER/SAME/SUBSTANCES/TO/TOW/USES/VEGETABLE,APPLICABLE/AS/CORDILLA/FLAX/HEMP/OTHER/SAME/SUBSTANCES/TO/TOW/USES/VEGETABLE
COLLODIEN,COLLODION,BEEN/COLLODIEN/CONFECTIONERY/HAS/IN/MANUFACTURE/OFWHICH/SPIRIT/USED,BEEN/COLLODION/CONFECTIONERY/HAS/IN/MANUFACTURE/OFWHICH/SPIRIT/USED
COLLODIEN,COLLODION,COLLODIEN,COLLODION
COLLODIUM,COLLODION,COLLODIUM,COLLODION
"COLOUR,PAINTER","COLOURS,PAINTERS",COLOUR/PAINTER/PIGMENTS,COLOURS/PAINTERS/PIGMENTS
COMBUSTIBLESOF,COMBUSTIBLES,AMMUNITION/ARMS/COMBUSTIBLESOF/OTHER/ROCKETS/UNENUMERATED/WAR,AMMUNITION/ARMS/COMBUSTIBLES/OTHER/ROCKETS/UNENUMERATED/WAR
CORDILLA,CODILLA,CORDILLA/FLAX/TOW,CODILLA/FLAX/TOW
CORDILLA,CODILLA,CORDILLA/HEMP/TOW,CODILLA/HEMP/TOW
CUDILLA,CODILLA,CUDILLA/HEMP/TOW,CODILLA/HEMP/TOW
CURANTS,CURRANTS,CURANTS/FRUIT,CURRANTS/FRUIT
CURCH,CUTCH,CURCH,CUTCH
CURCORY,CHUCORY,CARDS/CURCORY/DRIED/KILN/PLAYING/RAW,CARDS/CHUCORY/DRIED/KILN/PLAYING/RAW
CURRENTS,CURRANTS,CURRENTS,CURRANTS
CUTTH,CUTCH,COTTON/CUTTH/MANUFACTURES,COTTON/CUTCH/MANUFACTURES
CUXENDISH,CAVENDISH,CUXENDISH/NEGROHEAD,CAVENDISH/NEGROHEAD
DRGUS,DRUGS,DRGUS/UNENUMERATED,DRUGS/UNENUMERATED
EARTHENWARE,EARTHWARE,BEING/CHINA/DYE/EARTHENWARE/NOT/PORCELAIN/WARE/WOODS,BEING/CHINA/DYE/EARTHWARE/NOT/PORCELAIN/WARE/WOODS
EARTHWARE,EARTHENWARE,BEING/CHINA/EARTHWARE/NOT/PORCELAIN/WARE,BEING/CHINA/EARTHENWARE/NOT/PORCELAIN/WARE
ETHYL,ETHER,ETHYL,ETHER
FANEY,FANCY,FANEY/FOR/PURPOSES/WOOLLEN/YARN,FANCY/FOR/PURPOSES/WOOLLEN/YARN
FATHERS,FEATHERS,BEDS/FATHERS/FOR,BEDS/FEATHERS/FOR
FATHERS,FEATHERS,FATHERS/ORNAMENTAL,FEATHERS/ORNAMENTAL
FEATHERS,FATHERS,BENS/FEATHERS/FOR,BENS/FATHERS/FOR
GAILS,GALLS,GAILS,GALLS
GAMBER,GAMBIER,GAMBER,GAMBIER
"GARNACINE,MUNJEET","GARANCINE,MUNJECT",GARNACINE/MADDER/MUNJEET/ROOT,GARANCINE/MADDER/MUNJECT/ROOT
GENEVER,GENEVA,GENEVER,GENEVA
GENOVA,GENEVA,GENOVA,GENEVA
GRANILIA,GRANILLA,COCHINEAL/DUST/GRANILIA/INCLUDING,COCHINEAL/DUST/GRANILLA/INCLUDING
GRASS,GLASS,GRASS/UNENUMERATED,GLASS/UNENUMERATED
GULLS,GALLS,GULLS,GALLS
HANESS,HARNNESS,HANESS/SADDLERY,HARNNESS/SADDLERY
HARNESS,HARNNESS,HARNESS/SADDLERY,HARNNESS/SADDLERY
HAUGINGS,HANGINGS,HAUGINGS/PAPER,HANGINGS/PAPER
HGOFS,HOOFS,HGOFS/HORNS,HOOFS/HORNS
HOOPS,HORNS,HOOPS,HORNS
HOOPS,HOOFS,HOOPS/HORNS,HOOFS/HORNS
HOORS,HOOFS,HOORS/HORNS,HOOFS/HORNS
HOOTS,HOOFS,HOOTS/HORN/HORNS/PIECES/TIPS,HOOFS/HORN/HORNS/PIECES/TIPS
KNOBS,KNUBS,HUSKS/KNOBS/SILK/WASTE,HUSKS/KNUBS/SILK/WASTE
KNUHS,KNUBS,HUSKS/KNUHS/SILK/WASTE,HUSKS/KNUBS/SILK/WASTE
