commodity,year,country,side_with_data,quantity,value
Tallow And Stearine,1899,Chile,pipeline,3078.0,181009.0
Tallow And Stearine,1870,§RESIDUAL,gold,13588.0,29935.0
Tallow And Stearine,1899,Peru,pipeline,220.0,13210.0
Tallow And Stearine,1870,United States Of America (Pacific),gold,5850.0,12724.0
Tallow And Stearine,1870,British India Bengal And Pegu,gold,5864.0,12490.0
Tallow And Stearine,1899,Spain,pipeline,114.0,4190.0
Tallow And Stearine,1898,Peru,pipeline,104.0,3603.0
Tallow And Stearine,1897,Peru,pipeline,115.0,3390.0
Tallow And Stearine,1899,Channel Islands,pipeline,6402.0,2210.0
Tallow And Stearine,1898,Channel Islands,pipeline,6354.0,2022.0
Tallow And Stearine,1899,Portuguese Possessions In Western Africa,pipeline,42.0,1870.0
Tallow And Stearine,1897,Channel Islands,pipeline,6062.0,1788.0
Tallow And Stearine,1898,Portuguese Possessions In Western Africa,pipeline,74.0,1731.0
Tallow And Stearine,1888,Channel Islands,pipeline,4273.0,1606.0
Tallow And Stearine,1898,Spain,pipeline,58.0,1604.0
Tallow And Stearine,1870,British India Bombay And Scinde,gold,681.0,1372.0
Tallow And Stearine,1870,Madras,pipeline,210.0,1196.0
Tallow And Stearine,1897,Spain,pipeline,42.0,851.0
Tallow And Stearine,1888,Sweden,pipeline,0.0,555.0
Tallow And Stearine,1870,British India Madras,gold,210.0,415.0
Tallow And Stearine,1898,Turkey,gold,200.0,270.0
Tallow And Stearine,1870,South Atlantic Ports,pipeline,20769.0,241.0
Tallow And Stearine,1897,Portuguese Possessions In Western Africa,pipeline,27.0,241.0
Tallow And Stearine,1870,Ports,pipeline,5850.0,236.0
Tallow And Stearine,1870,Ports Pacific,pipeline,5850.0,236.0
Tallow And Stearine,1870,Bengal And Pegu,pipeline,5864.0,227.0
Tallow And Stearine,1870,Bombay And Sind,pipeline,681.0,204.0
Tallow And Stearine,1897,Russia (Northern Ports),pipeline,200.0,159.0
Tallow And Stearine,1899,Russia,pipeline,87.0,100.0
Tallow And Stearine,1897,Turkey,pipeline,30.0,8.0
