commodity,year,naive,gold_q,pipe_q,q_bucket,q_story,gold_v,pipe_v,v_bucket,v_story
Tallow And Stearine,1866,1,1322477.0,1322477,exact01,equal,3008807.0,,nopipe,
Tallow And Stearine,1867,1,1105458.0,1105458,exact01,equal,2419594.0,,nopipe,
Tallow And Stearine,1868,1,1237348.0,1247064,within5,4_digits,2961319.0,2996258,within5,5_digits
Tallow And Stearine,1869,1,1225789.0,1232144,within5,5_digits,2770285.0,2792570,within5,5_digits
Tallow And Stearine,1870,1,1523298.0,1530893,within5,4_digits,3292215.0,3318566,within5,6_digits
Tallow And Stearine,1871,0,1491931.0,1491934,exact01,one_digit[6] 1->4,3134531.0,3134531,exact01,equal
Tallow And Stearine,1872,1,1328444.0,1328444,exact01,equal,2848164.0,2848164,exact01,equal
Tallow And Stearine,1873,1,1527321.0,1527321,exact01,equal,3152413.0,3152413,exact01,equal
Tallow And Stearine,1874,1,1155243.0,1155243,exact01,equal,2331479.0,2331479,exact01,equal
Tallow And Stearine,1875,1,987396.0,967396,within5,one_digit[1] 8->6,2045863.0,2045863,exact01,equal
Tallow And Stearine,1876,0,1344445.0,1344445,exact01,equal,2875170.0,2875170,exact01,equal
Tallow And Stearine,1877,1,1224239.0,1224239,exact01,equal,2568479.0,2568479,exact01,equal
Tallow And Stearine,1878,1,921203.0,921203,exact01,equal,1814179.0,1814179,exact01,equal
Tallow And Stearine,1879,1,1174907.0,1174907,exact01,equal,2106927.0,2106927,exact01,equal
Tallow And Stearine,1880,1,1316379.0,1316379,exact01,equal,2311689.0,2311689,exact01,equal
Tallow And Stearine,1881,0,1192075.0,1192075,exact01,equal,2100619.0,2100619,exact01,equal
Tallow And Stearine,1882,1,1116581.0,1116581,exact01,equal,2252517.0,2252517,exact01,equal
Tallow And Stearine,1883,1,1038277.0,1038277,exact01,equal,2101617.0,2101617,exact01,equal
Tallow And Stearine,1884,1,1114888.0,1114888,exact01,equal,2106020.0,2106020,exact01,equal
Tallow And Stearine,1885,1,1008960.0,1008960,exact01,equal,1580015.0,1580015,exact01,equal
Tallow And Stearine,1886,0,1011911.0,1011911,exact01,equal,1299214.0,1299214,exact01,equal
Tallow And Stearine,1887,1,895121.0,895121,exact01,equal,1073611.0,1073611,exact01,equal
Tallow And Stearine,1888,1,1145928.0,1145928,exact01,equal,1432596.0,1432596,exact01,equal
Tallow And Stearine,1889,1,1244031.0,1244031,exact01,equal,1645801.0,1645801,exact01,equal
Tallow And Stearine,1890,1,1383593.0,1383593,exact01,equal,1725255.0,1725255,exact01,equal
Tallow And Stearine,1891,0,1371201.0,1371201,exact01,equal,1772268.0,1772268,exact01,equal
Tallow And Stearine,1892,1,1375679.0,1375679,exact01,equal,1747968.0,1747968,exact01,equal
Tallow And Stearine,1893,1,1559397.0,1559397,exact01,equal,2161407.0,2161407,exact01,equal
Tallow And Stearine,1894,1,1837587.0,1837587,exact01,equal,2344773.0,2344773,exact01,equal
Tallow And Stearine,1895,1,2175822.0,2175822,exact01,equal,2575071.0,2575071,exact01,equal
Tallow And Stearine,1896,0,2049749.0,2049749,exact01,equal,2178652.0,2178652,exact01,equal
Tallow And Stearine,1897,1,1950925.0,1950925,exact01,equal,1869929.0,1869929,exact01,equal
Tallow And Stearine,1898,1,2621941.0,2021941,off,one_digit[1] 6->0,2066433.0,2066433,exact01,equal
Tallow And Stearine,1899,1,2061137.0,2061137,exact01,equal,2380033.0,2380033,exact01,equal
Tallow And Stearine,1900,1,2177991.0,2177991,exact01,equal,2835217.0,2835217,exact01,equal
Rosin,1866,1,593818.0,593818,exact01,equal,418966.0,,nopipe,
Rosin,1871,0,736942.0,736942,exact01,equal,330994.0,330994,exact01,equal
Rosin,1876,0,980027.0,980027,exact01,equal,313007.0,313007,exact01,equal
Rosin,1881,0,1131443.0,1131443,exact01,equal,349442.0,349442,exact01,equal
Rosin,1886,0,1168555.0,1168555,exact01,equal,292229.0,292229,exact01,equal
Rosin,1891,0,1638840.0,1638840,exact01,equal,399939.0,399939,exact01,equal
Rosin,1896,0,1655374.0,1655374,exact01,equal,419563.0,419563,exact01,equal
