commodity,year,world_q,world_v,country_sum_q,country_sum_v,q_closes,v_closes,n_rejected_world_rows,n_duplicate_country_rows
Tallow And Stearine,1800,415921.0,450851.0,415921,450851,1,1,0,0
Tallow And Stearine,1853,1175754.0,89744.0,2021656,89744,0,1,0,0
Tallow And Stearine,1855,952322.0,2647173.0,1229451,3362253,0,0,0,4
Tallow And Stearine,1856,1122736.0,2926275.0,1122736,2926275,1,1,0,0
Tallow And Stearine,1857,1210347.0,3285048.0,1210347,3285048,1,1,0,0
Tallow And Stearine,1858,1225181.0,3042381.0,1235767,3006210,0,0,0,0
Tallow And Stearine,1859,1074336.0,2933066.0,1074336,2933066,1,1,0,0
Tallow And Stearine,1860,1430108.0,4014280.0,1430108,4014280,1,1,0,0
Tallow And Stearine,1861,1309574.0,3311717.0,1309574,3311717,1,1,0,1
Tallow And Stearine,1862,1103247.0,2508319.0,1103247,2508319,1,1,0,1
Tallow And Stearine,1863,1160219.0,2438613.0,1160219,2438613,1,1,0,1
Tallow And Stearine,1864,1014566.0,2077726.0,1014566,2077726,1,1,0,1
Tallow And Stearine,1865,1361248.0,3125282.0,1361248,3125282,1,1,0,1
Tallow And Stearine,1866,1322477.0,3008807.0,1322477,3008807,1,1,0,1
Tallow And Stearine,1867,1105458.0,2419594.0,1105458,2419594,1,1,0,1
Tallow And Stearine,1868,1237348.0,2961319.0,1237348,2961319,1,1,0,1
Tallow And Stearine,1869,1225789.0,2770285.0,1225789,2770285,1,1,0,1
Tallow And Stearine,1870,1523298.0,3292215.0,1523298,3292215,1,1,0,1
Tallow And Stearine,1871,1491931.0,3134531.0,1491931,3134531,1,1,0,0
Tallow And Stearine,1872,1328444.0,2848164.0,1328444,2848164,1,1,0,0
Tallow And Stearine,1873,1527321.0,3152413.0,1527321,3152413,1,1,0,0
Tallow And Stearine,1874,1155243.0,2331479.0,1155243,2331479,1,1,0,0
Tallow And Stearine,1875,987396.0,2045863.0,967396,2045863,0,1,0,0
Tallow And Stearine,1876,1344445.0,2875170.0,1344445,2875170,1,1,0,0
Tallow And Stearine,1877,1224239.0,2568479.0,1224239,2568479,1,1,0,0
Tallow And Stearine,1878,921203.0,1814179.0,921203,1814179,1,1,0,0
Tallow And Stearine,1879,1174907.0,2106927.0,1174907,2106927,1,1,0,0
Tallow And Stearine,1880,1316379.0,2311689.0,1316379,2308659,1,0,0,0
Tallow And Stearine,1881,1192075.0,2100619.0,1192075,2100619,1,1,0,0
Tallow And Stearine,1882,1116581.0,2252517.0,1116581,2252517,1,1,0,0
Tallow And Stearine,1883,1038277.0,2101617.0,1038277,2101617,1,1,0,0
Tallow And Stearine,1884,1114888.0,2106020.0,1114888,2111020,1,0,0,0
Tallow And Stearine,1885,1008960.0,1580015.0,1008960,1580015,1,1,0,0
Tallow And Stearine,1886,1011911.0,1299214.0,1011911,1299214,1,1,0,0
Tallow And Stearine,1887,895121.0,1073611.0,895121,1073611,1,1,0,0
Tallow And Stearine,1888,1145928.0,1432596.0,1145978,1432596,1,1,0,0
Tallow And Stearine,1889,1244031.0,1645801.0,1244031,1645801,1,1,0,0
Tallow And Stearine,1890,1383593.0,1725255.0,1383593,1725255,1,1,0,0
Tallow And Stearine,1891,1371201.0,1772268.0,1371201,1772268,1,1,0,0
Tallow And Stearine,1892,1375679.0,1747968.0,1375679,1727966,1,0,0,0
Tallow And Stearine,1893,1559397.0,2161407.0,1559397,2161407,1,1,0,0
Tallow And Stearine,1894,1837587.0,2344773.0,1837587,1216365,1,0,0,0
Tallow And Stearine,1895,2175822.0,2575071.0,2175903,2575171,1,1,0,0
Tallow And Stearine,1896,2049749.0,2178652.0,2049749,2178652,1,1,0,0
Tallow And Stearine,1897,1950925.0,1869929.0,1950925,1869929,1,1,0,0
Tallow And Stearine,1898,2621941.0,2066433.0,1921991,2124686,0,0,0,0
Tallow And Stearine,1899,2061137.0,2380033.0,2061137,2380033,1,1,0,0
Tallow And Stearine,1900,2177991.0,2835217.0,2118831,2831617,0,0,0,0
Tallow And Stearine,1901,1785319.0,2333246.0,1785319,2333246,1,1,0,0
Tallow And Stearine,1903,1395174.0,1987892.0,1395174,1987892,1,1,0,0
Tallow And Stearine,1905,1822819.0,2369386.0,1822819,2369386,1,1,0,0
Tallow And Stearine,1906,1933836.0,2795821.0,1933836,2795821,1,1,0,0
Tallow And Stearine,1907,2100169.0,3505091.0,2100169,3505091,1,1,0,0
Tallow And Stearine,1909,2196556.0,3359962.0,2196556,3359962,1,1,0,0
Rosin,1800,3332.0,1450.0,3332,1450,1,1,0,0
Rosin,1856,554539.0,249542.0,554539,249542,1,1,0,0
Rosin,1861,598080.0,391331.0,598080,391331,1,1,0,1
Rosin,1866,593818.0,418966.0,593818,418966,1,1,0,1
Rosin,1871,736942.0,330994.0,736942,330994,1,1,0,0
Rosin,1876,980027.0,313007.0,980027,313007,1,1,0,0
Rosin,1881,1131443.0,349442.0,1131443,349442,1,1,0,0
Rosin,1886,1168555.0,292229.0,1168555,292229,1,1,0,0
Rosin,1891,1638840.0,399939.0,1638840,399939,1,1,0,0
Rosin,1896,1655374.0,419563.0,1655374,419563,1,1,0,0
Rosin,1901,1812478.0,429302.0,1812478,429302,1,1,0,0
Rosin,1906,1650727.0,819349.0,1650727,819349,1,1,0,0
