gold_commodity,year,gold_total,pipe_total,ratio,pipe_name
Wood and Timber Furniture Woods Hardwoods and Veneers Unenumerated,1881,51566,551631106,10697.574,Wood and Timber None
Wood and Timber Furniture Woods Hardwoods and Veneers Unenumerated,1876,43292,415484495,9597.258,Wood and Timber None
Metal Unenumerated Wrought or Manufactured,1876,316,1390541,4400.446,Wrought or Manufactured
Beer and Ale Mum,1876,1,2810,2810.000,Of other Sorts
Lead Manufactures Unenumerated,1896,4299,11083308,2578.113,"Manufactures, unenumerated"
Spirits Unenumerated including Shrub,1876,88928,185362219,2084.408,"Perfumed Spirits (including Water Cologne) : Unenumerated, including Shrub"
Playing Cards,1896,41350,64335713,1555.882,"CARDS, PLAYING None"
Cannon and Mortars,1886,613,773796,1262.310,Cannon and Mortars
Lead Manufactures Unenumerated,1891,4051,4890602,1207.258,"Manufactures, unenumerated"
Chicory Other Vegetable matter,1896,338,369069,1091.920,"VEGETABLES, Unenumerated None"
Zinc Ore,1896,21084,16546580,784.793,Ore of (including Chrome)
Horns Tips and Pieces of Horns and Hoofs,1896,6385,4217766,660.574,"HORNS, tips and pieces of Horns and Hoofs None"
Oil Seed Cake of other sorts,1896,5744,3314117,576.970,OIL SEED CAKE None
Ore Unenumerated,1881,7888,3007737,381.305,Ore of (including Chrome)
Ore Unenumerated,1896,45061,16546580,367.204,Ore of (including Chrome)
Ginger Raw,1876,62164,19290058,310.309,"Unenumerated, Raw"
Lead Ore,1896,56272,16546580,294.046,Ore of (including Chrome)
Spirits Unenumerated not Sweetened,1881,947769,240815248,254.086,Spirits None
Zinc Ore,1886,14224,2947638,207.230,Ore of (including Chrome)
Lead Ore,1881,15228,3007737,197.514,Ore of (including Chrome)
Ore Unenumerated,1886,15071,2947638,195.583,Ore of (including Chrome)
Lead Manufactures Unenumerated,1876,6722,1172652,174.450,"Manufactures, unenumerated"
Hides Raw Dry,1896,369063,60994879,165.270,"Unenumerated, Raw"
Lead Ore,1891,20560,3287084,159.878,Ore of (including Chrome)
Cocoa Butter,1896,242940,38476655,158.379,COCOA None
Wool Alpaca Llama and Vicuna,1896,4962080,741459772,149.425,WOOL None
Paper Hangings,1891,8222,1104228,134.302,Unenumerated
Bean Meal and Pea Meal,1876,297,32522,109.502,Bean Meal and Pea Meal
Ginger Raw,1881,27310,2972995,108.861,"Unenumerated, Raw"
Madder Madder Root Garancine and Munjeet,1896,5217,561835,107.693,"Madder, Madder Root, Garancine and Munjeet"
Imitation Rum,1896,26324,2825825,107.348,"Rum, Imitation"
Oil Seed,1896,33616,3314117,98.587,OIL SEED CAKE None
Zinc Ore,1891,36726,3287084,89.503,Ore of (including Chrome)
Zinc Ore,1881,34027,3007737,88.393,Ore of (including Chrome)
Lead Manufactures Unenumerated,1881,17041,1463752,85.896,"Manufactures, unenumerated"
Lead Ore,1886,34563,2947638,85.283,Ore of (including Chrome)
Metal Unenumerated Wrought or Manufactured,1896,3324,259951,78.216,Wrought or Manufactured
Paper Hangings,1886,6535,453546,69.403,Unenumerated
Ore Unenumerated,1891,47704,3287084,68.906,Ore of (including Chrome)
Zinc Ore,1876,11663,782232,67.070,Ore of (including Chrome)
Lead Ore,1876,12532,782232,62.419,Ore of (including Chrome)
Ore Unenumerated,1876,13481,782232,58.025,Ore of (including Chrome)
Beer and Ale Mum and Spruce,1896,1598,87224,54.583,Of other Sorts
Spirits Rum,1881,4816887,240815248,49.994,Spirits None
Spirits Brandy,1886,3120820,142417900,45.635,Brandy
Pork Fresh,1881,30269,1364702,45.086,Fresh (not of British taking)
Hides Raw Dry,1876,468970,19290058,41.133,"Unenumerated, Raw"
Oil Seed Cake Cotton Seed,1896,89727,3314117,36.936,OIL SEED CAKE None
Ivory (Elephant Sea Cow Sea Horse or Sea Moose Teeth),1896,10911,370451,33.952,IVORY None
Pears Raw,1896,483823,14726733,30.438,"Pears, Raw"
Hats and Bonnets of Straw,1886,250581,7332331,29.261,"STRAW PLATTING, for making Hats or Bonnets None"
Lead Manufactures Unenumerated,1886,13592,377299,27.759,"Manufactures, unenumerated"
Spirits Unenumerated not Sweetened or Mixed,1896,1329500,34238081,25.753,"Unenumerated, not Sweetened or Mixed"
Hats and Bonnets of Straw,1891,315498,7934378,25.149,"STRAW PLATTING, for making Hats or Bonnets None"
Spirits Sweetened or Mixed Tested,1891,68647,1708542,24.889,"Unenumerated, not Sweetened or Mixed"
Raisins,1876,583860,13114247,22.461,Raisins
Sardines Cured or Salted,1896,175723,3895417,22.168,"Cured or salted, unenumerated"
Spirits Rum,1876,10395335,226218644,21.762,Spirits None
Pork Fresh,1886,81005,1741042,21.493,Fresh (not of British taking)
Wine Total of all Kinds,1881,16297033,327306921,20.084,Total of all Kinds
Beer and Ale Mum and Spruce,1891,2061,36204,17.566,Of other Sorts
Seeds Rape,1896,179730,2970241,16.526,Rape
Rye,1886,296941,4837780,16.292,Rye
Pork Fresh,1891,127518,1967161,15.427,Fresh (not of British taking)
Oil Seed Cake Linseed,1896,220602,3314117,15.023,OIL SEED CAKE None
"Glass Manufactures, Unenumerated",1896,752553,11083308,14.728,"Manufactures, unenumerated"
Wine Total of all Kinds,1876,19950723,265848319,13.325,Total of all Kinds
Wool Goats Wool or Hair Other Sorts,1896,2156233,28561783,13.246,Goats' Hair or Wool
Hats and Bonnets of Straw,1896,939848,11669802,12.417,"STRAW PLATTING, for making Hats or Bonnets None"
Vegetable Ivory,1896,30129,370451,12.295,IVORY None
Turpentine,1876,9176,108506,11.825,Turpentine (Oil or Spirit of)
Pork Fresh,1876,26539,294247,11.087,Fresh (not of British taking)
Bones (except Whalefins),1881,6297,65180,10.351,Bones for Manure
Oil Coco-nut,1896,219198,2251194,10.270,Coco-nut
Saltpetre,1896,340750,3286558,9.645,SALTPETRE (NITRATE OF POTASH) None
Hides Raw Dry,1886,721752,6863877,9.510,"Unenumerated, Raw"
Beans,1896,3102990,27509253,8.865,Beans
Pork Fresh,1896,299411,2563406,8.561,Fresh (not of British taking)
Spices Cinnamon,1896,1318980,10720923,8.128,Unenumerated
Valonia,1896,32808,255838,7.798,VALONIA
Spices Cinnamon,1881,1739365,12609087,7.249,Unenumerated
Spices Cinnamon,1886,1752283,12464160,7.113,Unenumerated
Sardines Cured or Salted,1891,125618,873310,6.952,"Cured or salted, unenumerated"
Rye,1876,132366,882433,6.667,Rye
Train Blubber and Spermaceti (Whale Oils),1881,2127,14063,6.612,Train or Blubber
Clover and Grass Seeds,1896,405617,2544703,6.274,Clover and Grass
Bones (except Whalefins),1886,9496,57302,6.034,Bones for Manure
Coffee,1881,1229003,7366892,5.994,COFFEE None
Spices Cinnamon,1876,1339060,7512424,5.610,Unenumerated
Hemp Tow or Codilla of Hemp,1876,68578,370157,5.398,Tow or Codilla of
Hemp Tow or Codilla of Hemp,1886,72776,362876,4.986,Tow or Codilla of
"Glass Manufactures, Unenumerated",1876,257457,1172652,4.555,"Manufactures, unenumerated"
Cotton Seeds,1896,368419,1660863,4.508,Cotton None
Bones for manure,1896,66681,283893,4.257,Bones for Manure
Woollen Yarn For Fancy Purposes,1896,1267323,5231165,4.128,For Fancy Purposes
Beef Salted,1896,247536,1005191,4.061,Salted
Tin in Blocks Ingots Bars or Slabs,1896,767495,3069358,3.999,"In Blocks, Ingots, Bars, or Slabs"
Currants,1896,986657,3944521,3.998,Currants
Zinc Manufactures Unenumerated,1876,294218,1172652,3.986,"Manufactures, unenumerated"
Hides Raw Wet,1896,604734,2410124,3.985,Wet
Pork Salted not Hams,1896,255339,1005191,3.937,Salted
Almonds,1896,147918,579103,3.915,Almonds
Zinc Manufactures Unenumerated,1881,386067,1463752,3.791,"Manufactures, unenumerated"
Paper Making Materials Esparto and other Vegetable Fibres,1896,187278,701326,3.745,Esparto and other Vegetable Fibres
Fish Cured or Salted,1896,1060813,3895417,3.672,"Cured or salted, unenumerated"
"Glass Manufactures, Unenumerated",1891,1333086,4890602,3.669,"Manufactures, unenumerated"
Sugar Unrefined Cane and Other Sorts,1896,7679758,27842047,3.625,"Unrefined : Cane, and Other Sorts"
Apples Raw,1896,6176956,19400448,3.141,"Apples, Raw"
Leather Manufactures Boots and Shoes,1896,172840,540325,3.126,Boots and Shoes
"Glass Manufactures, Unenumerated",1881,472558,1463752,3.098,"Manufactures, unenumerated"
Cows,1896,3987,11967,3.002,Cows None
Swords Cutlasses Matchets Bayonets,1896,1296,3889,3.001,"Swords, Cutlasses, Matchets,     Bayonets"
Oxen and Bulls,1896,558361,1675042,3.000,Oxen and Bulls
Silk Thrown dyed or not,1896,572599,1717752,3.000,"Thrown, dyed or not"
Swine,1896,4,12,3.000,Swine
Vinegar,1896,186237,558711,3.000,VINEGAR None
Phosphate of Lime and Rock,1896,291314,873735,2.999,Phosphate of Lime and Rock
Cherries Raw,1896,219367,657707,2.998,"Cherries, Raw"
Safflower,1896,536,1607,2.998,SAFFLOWER
Collodion,1896,1319,3951,2.995,COLLODION
Plums Raw,1896,560245,1677863,2.995,"Plums, Raw"
Grapes,1896,883244,2643490,2.993,"Grapes, Raw"
Calves,1896,205,613,2.990,Calves
Coffee Kiln Dried Roasted or Ground,1896,13572,40536,2.987,"Kiln dried, roasted or ground"
Lemons,1896,1660416,4959395,2.987,Lemons
Wine Total of all Kinds,1896,16695560,49699524,2.977,Total of all Kinds
Cutch and Gambier,1896,26844,79879,2.976,Cutch and Gambier
Gum Kowrie,1896,63937,190011,2.972,Kowrie
Hemp Tow or Codilla of Hemp,1891,106099,310407,2.926,Tow or Codilla of
Slates,1896,37752567,109180716,2.892,SLATES None
Iron Manufacturers of Tyres and Axles,1896,45605,130812,2.868,Tyres and Axles
"Wood and Timber Staves - Sawn or Split, Planed or Dressed",1881,118688,337671,2.845,"Sawn or Split, Planed or Dressed : Unenumerated"
Eggs,1896,13245011,37268831,2.814,Eggs None
Opium,1896,489235,1316638,2.691,OPIUM
Margarine,1896,925934,2476848,2.675,MARGARINE (including all kinds of Artificial or Imitation Butter)
Buckwheat,1896,136556,364449,2.669,Buckwheat
Zinc Crude in Cakes,1896,76635,201483,2.629,"Crude, in Cakes"
