commodity,year,gold_total,unit
Wool Sheep and Lambs,1891,715470708,Lbs. (Pounds)
Wool Sheep and Lambs,1886,592544221,Lbs. (Pounds)
Wool Sheep and Lambs,1881,447521441,Lbs. (Pounds)
Wool Sheep and Lambs,1876,386568323,Lbs. (Pounds)
Tea,1886,230669292,Lbs. (Pounds)
Petroleum Refined,1881,58371386,Gallons
Wheat,1881,57147933,CWTS (Hundredweights)
Tobacco Unmanufactured,1881,48195897,Lbs. (Pounds)
Cocoa,1896,38281803,Lbs. (Pounds)
Slates,1896,37752567,Number
Pepper (Spice),1891,34794260,Lbs. (Pounds)
Cocoa,1891,31282598,Lbs. (Pounds)
Indian Corn or Maize,1886,31011565,CWTS (Hundredweights)
Wheat Meal and Flour,1896,21320200,CWTS (Hundredweights)
Skins Furs Pelts Furs Unenumerated,1881,21310488,Number
Wine Total of all Kinds,1876,19950723,Gallons
Goats Wool or Hair,1891,19520547,Lbs. (Pounds)
Cotton Waste,1891,19382521,Lbs. (Pounds)
Cotton Raw,1891,17811476,CWTS (Hundredweights)
Wine Total of all Kinds,1896,16695560,Gallons
Wine Total of all Kinds,1881,16297033,Gallons
Sugar Unrefined Total,1886,16133661,CWTS (Hundredweights)
Cotton Raw,1886,15312900,CWTS (Hundredweights)
Cotton Raw,1881,14991682,CWTS (Hundredweights)
Spices Unenumerated,1881,13616780,Lbs. (Pounds)
Skins Furs Pelts Sheep Undressed,1891,13041530,Number
Fruit Preserved without Sugar Unenumerated,1876,11989173,Lbs. (Pounds)
Wheat Meal and Flour,1881,11357381,CWTS (Hundredweights)
Oats,1876,11211019,CWTS (Hundredweights)
Spirits Rum,1876,10395335,Proof Gallons
Oats,1881,10324119,CWTS (Hundredweights)
Woollen Yarn For Weaving,1881,10068329,Lbs. (Pounds)
Skins Furs Pelts Goat Tanned Tawed or Dressed,1881,8983237,Number
Spirits Brandy,1876,7913092,Proof Gallons
Cotton Yarn,1881,7837198,Lbs. (Pounds)
Cotton Waste,1881,7776957,Lbs. (Pounds)
Skins Furs Pelts Furs Unenumerated,1876,7574936,Number
Sugar Unrefined Cane and Other Sorts,1891,7098944,CWTS (Hundredweights)
Skins Furs Pelts Sheep Tanned Tawed or Dressed,1881,6785751,Number
Rice,1886,6557213,CWTS (Hundredweights)
Skins Furs Pelts Sheep Undressed,1881,6475264,Number
Rice,1891,6198979,CWTS (Hundredweights)
Spirits Rum,1881,4816887,Proof Gallons
Bacon,1896,4549526,CWTS (Hundredweights)
Rice,1896,4531518,CWTS (Hundredweights)
Fruit Raw unenumerated,1881,4045691,Bushels
Lemons and Oranges,1881,3835103,Bushels
"Buttons and Studs, not of Metal",1896,3596917,None
"Iron and Steel, Manufactures of, Unenumerated",1881,3506926,CWTS (Hundredweights)
Apples Raw,1886,3261460,Bushels
Spirits Brandy,1886,3120820,Proof Gallons
Lemons and Oranges,1876,2968650,Bushels
Beef Fresh,1896,2659700,CWTS (Hundredweights)
Fruit Raw or otherwise not described,1876,2372779,Bushels
Spirits Unenumerated not Sweetened or Mixed,1876,2324405,Proof Gallons
Tobacco Manufactured Cigars,1891,2238674,Lbs. (Pounds)
Flaxseed and Linseed,1891,2200112,Qrs. (Quarters)
Flaxseed and Linseed,1886,2072011,Qrs. (Quarters)
Peas,1886,2048336,CWTS (Hundredweights)
Flaxseed and Linseed,1876,1996684,Qrs. (Quarters)
Tobacco Manufactured Cigars,1886,1921734,Lbs. (Pounds)
Beef Fresh,1891,1920511,CWTS (Hundredweights)
Spices Cinnamon,1886,1752283,Lbs. (Pounds)
Spices Cinnamon,1881,1739365,Lbs. (Pounds)
Peas,1876,1611250,CWTS (Hundredweights)
Sponge,1896,1545632,Lbs. (Pounds)
Cocoa or Chocolate ground prepared or in anyway manufactured,1886,1331904,Lbs. (Pounds)
Tobacco Manufactured Cavendish or Negrohead,1881,1295555,Lbs. (Pounds)
Wool Other kinds and Flocks,1881,1283473,Lbs. (Pounds)
Woollen Yarn For Fancy Purposes,1896,1267323,Lbs. (Pounds)
Perfumery and Articles used in the Manufacture thereof,1881,1260364,Lbs. (Pounds)
Tallow and Stearine,1881,1192075,CWTS (Hundredweights)
Palm Oil,1896,1146241,CWTS (Hundredweights)
Sheep and Lambs,1876,1041329,Number
