flow,volume,captor,victim,rows,articles,articles_belonging_to_victim,share,alpha_adjacent
export_uk,as_1899,IMPLEMENTS AND TOOLS,"INSTRUMENTS AND APPARATUS, SURGICAL, ANATOMICAL, AND SCIENTIFIC",7354,20,10,0.5,1
export_uk,as_1898,IMPLEMENTS AND TOOLS,"INSTRUMENTS AND APPARATUS, SURGICAL, ANATOMICAL, AND SCIENTIFIC",7256,24,11,0.458,1
export_uk,as_1897,IMPLEMENTS AND TOOLS,"INSTRUMENTS AND APPARATUS, SURGICAL, ANATOMICAL, AND SCIENTIFIC",7013,26,10,0.385,1
export_uk,as_1899,WOOD AND TIMBER,WOOLLEN AND WORSTED MANUFACTURES,6560,29,17,0.586,0
export_uk,as_1898,WOOD AND TIMBER,WOOLLEN AND WORSTED MANUFACTURES,5609,24,16,0.667,0
export_uk,as_1897,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,4763,24,13,0.542,0
export_uk,as_1898,"CORDAGE, CABLES, ROPES, AND TWINE, OF HEMP OR LIKE MATERIAL",CORN AND GRAIN,1541,10,4,0.4,0
export_uk,as_1898,"PAINTERS' COLOURS AND MA- TERIALS, UNENUMERATED",PAPER,1381,5,2,0.4,1
export_uk,tn_1901,"INSTRUMENTS AND APPARATUS, SURGICAL, ANATOMICAL, AND SCIENTIFIC",IMPLEMENTS AND TOOLS,1254,18,13,0.722,0
export_uk,tn_1901,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,1005,22,15,0.682,0
export_uk,as_1899,"OIL, OTHER THAN ESSENTIAL, OR MEDICINAL","METALS AND MANUFACTURES THEREOF, UNENUMERATED",1002,1,1,1.0,0
export_uk,as_1898,HATS,CHEESE,779,2,1,0.5,0
export_uk,as_1899,HATS,CHEESE,777,2,1,0.5,0
export_uk,as_1898,"SPIRITS, BRITISH AND IRISH",IMPLEMENTS AND TOOLS,569,2,1,0.5,0
export_uk,as_1896,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,568,19,8,0.421,0
export_uk,as_1899,"MEDICINES, COMPRISING DRUGS AND MEDICINAL PREPARA- TIONS",CHEESE,551,2,1,0.5,0
export_uk,as_1898,"TOBACCO AND SNUFF, MANUFACTURED IN THE UNITED KINGDOM","TELEGRAPHIC WIRES, AND APPARATUS",529,3,2,0.667,0
export_uk,as_1899,EARTHEN AND CHINA WARE,CHEESE,493,2,1,0.5,0
export_uk,as_1898,EARTHEN AND CHINA WARE,CHEESE,490,2,1,0.5,0
export_uk,as_1899,"TOBACCO AND SNUFF, MANUFACTURED IN THE UNITED KINGDOM","TELEGRAPHIC WIRES, AND APPARATUS",488,4,2,0.5,0
export_uk,as_1894,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,469,18,8,0.444,0
export_uk,as_1889,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,453,14,6,0.429,0
export_uk,as_1898,ALL OTHER ARTICLES NOT ENUMERATED AND NOT FALL- ING UNDER ANY OF THE GENERAL HEADS,ZINC OR SPELTER,442,3,2,0.667,1
export_uk,as_1893,WOOLLEN AND WORSTED MANUFACTURES,WOOLLEN YARN (CARDED),408,14,7,0.5,0
export_uk,as_1887,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,406,14,6,0.429,0
export_uk,as_1899,BISCUIT AND BREAD,CHEESE,384,2,1,0.5,1
export_uk,as_1886,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,375,13,6,0.462,0
export_uk,as_1888,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,356,12,6,0.5,0
export_uk,as_1897,"FISH, FRESH AND CURED",EARTHEN AND CHINA WARE,351,6,3,0.5,0
export_uk,as_1898,PARCEL POST,ALL OTHER ARTICLES NOT ENUMERATED AND NOT FALLING UNDER ANY OF THE GENERAL HEADS,333,2,1,0.5,0
export_uk,as_1898,"FISH, FRESH AND CURED",EARTHEN AND CHINA WARE,331,4,3,0.75,0
export_uk,as_1885,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,330,14,6,0.429,0
export_uk,as_1899,"FISH, FRESH AND CURED",EARTHEN AND CHINA WARE,318,4,3,0.75,0
export_uk,as_1899,"CAOUTCHOUQ, MANUFACTURES OF",CHEESE,312,1,1,1.0,1
export_uk,as_1899,CANDLES,IMPLEMENTS AND TOOLS,309,2,1,0.5,1
export_uk,as_1899,"BAGS AND SACKS, EMPTY",CHEESE,307,1,1,1.0,1
export_uk,as_1894,WOOLLEN YARN (CARDED),WOOLLEN AND WORSTED MANUFACTURES,292,11,8,0.727,0
export_uk,tn_1901,"CLOCKS, WATCHES, AND PARTS THEREOF","COALS, CINDERS, &C.",292,5,2,0.4,1
export_uk,as_1884,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,272,14,6,0.429,0
export_uk,as_1898,ALKALI,IMPLEMENTS AND TOOLS,272,1,1,1.0,1
export_uk,as_1899,ALKALI,IMPLEMENTS AND TOOLS,272,1,1,1.0,1
export_uk,as_1897,ALKALI,CUTLERY,271,2,1,0.5,1
export_uk,as_1872,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,264,13,5,0.385,0
export_uk,as_1883,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,262,13,6,0.462,0
export_uk,as_1897,DYE STUFFS,DYE STUFF,261,2,1,0.5,0
export_uk,as_1882,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,250,15,6,0.4,0
export_uk,as_1899,DYE STUFFS,"OIL, OTHER THAN ESSENTIAL OR MEDICINAL",242,2,1,0.5,1
export_uk,as_1898,DYE STUFFS,"OIL, OTHER THAN ESSENTIAL OR MEDICINAL",242,2,1,0.5,1
export_uk,as_1874,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,239,13,5,0.385,0
export_uk,as_1898,"TELEGRAPHIC WIRES, AND APPARATUS",IMPLEMENTS AND TOOLS,239,1,1,1.0,0
export_uk,tn_1901,"CAOUTCHOUQ, MANUFACTURES OF","CARRIAGES, &C.",230,6,3,0.5,1
export_uk,as_1898,"COTTON, YARN AND TWIST",CHEESE,212,2,1,0.5,0
export_uk,as_1897,"COTTON, YARN AND TWIST",CHEESE,212,2,1,0.5,0
