volume,year,article_group,article,unit,row_seq,country,cell,printed_subtotal,ratio
as_1880,1880,LINEN and JUTE MANUFACTURES,Jute Manufactures,Yards,1791,United States : Atlantic Pacific,94998024832.0,2255503.0,42118.33
as_1876,1876,BEER and ALE,,Barrels,193,British India: Bombay and Scinde Madras,16057179654.0,1022972.0,15696.6
as_1872,1872,ZINC or SPELTER,"Crude, in Cakes",Cwts,2871,British India: Bombay and Scinde Bengal and Burmah,773944893.0,58399.0,13252.71
as_1876,1876,BEER and ALE,,Barrels,185,United States: Atlantic Pacific,10530020164.0,1022972.0,10293.56
as_1876,1876,TELEGRAPHIC WIRES AND APPARATUS,,,1872,British India: Bombay and Scinde Bengal and Burmah,7749366134.0,814849.0,9510.19
as_1876,1876,"Bags and Sacks, Empty",,Dozens,172,United States: Atlantic Pacific,10497788861.0,1211728.0,8663.49
as_1872,1872,UMBRELLAS and PARASOLS,,,2516,British India: Bombay and Scinde Bengal and Burmah,1205174702.0,244363.0,4931.9
as_1876,1876,STONES and SLATES,"Grindstones, Millstones, and other Sorts of Stone",Tons,1840,United States: Atlantic Pacific,676272410.0,149892.0,4511.73
as_1876,1876,"STATIONERY, other than Paper",,,1824,British India: Bombay and Scinde Madras,2582214178.0,659910.0,3912.98
as_1884,1884,GLASS,"Plate, Rough or Silvered (in-         cluding Looking Glasses or         Mirrors)",Square feet,1047,United States: Atlantic                                                 Pacific,1000972410.0,272883.0,3668.14
as_1873,1873,"TIN, Unwrought",,Cwts,2489,United States: Atlantic Pacific,2081362520.0,786156.0,2647.52
as_1876,1876,"Books, Printed",,Cwts,236,British India: Bombay and Scinde Madras,2173712143.0,881839.0,2464.98
as_1876,1876,"Books, Printed",,Cwts,234,United States: Atlantic Pacific,1895472419.0,881839.0,2149.45
as_1898,1896,"METALS AND MANUFACTURES THEREOF, UNENUMERATED",,,36858,Cape of Good Hope,18530.0,10.0,1853.0
as_1876,1876,BISCUIT and BREAD,,Cwts,212,British India: Bombay and Scinde Bengal and Burmah,416412412.0,374038.0,1113.29
as_1876,1876,"STATIONERY, other than Paper",,,1819,United States: Atlantic Pacific,655901462.0,659910.0,993.93
as_1876,1876,TOBACCO and SNUFF Manufactured in the United Kingdom,Other Kinds of Manufactured Tobacco,Lbs,1895,British India: Bombay and Scinde Bengal and Burmah,25712355.0,30067.0,855.17
as_1872,1872,TOBACCO and SNUFF Manufactured in the United Kingdom,Other Kinds of Manufactured Tobacco,Lbs,2502,British India: Bombay and Scinde Bengal and Burmah,17602351.0,20799.0,846.31
as_1872,1872,Wood and Timber,"Rough, Hewn, Sawn, or Split",Lbds,2534,British Possessions in South Africa Mauritius,61301773.0,82985.0,738.71
as_1894,1894,"FISH, FRESH AND CURED",Unenumerated,,2160,"Portugal, Azores and Madeira     .. Spain and Canaries",262234033.0,428737.0,611.64
as_1898,1898,"METALS AND MANUFACTURES THEREOF, UNENUMERATED",,,36860,Cape of Good Hope,18675.0,31.0,602.42
