commodity,year,origin,value,qty
Wine — Total Of All Kinds,1882,Leather Lbs,43247818,75217704
Wine — Total Of All Kinds,1881,Petroleum Gallons,27885804,59237258
Wine — Total Of All Kinds,1882,Petroleum Gallons,26534072,59695982
Wine — Total Of All Kinds,1877,Tanned Tawed Curried Or Lbs,25611951,46917689
Wine — Total Of All Kinds,1881,Tanned Tawed Curried Or Dressed Lbs,25282337,52002463
Wine — Total Of All Kinds,1881,Cocoa Lbs,19543193,22451834
Wool — Sheep Or Lambs',1899,Sheep Or Lambs,17811360,0
Wine — Total Of All Kinds,1882,Cocoa Lbs,16866723,19101646
Wine — Total Of All Kinds,1877,Petroleum Gallons,16546701,33866311
Wine — Total Of All Kinds,1876,Cocoa Lbs,16434027,20443591
Wine — Total Of All Kinds,1877,Cocoa Lbs,12959170,17056364
Petroleum,1899,Lubricating,12280660,0
Wine — Total Of All Kinds,1876,Petroleum Gallons,10922870,25201177
Wine — Total Of All Kinds,1876,Tanned Tawed Curried Or Dressed Lbs,10894202,44768891
Wine — Total Of All Kinds,1882,Oats,9723634,13638457
Wine — Total Of All Kinds,1877,Oats,8539633,12910035
Wine — Total Of All Kinds,1881,Oats,8173043,10321119
Wine — Total Of All Kinds,1876,Oats,7661996,11211019
Copper,1899,Cork Manufactured Lbs,4901055,0
Wine — Total Of All Kinds,1876,Indian Corn Or Maize,4451034,39963369
Wine — Total Of All Kinds,1881,Indian Corn Or Maize,3866412,33480846
Wine — Total Of All Kinds,1877,Indian Corn Or Maize,2552437,30477818
Wine — Total Of All Kinds,1882,Wheat Meal And Flour,2548324,13057403
Wine — Total Of All Kinds,1882,Jute,2355545,5937842
Wine — Total Of All Kinds,1881,Wheat Meal And Flour,2272117,11357381
Wine — Total Of All Kinds,1877,Barley,2157745,12959526
Wine — Total Of All Kinds,1882,Barley,2118148,15540112
Wine — Total Of All Kinds,1882,Indian Corn Or Maize,2017526,18275731
Wine — Total Of All Kinds,1881,And Steel Manufactures Cwts,1865561,3506926
Wine — Total Of All Kinds,1877,Jute Cwts,1777211,3649877
Wine — Total Of All Kinds,1882,And Steel Manufactures Unenumerated Cuts,1732570,3444316
Wine — Total Of All Kinds,1882,Oranges And Lemons Bushels,1681712,4220427
Wine — Total Of All Kinds,1876,Jute Cuts,1650337,3825259
Wine — Total Of All Kinds,1876,Barley,1648224,9772945
Wine — Total Of All Kinds,1881,Jute,1609428,4928805
