flow,article_group,lost_heading,rows,volumes,y0,y1,value,alpha_next
export_uk,GLASS,"GREASE, TALLOW, AND ANIMAL FAT",445,7,1886,1895,45368504,1
export_uk,PAPER,PERFUMERY OF ALL SORTS,82,4,1889,1895,1134841,1
import,"VARNISH, CONTAINING ALCOHOL",VINEGAR,56,1,1880,1880,25852119,1
import,VARNISH CONTAINING ALCOHOL,VINEGAR,51,1,1872,1872,30887755,1
export_uk,IRON AND STEEL,JUTE YARN,44,3,1891,1895,3221472,1
import,CHEESE,CLOCKS,43,6,1876,1886,5752850,1
export_uk,"STATIONERY, other than Paper","SUGAR, UNREFINED",42,1,1870,1870,852380,1
export_uk,LEATHER,LINEN YARN,36,2,1887,1895,5716564,1
reexport,ROSIN,SAGO AND SAGO FLOUR,36,6,1878,1895,434566,1
import,COFFEE,COLLODION,31,5,1885,1898,9117,0
export_uk,IRON,JUTE YARN,30,4,1882,1888,2598330,1
export_uk,CORN and GRAIN,COTTON TWIST AND YARN,26,1,1886,1886,17223760,0
reexport,"PRECIOUS STONES, Unset","PRINTS, ENGRAVINGS, AND PHOTO- GRAPHS",26,8,1886,1896,136864,0
export_uk,PLUMBAGO,"PROVISIONS, UNENUMERATED",20,1,1876,1876,1426356,1
export_uk,SUGAR,TELEGRAPH WIRES AND APPARATUS,19,1,1881,1881,3964326,1
reexport,SALT,SALTPETRE,18,3,1875,1878,214870,0
reexport,"PLATE, OF GOLD","PLATE, OF SILVER, GILT OR UNGILT",18,6,1889,1896,54692,0
import,"VEGETABLES, Raw, Unenumerated",VINEGAR,18,3,1894,1896,97575,1
import,WAX,WHALEFINS,18,4,1872,1881,437762,1
reexport,Cotton,CUTCH,16,2,1880,1881,466202,1
reexport,Rosin,SAGO AND SAGO FLOUR,16,3,1875,1890,197117,1
import,CHEMICAL MANUFACTURES and PRODUCTS,CLOCKS,16,2,1872,1885,2102438,1
reexport,COTTON,CUTCH,14,2,1875,1878,300274,1
import,OIL,ONIONS,12,2,1873,1874,1089304,1
reexport,"VEGETABLES, Raw, Unenumerated",VINEGAR,12,4,1887,1896,4790,1
reexport,IVORY,JUICE OF LIMES AND LEMONS,10,4,1882,1895,18444,1
import,VEGETABLES. Raw : Unenumerated,VINEGAR,10,1,1886,1886,34773,1
export_uk,MEAL and FLOUR,CUTCH,9,1,1870,1870,87472,0
import,COTTON MANUFACTURES,CUTCH,9,3,1875,1880,862304,1
import,LIQUORICE,LOCUST BEANS,9,1,1899,1899,296075,1
export_uk,QUICKSILVER,RHUBARB,8,1,1870,1870,70660,1
reexport,BUTTER,BUTTERINE,8,1,1886,1886,145755,0
reexport,CANDLES,CAOUTCHOU,8,1,1873,1873,929500,0
import,OIL SEED CAKE,ONIONS,8,1,1878,1878,828168,1
import,"VEGETABLES, Raw : Unenumerated",VINEGAR,8,1,1887,1887,27353,1
export_uk,EARTHEN and CHINA WARE,FISHING TACKLE,7,1,1870,1870,104230,1
import,Oil SEED CAKE,ONIONS,7,1,1876,1876,702416,1
reexport,ROSIN,SALTPETRE,6,1,1886,1886,60431,1
reexport,"COFFEE AND CHICORY, Roasted or Ground, Mixed",COLLODION,6,2,1886,1887,1242,0
reexport,"SKINS, FURS, and PELTS","SPECIMENS, ILLUSTRATIVE OF NATURAL SCIENCE",6,2,1886,1889,14588,1
import,COCOA,COLLODION,6,2,1891,1892,1580,0
reexport,CHLOROFORM,CLOCKS,6,1,1883,1883,110730,1
import,ROSIN,SALTPETRE,6,1,1870,1870,705,1
import,ETHER,"ETHYL, IODIDE OF",5,5,1891,1896,73,0
reexport,SAPFLOWER,SAGO AND SAGO FLOUR,5,1,1876,1876,27726,0
import,LEATHER MANUFACTURES,LINEN YARN,5,1,1888,1888,1429336,1
reexport,WOOLLEN MANUFACTURES,"YEAST, DRIED",4,4,1878,1884,2992,1
export_uk,HATS,HATTERS' WARES,4,1,1870,1870,250213,0
import,COTTON MANUFACTURES,GUTCH,4,1,1870,1870,45460,1
reexport,SLATES,"SPECIMENS, ILLUSTRATIVE OF NATURAL SCIENCE",3,1,1895,1895,7828,1
reexport,"SKINS, FURS and PELTS","SPECIMENS, ILLUSTRATIVE OF NATURAL SCIENCE",3,1,1894,1894,3030,1
reexport,ROSIN,SAUCES OR CONDIMENTS,3,1,1886,1886,7474,1
reexport,SALT,SAUCES OR CONDIMENTS,3,3,1875,1878,17203,0
import,CHEESE,ARTIFICIAL,3,1,1889,1889,7338,0
import,PETROLEUM,PICKLES,3,1,1881,1881,14134,1
reexport,COFFEE,COLLODION,3,1,1895,1895,858,0
reexport,COFFEE AND CHICORY,COLLODION,3,1,1891,1891,988,0
reexport,"VEGETABLES, Unenumerated",VINEGAR,2,2,1876,1878,496,1
reexport,MALT,"MANGANESE, ORE OF",1,1,1895,1895,3544,0
reexport,"COFFEE and CHICORY, Roasted or Ground, Mixed",COLLODION,1,1,1883,1883,378,0
reexport,MALT,MANGANESE ORE OF,1,1,1896,1896,282,0
reexport,LIQUORICE,"MANGANESE, ORE OF",1,1,1887,1887,391,1
import,"VEGETABLES, Unenumerated",VINEGAR,1,1,1881,1881,9029,1
reexport,ISINGLASS,JUICE OF LIMES AND LEMONS,1,1,1878,1878,503,1
reexport,OIL SEED CAKE,ONIONS,1,1,1879,1879,258,1
reexport,WOOLLEN MANUFACTURES,ZINC ORE,1,1,1882,1882,629,1
