gain,article,group,unit,year,country,current,proposed,delta,n_support,n_current,ratio_now,n_countries
0.04666,"unenumerated, unwrought",,TON,1895,germany,197,107,-90,3,1,1.04666,11
0.01997,cutch and gambier,Dyeing or Tanning Stuffs,TON,1882,burmah,4985,4385,-600,1,1,1.01997,6
0.01929,of straw,,LB,1890,france,79412,70412,-9000,1,1,1.01929,5
0.01839,"unenumerated, unwrought",,TON,1899,holland,166,106,-60,1,1,1.01839,13
0.01335,guano,,TON,1882,british possessions in south africa,4069,4669,600,1,1,0.98665,7
0.01036,calves,,NUM,1899,united states of america,3,5,2,1,1,0.98964,4
0.00568,guano,,TON,1895,other british possessions,1078,795,-283,3,2,1.00568,14
0.00439,seal,Skins and Furs,NUM,1891,united states of america,81979,84979,3000,1,1,0.99561,12
0.00268,"steel, unwrought",Metals,TON,1885,austrian territories,155,185,30,1,1,0.99732,10
0.00237,cutch and gambier,,TON,1894,other foreign countries,121,56,-65,1,2,1.00237,7
0.00209,horse,,CWT,1893,denmark,236,286,50,1,1,0.99791,13
0.00185,guano,,TON,1890,germany,135,185,50,1,1,0.99815,10
0.00185,phosphate of lime and rock,,TON,1893,french guiana,320,920,600,1,1,0.99815,13
0.00163,animal,Oils,CWT,1897,germany,605,695,90,2,3,0.99837,9
0.00126,ornamental,Feathers,LB,1891,japan,5935,5035,-900,1,1,1.00126,15
0.00122,rum,Spirits,PROOFG,1889,germany,273660,278660,5000,1,1,0.99878,9
0.00121,cutch and gambier,,TON,1895,other foreign countries,127,96,-31,3,2,1.00121,6
0.00112,"of silver, gilt or ungilt",Plate,OZSTRO,1897,british east indies,1239,1320,81,2,1,0.99888,9
