year,uk_produce,uk_reexport,uk_gbp,uk_usd,uk_cells,nfld_gbp,fy_a,fy_b,blend,ratio,blend_printed,ratio_printed,ratio3,verdict
1870,9259929.0,0,9259929.0,45064370.4714,212,0,22749782.0,27851717.0,25300749.5,0.5614357692194338,,,,FLAG
1872,9406633.0,996575.0,10403208.0,50628252.0528,164,0,37231611.0,43413004.0,40322307.5,0.7964388629879623,,,,FLAG
1873,8575397.0,648645.0,9224042.0,44889722.7972,157,0,43413004.0,63856602.0,53634803.0,1.194812524067212,65799606.5,1.465805587556541,1.1098063158792357,FLAG
1874,8190309.0,755675.0,8945984.0,43536525.7344,157,0,63856602.0,56876303.0,60366452.5,1.3865702759166652,61711752.0,1.4174707549352983,1.1936463007119524,FLAG
1875,9287199.0,513479.0,9800678.0,47695979.554800004,134,0,56876303.0,40084774.0,48480538.5,1.0164491630641233,50540663.5,1.0596420069731793,1.1520060801495158,pass (one test)
1876,7279722.0,562077.0,7841799.0,38162899.0134,124,0,40084774.0,40349829.0,40217301.5,1.0538324535009418,40153249.5,1.0521540694772986,0.996973815005604,pass
1877,8107219.0,565121.0,8672340.0,42204809.844,131,0,40349829.0,37606779.0,38978304.0,0.9235512289730482,38501709.5,0.912258807522469,0.9419304891578206,pass
1878,7622801.0,548104.0,8170905.0,39764526.273,136,0,37606779.0,30314440.0,33960609.5,0.8540428538453168,34212155.0,0.8603687307908394,0.9489901173649505,pass
1879,5608856.0,565397.0,6174253.0,30047619.6498,123,0,30314440.0,36413701.0,33364070.5,1.1103731639594978,32727177.0,1.0891770257155073,0.9955884373026437,pass
1880,7134452.0,594899.0,7729351.0,37615659.5766,135,123593.0,36413701.0,42844701.0,39629201.0,1.0535293398032715,39022516.0,1.037400817617862,1.059299811100647,pass
1881,8561335.0,711723.0,9273058.0,45128264.0628,152,0,42844701.0,50128877.0,46486789.0,1.0301036382722255,47090574.5,1.0434829585837664,1.042744191844907,pass
1882,9211849.0,755289.0,9967138.0,48506073.7908,144,0,50128877.0,51359488.0,50744182.5,1.046140792983012,51324903.0,1.0581129122376967,1.017660722235409,pass
1883,9129849.0,776185.0,9906034.0,48208705.0644,148,0,51359488.0,42874756.0,47117122.0,0.9773571378251749,47735240.0,0.9901788470823367,0.9818195037579444,pass
1884,8517364.0,896078.0,9413442.0,45811456.8372,156,0,42874756.0,41272711.0,42073733.5,0.9184107296460199,42412396.0,0.9258032581395691,0.9890345522927685,pass
1885,6754604.0,1010419.0,7765023.0,37789260.9318,159,0,41272711.0,41073725.0,41173218.0,1.0895481145902055,41003988.0,1.085069858180126,1.0244202299257323,pass
1886,7175426.0,976152.0,8151578.0,39670469.4948,161,0,41073725.0,44995368.0,43034546.5,1.0848005342019196,42781716.0,1.0784272670533386,1.0453570027309567,pass
1887,7984038.0,944780.0,8928818.0,43452985.6788,177,0,44995368.0,39383012.0,42189190.0,0.9709157918827063,42130477.0,0.9695646073994582,1.020601566485587,pass
1888,7264239.0,1009301.0,8273540.0,40264009.764,186,0,39383012.0,42028395.0,40705703.5,1.0109699391240194,40808055.0,1.013511948740049,0.9758359843999725,pass
1889,8037220.0,1197352.0,9234572.0,44940968.0952,196,0,42028395.0,43279959.0,42654177.0,0.9491156690181703,,,,pass
1890,7115565.0,922584.0,8038149.0,39118455.9234,191,0,43279959.0,,,,,,,no data
1891,6931009.0,924601.0,7855610.0,38230111.626,199,0,,,,,,,,no data
1892,7248074.0,1035546.0,8283620.0,40313065.092,224,0,,,,,,,,no data
1893,6642937.0,1544638.0,8187575.0,39845652.495,234,0,,,,,,,,no data
1894,5983548.0,1211866.0,7195414.0,35017201.7724,220,11.0,,,,,,,,no data
1895,5281725.0,1119272.0,6400997.0,31151092.0002,205,14.0,,,,,,,,no data
1896,5558856.0,5672211.0,11231067.0,54657110.662200004,211,0,,,,,,,,no data
1897,4922580.0,1054241.0,5976821.0,29086797.0786,306,343130.0,,,,,,,,no data
1898,5455168.0,1323678.0,6778846.0,32989931.9436,309,357153.0,,,,,,,,no data
1899,6337719.0,1333321.0,7671040.0,37331883.264,312,409369.0,,,,,,,,no data
1900,7224032.0,1375992.0,8600024.0,41852876.7984,333,507448.0,,,,,,,,no data
