commodity,gbp,n_gap_years,years
Hides — Raw,917765,24,1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1888 1889 1890 1891 1892 1893 1894 1895 1896
Bark — Peruvian,7063303,15,1883 1884 1885 1886 1887 1888 1889 1890 1893 1894 1895 1896 1897 1898 1899
Madder,995509,9,1886 1887 1888 1889 1890 1891 1892 1893 1894
"Unenumerated, Not Sweetened",74351832,8,1874 1879 1880 1881 1884 1897 1898 1899
Phosphate Of Lime And Rock,5375181,8,1886 1887 1888 1889 1890 1891 1892 1899
"Preserved, Otherwise Than By Salting",23610824,7,1890 1891 1892 1893 1894 1895 1896
"Manufactured, Cigars",5935008,7,1893 1894 1895 1896 1897 1898 1899
Spirits — Geneva,1500590,7,1873 1874 1879 1880 1881 1884 1885
Wood And Timber — Oak,14626309,6,1894 1895 1896 1897 1898 1899
"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated",4128096,6,1873 1874 1884 1885 1886 1887
"Unenumerated, For Expressing Oil Therefrom",1419575,6,1883 1884 1891 1892 1893 1894
Hemp — Dressed Or Undressed,44265235,5,1872 1873 1874 1898 1899
Oil — Oil Seed Cakes,33928591,5,1892 1893 1894 1895 1896
Rags And Other Materials For Making Paper — Linen And Cotton,7789377,5,1873 1893 1894 1895 1896
"Madder, Madder Root, Garancine, And Munjeet",3621637,5,1878 1879 1880 1881 1891
Spices — Ginger,3394884,5,1878 1879 1880 1881 1886
"Candles, Of All Sorts",1799175,5,1878 1879 1880 1881 1884
"Perfumery, And Articles Used In The Manufacture Thereof",1414281,5,1893 1894 1895 1896 1897
Bones (Except Whalefins) — Applicable To Manufacturing Pur- Poses,751277,5,1889 1890 1897 1898 1899
"Methylic Alcohol, Not Purified So As To Be Potable",699130,5,1894 1896 1897 1898 1899
Garden,389614,5,1892 1893 1894 1895 1896
"Cotton Manufactures — Piece Goods, Plain",527082346,4,1888 1889 1890 1891
Wine — White,82859798,4,1894 1895 1896 1897
Rice,74814630,4,1874 1875 1876 1877
Wine — Red,63350851,4,1894 1895 1896 1897
"Tin — In Blocks, Ingots, Bars, Or Slabs",54712446,4,1877 1878 1879 1880
"Coals, Cinders, &C — Coals And Culm",37480356,4,1894 1897 1898 1899
Metals And Ores — Pig,13495272,4,1896 1897 1898 1899
"Drugs — Bark, Peruvian",13063070,4,1878 1879 1880 1881
"China, Or Porcelain, And Earthenware",12229415,4,1878 1879 1880 1881
"Animals, Living — Horses",7563499,4,1888 1889 1890 1891
Horns And Hoofs,3468465,4,1893 1894 1895 1896
Horns And Hoofs Of Cattle,2316666,4,1878 1879 1880 1881
Beads Of All Sorts,1777080,4,1878 1879 1880 1881
Waste Of,1284429,4,1896 1897 1898 1899
