commodity,over_years,total_years,max_ratio,gbp_lifetime,likely_cause
Cotton — Raw,14,35,1.8,1264418293,parent-child hierarchy
Wool — Sheep Or Lambs',14,33,2.0,824637480,parent-child hierarchy
Corn And Grain — Wheat,14,24,1.7,651233249,parent-child hierarchy
Tea,4,35,2.1,326218125,parent-child hierarchy
Corn And Grain — Wheat Meal Or Flour,11,21,2.0,305087824,parent-child hierarchy
Maize Or Indian Corn,4,8,1.8,299219833,parent-child hierarchy
Coffee,2,24,243.8,212222301,parent-child hierarchy
Oats,5,8,1.9,165068345,parent-child hierarchy
Jute,13,14,2.0,161053835,parent-child hierarchy
Cotton — Flax Or Linseed,15,35,1.8,146609185,parent-child hierarchy
Oxen And Bulls,4,7,1.7,98295255,parent-child hierarchy
"Mutton, Fresh",16,19,3.0,82122080,parent-child hierarchy
Rice,10,26,2.3,76038276,parent-child hierarchy
Lead — Pig And Sheet,3,30,3.6,72346780,parent-child hierarchy
Lard,5,35,2.0,69603082,parent-child hierarchy
Tallow And Stearine,8,33,1.8,59045805,parent-child hierarchy
Potatoes,5,35,2.7,52386549,parent-child hierarchy
"Cured Or Salted, Unenumerated",5,7,20.9,42271072,parent-child hierarchy
"Leather, Undressed",3,8,86.2,41579599,parent-child hierarchy
Hams,5,14,2.0,39162844,parent-child hierarchy
Hops,7,35,2.0,30972772,parent-child hierarchy
Wool — Goats' Wool Or Hair,5,31,2.0,25119912,parent-child hierarchy
Beef — Fresh,2,5,2.0,24773321,parent-child hierarchy
"Lac, Seed, Shell, Stick, And Dye",11,32,2.5,23754989,parent-child hierarchy
Cutch And Gambier,13,35,2.0,22432596,parent-child hierarchy
Dye Woods — Logwood,3,5,218.2,21269545,parent-child hierarchy
Ivory — Vegetable,5,6,31.1,21172464,other (outlier/glue/unit)
Vegetable,5,8,30.0,20765554,other (outlier/glue/unit)
Yarn,12,35,7.2,20468994,parent-child hierarchy
Glucose (Solid Or Liquid),5,8,4.0,18926846,parent-child hierarchy
"Skins : Goat, Undressed",7,9,1.8,13815760,parent-child hierarchy
Gutta Percha,10,25,2.0,13473083,parent-child hierarchy
Rosin,5,35,2.0,13075444,parent-child hierarchy
"Drugs — Bark, Peruvian",9,19,1.9,12362206,parent-child hierarchy
Shells Of All Kinds,3,11,84.6,11336211,parent-child hierarchy
"Skins, Furs, And Pelts — Goat, Undressed",2,3,1.8,11334935,parent-child hierarchy
"Metal — Leaf, Not Gold",3,5,11.4,11276969,parent-child hierarchy
Wool — Other Goats' Wool Or Hair,4,7,23.2,10979859,parent-child hierarchy
Kowrie,16,30,2.0,9035184,parent-child hierarchy
Saltpetre (Nitrate Of Potash),7,8,18.6,8851660,parent-child hierarchy
Oil — Coco-Nut,2,21,2.0,7798937,parent-child hierarchy
Oatmeal And Groats,5,8,1.9,7602615,parent-child hierarchy
Horse,2,30,6.8,7550990,other (outlier/glue/unit)
Imitation Rum,6,10,137.2,7426888,parent-child hierarchy
Rye,5,8,2.1,7210013,parent-child hierarchy
Isinglass,8,35,1.8,6854460,parent-child hierarchy
Castor,3,14,1.5,6509246,parent-child hierarchy
Manures — Bones For Manure,5,8,1.6,6117896,parent-child hierarchy
Drugs — Opium,3,18,2.0,5975386,parent-child hierarchy
Plumbago,8,35,2.0,5905375,parent-child hierarchy
Lead — Ore Of,7,9,1.9,5528858,parent-child hierarchy
Tow,5,8,4.2,5312005,parent-child hierarchy
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",2,5,12.7,5160404,parent-child hierarchy
"Wool — Goats' Wool, Mohair",4,7,1.7,4598141,parent-child hierarchy
Collodium,4,6,1195.0,4517460,parent-child hierarchy
Sponge,2,14,1.6,4213825,other (outlier/glue/unit)
"Varnished, Japanned Or Enamelled",3,8,112.0,4124949,other (outlier/glue/unit)
Oil-Seed Cake — Of Other Sorts,4,5,13.7,3847110,parent-child hierarchy
"Madder, Madder Root, Garancine, And Munjeet",5,21,219.5,3794942,parent-child hierarchy
"Preserved Without Sugar, Other Than Dried",3,6,1.5,3779434,other (outlier/glue/unit)
Tares And Lentils,4,33,2.3,3679022,parent-child hierarchy
Rabbits (Dead),3,9,1.7,3335014,parent-child hierarchy
"Sago, And Flour Or Meal Thereof",7,7,2.0,3111542,parent-child hierarchy
Galls,3,35,1.6,2659343,parent-child hierarchy
Spices — Ginger,4,19,2.0,2293290,parent-child hierarchy
Spices — Cinnamon,2,31,2.0,2022964,parent-child hierarchy
Waste Of (Raw And Yarn),5,7,2.0,1977615,parent-child hierarchy
Peas,2,8,1.8,1936743,parent-child hierarchy
Preserved Otherwise Than By Salting — Mutton,7,8,2.0,1898491,parent-child hierarchy
"Sauces Or Condiments, Unenumerated",6,7,1.6,1324910,parent-child hierarchy
Pitch,5,27,1.7,776644,parent-child hierarchy
Honey,2,8,1.7,513345,parent-child hierarchy
"Skins, Furs, And Pelts — Unenumerated : Undressed",2,7,1.5,449941,parent-child hierarchy
"Kiln-Dried, Roasted, Or Ground",4,8,2.0,12855,other (outlier/glue/unit)
