orphan,host,kind,exact_years,gains_years,years,safe_scope,orphan_gbp
"Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Not Otherwise Enumerated","Brass, Bronze, And Metal Bronzed Or Lacquered, }Manufactures Of",ambiguous,2,5,1895;1896,1895;1896;1897;1898;1899,996198
"Beads Of All Sorts — Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Unenumerated","Brass, Bronze, And Metal Bronzed Or Lacquered, }Manufactures Of",ambiguous,2,2,1893;1894,1893;1894,591901
"Beads Of All Sorts — Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Unenumerated",Brass And Bronze Manufactures,ambiguous,2,2,1893;1894,1893;1894,591901
"Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Not Otherwise Enumerated",Brass And Bronze Manufactures,ambiguous,2,2,1895;1896,1895;1896,996198
"Copper — Manufactures Of, Unenumerated","Copper — Manufactures Of, Unenumerated,   Including Copper Coin",resolved,2,9,1872;1873,1872;1873;1874;1888;1889;1892;1893;1894;1895,847677
"Wood And Timber — Hewn, Unenumerated",Wood And Timber — Unenumerated,resolved,2,5,1895;1898,1894;1895;1897;1898;1899,5933408
"Farinaceous Substances, And Manufactures Thereof, Unenumerated",Farinaceous Substances And Manufactures Thereof,resolved,2,5,1881;1888,1880;1881;1888;1889;1890,4548829
"Animals Living — Horses, Mares, Geldings, Colts, And Foals","Animals, Living — Horses",resolved,2,5,1883;1887,1883;1884;1885;1886;1887,1049026
"Cards, Playing — Transparent In The Manufacture Of Which Spirit Has Been Used","Soap, Transparent, In The Manufacture Of Which Spirit Has Been Used",resolved,2,3,1898;1899,1896;1898;1899,3421
"Quicksilver, (Metallic) — Woollen: Applicable To Other Uses Than Manure, Torn Up Or Not","Rags, Woollen, Applicable To Other Uses Than Manure, Torn Up Or Not",resolved,2,3,1873;1875,1873;1874;1875,1615335
Paper — Pitch,Pitch,resolved,2,3,1878;1883,1878;1883;1885,64560
"Horns — Bars, Unwrought",Iron — In Bars,resolved,2,2,1872;1873,1872;1873,1910452
"Flowers, Artificial — Nuts, Principally Used As Fruit","Of Other Sorts (Including ""Nuts, For Fruit"")",resolved,2,2,1878;1879,1878;1879,3460012
"Flowers, Artificial — Unenumerated, Raw",Fruit — Unenumerated : Raw,resolved,2,2,1880;1881,1880;1881,4337060
"Brass, Bronze, And Metal, Bronzed Or Lacquered, Manufactures Of, Unenumerated",Brass And Bronze Manufactures,resolved,2,2,1892;1896,1892;1896,1013441
Conk — Unmanufactured,Cork — Unmanufactured,resolved,2,2,1882;1892,1882;1892,389725
"China, Or Porcelain, And Earthenware — Fresh (Not Of British Taking) : Herrings","Fish : Fresh, Herrings",resolved,2,2,1895;1896,1895;1896,238954
"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel: Girders, Beams, And Pillars","Manufactures Of Iron And Steel — Girders, Beams, Joists And Pillars",resolved,2,2,1896;1897,1896;1897,2234568
Wood And Timber — Furniture And Hardwoods : Mahogany,Wood And Timber — Mahogany,resolved,2,2,1887;1888,1887;1888,683643
