commodity,country,year,printed_total,cell,rest,rest_over_t1
Silk — Raw,Bombay And Scinde Bengal And Burmah,1873,6445213,84778433506,5926929,0.92
"Skins, Furs, And Pelts — Seal",Whale Fisheries Northern Other Countries,1884,713632,502306368,657034,0.921
Coffee — Raw,Prunes From France Other Countries,1880,1546451,362501129,17976705,11.624
Coffee — Raw,China,1881,1229003,162238139,9314378,7.579
Fruit — Raisins,China,1879,585538,141644277,50678840,86.551
Fruit — Raisins,Bengal And Burmah,1879,585538,38007628,154315489,263.545
Paper — Hangings,Russia,1894,9060,33128184,714004,78.808
"Leather, Undressed",Madras,1895,918252,31972506,46746511,50.908
Leather — Dressed,United States Of America,1893,344263,27947484,10609968,30.819
Slates,Straits Settlements,1893,131708,26162654,16358017,124.199
Slates,Straits Settlements,1894,132145,26053323,25011997,189.277
"Leather, Undressed",Madras,1894,771213,25739297,39030296,50.609
"Teeth, Elephants', Sea Cow, And Sea Horse",Other Countries,1881,12377,25711341,1250222,101.012
"Leather, Undressed",Madras,1893,664448,24064931,33177393,49.932
Wool — Other Goats' Wool Or Hair,Asiatic,1897,3259056,22635270,27237896,8.358
"Leather, Undressed",Australasia,1895,918252,18695995,60023022,65.367
Roasted Or Ground,British East Indies,1894,143029,17035547,14282216,99.855
Slates,United States Of America,1895,144751,16671919,53305665,368.258
Slates,France,1895,144751,16669583,53308001,368.274
"Leather, Undressed",Australasia,1894,771213,15059126,49710467,64.458
Shells Of All Kinds,Australasia,1895,391272,13138073,19892389,50.84
Coffee — Raw,Plums French And Pruneloes From France Other Countries,1880,1546451,13029327,367448507,237.608
"Leather, Undressed",Australasia,1893,664448,12854952,44387372,66.803
Slates,British East Indies,1894,132145,12532688,38532632,291.594
Shells Of All Kinds,Australasia,1893,535165,11733102,17549248,32.792
Slates,British East Indies,1895,144751,11718216,58259368,402.48
Wool — Other Goats' Wool Or Hair,Asiatic,1896,2156233,11645750,26925302,12.487
Shells Of All Kinds,Australasia,1894,454311,11565206,16940930,37.289
Slates,Belgium,1895,144751,9177926,60799658,420.029
Feathers And Down — Ornamental,British East Indies,1889,796537,8793614,7206888,9.048
Slates,British East Indies,1893,131708,8617567,33903104,257.411
"Leather, Undressed",New South Wales,1895,918252,8467098,70251919,76.506
Slates,Zanzibar And Pemba,1894,132145,7568865,43496455,329.157
Yarn,Germany,1882,1408069,7455607,2742939,1.948
Slates,Zanzibar And Pemba,1895,144751,6807825,63169759,436.403
Cotton,British East Indies,1888,257172,6689031,10493430,40.803
Cotton,British East Indies,1887,275627,6613150,11972597,43.438
"Leather, Undressed",New South Wales,1894,771213,6553027,58216566,75.487
"Leather, Undressed",Victoria,1895,918252,5920150,72798867,79.28
"Leather, Undressed",Bombay,1895,918252,5827966,72891051,79.38
Roasted Or Ground,Ecuador,1894,143029,5777279,25540484,178.569
"Leather, Undressed",Victoria,1894,771213,5513787,59255806,76.835
Shells Of All Kinds,British Possessions In South Africa,1895,391272,5499386,27531076,70.363
Shells Of All Kinds,Cape Of Good Hope,1895,391272,5234210,27796252,71.041
Cotton,United States Of America,1888,257172,5229694,11952767,46.478
"Leather, Undressed",Victoria,1893,664448,5133655,52108669,78.424
Leather — Dressed,France,1893,344263,5066967,33490485,97.282
"Leather, Undressed",Bombay,1894,771213,4900266,59869327,77.63
"Leather, Undressed",New South Wales,1893,664448,4863109,52379215,78.831
Roasted Or Ground,Portugal,1894,143029,4787326,26530437,185.49
Shells Of All Kinds,British Possessions In South Africa,1893,535165,4771209,24511141,45.801
Fruit — Raisins,British Guiana,1876,583860,4698064,8416183,14.415
Cotton,United States Of America,1887,275627,4698033,13887714,50.386
"Leather, Undressed",Bombay,1893,664448,4611492,52630832,79.21
Shells Of All Kinds,Cape Of Good Hope,1893,535165,4469965,24812385,46.364
Shells Of All Kinds,British Possessions In South Africa,1894,454311,4284124,24222012,53.316
Isinglass,Bengal And Burmah,1874,4098,4253700,4098,1.0
Shells Of All Kinds,Cape Of Good Hope,1894,454311,4140671,24365465,53.632
Fruit — Raisins,British Guiana,1879,585538,3539647,188783470,322.41
Fruit — Raisins,British West India Islands,1876,583860,3449058,9665189,16.554
Imitation Rum,France,1894,31206,3283663,359538,11.521
Shells Of All Kinds,New Zealand,1895,391272,3154939,29875523,76.355
Dye Woods — Logwood,Belgium,1894,68457,2954843,1738463,25.395
Imitation Rum,France,1897,28651,2790416,356424,12.44
Shells Of All Kinds,New Zealand,1894,454311,2571589,25934547,57.085
Slates,British West India Islands,1895,144751,2545538,67432046,465.849
Imitation Rum,France,1896,26324,2521346,278107,10.565
Dye Woods — Logwood,Russia,1896,76075,2496038,4588190,60.311
Dye Woods — Logwood,Belgium,1897,39297,2464182,2704222,68.815
Roasted Or Ground,Brazil,1894,143029,2448661,28869102,201.841
Imitation Rum,France,1895,27918,2427772,413783,14.821
Slates,Zanzibar And Pemba,1893,131708,2357242,40163429,304.943
Dye Woods — Logwood,Belgium,1898,42374,2349962,3348604,79.025
Dye Woods — Logwood,Belgium,1895,58964,2261630,4220642,71.58
Cotton,France,1887,275627,2259493,16326254,59.233
Imitation Rum,France,1899,49681,2250021,139463,2.807
Dye Woods — Logwood,Belgium,1896,76075,2243909,4840319,63.626
Dye Woods — Logwood,Russia,1895,58964,2229870,4252402,72.119
Imitation Rum,France,1898,17325,2208346,166339,9.601
Caoutchouc,Germany,1897,396929,2066656,1826112,4.601
Saltpetre (Nitrate Of Potash),United States Of America,1897,330013,2057148,3628216,10.994
Caoutchouc,Germany,1895,341553,2024374,2008852,5.882
Dye Woods — Logwood,Denmark,1898,42374,2019503,3679063,86.824
Saltpetre (Nitrate Of Potash),Hong Kong,1895,228477,2003260,2034466,8.904
Saltpetre (Nitrate Of Potash),Hong Kong,1894,289363,1863624,2017420,6.972
Slates,Germany,1895,144751,1829208,68148376,470.797
Oil-Seed Cake — Of Other Sorts,Spain,1896,5744,1811417,1513912,263.564
Cotton,France,1888,257172,1755437,15427024,59.987
Oil-Seed Cake — Of Other Sorts,Spain,1897,7078,1753538,1573923,222.368
Dye Woods — Logwood,Denmark,1897,39297,1748809,3419595,87.019
Leather — Dressed,Holland,1893,344263,1725006,36832446,106.989
Slates,Ceylon,1895,144751,1612110,68365474,472.297
Oil-Seed Cake — Of Other Sorts,Spain,1895,6070,1577927,1520914,250.562
Dye Woods — Logwood,Denmark,1896,76075,1566623,5517605,72.528
Caoutchouc,Germany,1894,302451,1513520,1512819,5.002
Oil-Seed Cake — Of Other Sorts,Egypt,1894,9483,1400793,1615788,170.388
Collodium,Greece,1894,1270,1301735,214726,169.076
Dye Woods — Logwood,Denmark,1895,58964,1279013,5203259,88.245
Dye Woods — Logwood,Denmark,1894,68457,1254914,3438392,50.227
"Teeth, Elephants', Sea Cow, And Sea Horse",West Africa Portuguese Possessions Not Particularly Design Nated,1881,12377,1243698,25717865,2077.875
Saltpetre (Nitrate Of Potash),Hong Kong,1893,242568,1227976,889954,3.669
Collodium,Greece,1893,1942,1224832,201004,103.504
Oil-Seed Cake — Of Other Sorts,Spain,1894,9483,1189528,1827053,192.666
Wood And Timber — Mahogany,Sweden,1885,56058,1188712,2789344,49.758
Slates,Portugal,1895,144751,1182661,68794923,475.264
Slates,Ceylon,1894,132145,1178073,49887247,377.519
"Metal — Leaf, Not Gold",New Zealand,1895,186727,1171048,959510,5.139
Oil-Seed Cake — Of Other Sorts,Egypt,1897,7078,1162176,2165285,305.918
Slates,Ceylon,1893,131708,1132190,41388481,314.244
Cotton,Russia,1875,202205,1120702,1023550,5.062
Collodium,Greece,1897,1575,1120478,262285,166.53
Wood And Timber — Mahogany,Russia,1885,56058,1094471,2883585,51.439
Oil-Seed Cake — Of Other Sorts,Egypt,1896,5744,1094077,2231252,388.449
Oil-Seed Cake — Of Other Sorts,Egypt,1895,6070,1089983,2008858,330.949
Collodium,Greece,1895,953,1085510,200462,210.348
Wood And Timber — Mahogany,Canada,1885,56058,984668,2993388,53.398
Collodium,Greece,1896,1819,983609,208663,114.713
"Metal — Leaf, Not Gold",Argentine Republic,1897,124027,908623,339429,2.737
Slates,Tripoli,1893,131708,822565,41698106,316.595
"Madder, Madder Root, Garancine, And Munjeet",Bombay,1894,8744,760541,253166,28.953
Dye Woods — Logwood,Canada,1898,42374,745355,4953211,116.893
Slates,Hong Kong,1894,132145,685563,50379757,381.246
Dye Woods — Logwood,Canada,1897,39297,568769,4599635,117.048
Dye Woods — Logwood,Canada,1896,76075,500317,6583911,86.545
"Madder, Madder Root, Garancine, And Munjeet",Bombay,1895,6054,458359,259398,42.847
"Madder, Madder Root, Garancine, And Munjeet",Bombay,1896,5217,448996,99136,19.002
Dye Woods — Logwood,Canada,1895,58964,436903,6045369,102.526
Vegetable,Bengal,1895,12988,389939,172,0.013
Vegetable,Bengal,1898,12716,360702,245,0.019
Wood And Timber — Mahogany,Norway,1885,56058,356596,3621460,64.602
"Madder, Madder Root, Garancine, And Munjeet",Bombay,1893,7006,343979,128774,18.381
Oil-Seed Cake — Of Other Sorts,Portugal,1895,6070,343948,2754893,453.854
Horns And Hoofs,Norway,1889,5746,342009,5745,1.0
Vegetable,Bengal,1896,30129,338233,446,0.015
Vegetable,Bengal,1894,33076,336723,394,0.012
Vegetable,Bengal,1897,16412,334636,247,0.015
Oil-Seed Cake — Of Other Sorts,Portugal,1894,9483,283671,2732910,288.19
Oil-Seed Cake — Of Other Sorts,Portugal,1896,5744,281113,3044216,529.982
"Madder, Madder Root, Garancine, And Munjeet",Bombay,1897,3793,270329,123281,32.502
Oil-Seed Cake — Of Other Sorts,Portugal,1897,7078,266220,3061241,432.501
Imitation Rum,Russia,1895,27918,264535,2577020,92.307
"Varnished, Japanned Or Enamelled",United States Of America,1896,4295,261977,223341,52.0
Imitation Rum,Russia,1894,31206,254486,3388715,108.592
Paper — Hangings,Sweden,1894,9060,237775,33604413,3709.096
"Varnished, Japanned Or Enamelled",Holland,1895,4210,220763,253864,60.3
Paper — Hangings,Norway,1894,9060,208138,33634050,3712.368
"Varnished, Japanned Or Enamelled",United States Of America,1893,3993,206885,352077,88.174
"Varnished, Japanned Or Enamelled",United States Of America,1895,4210,204723,269904,64.11
Imitation Rum,Russia,1897,28651,198925,2947915,102.89
"Varnished, Japanned Or Enamelled",Holland,1896,4295,198134,287184,66.865
"Varnished, Japanned Or Enamelled",Holland,1893,3993,176628,382334,95.751
Collodium,Holland,1893,1942,170342,1255494,646.495
"Madder, Madder Root, Garancine, And Munjeet",Madras,1885,24721,164553,41436,1.676
Collodium,Belgium,1897,1575,154918,1227845,779.584
Collodium,Holland,1894,1270,141667,1374794,1082.515
"Madder, Madder Root, Garancine, And Munjeet",Madras,1894,8744,136507,877200,100.32
"Madder, Madder Root, Garancine, And Munjeet",Madras,1895,6054,135742,582015,96.137
Collodium,Belgium,1896,1819,109131,1083141,595.46
"Madder, Madder Root, Garancine, And Munjeet",Bengal,1895,6054,92514,625243,103.278
"Madder, Madder Root, Garancine, And Munjeet",Bengal,1894,8744,92165,921542,105.391
Collodium,Holland,1895,953,81401,1204571,1263.978
Collodium,Belgium,1895,953,77096,1208876,1268.495
Paper — Hangings,Algeria,1894,9060,73662,33768526,3727.21
Oil-Seed Cake — Of Other Sorts,Malta,1896,5744,69173,3256156,566.88
"Madder, Madder Root, Garancine, And Munjeet",Madras,1897,3793,63995,329615,86.901
"Varnished, Japanned Or Enamelled",Belgium,1893,3993,60551,498411,124.821
Paper — Hangings,Spain,1894,9060,57177,33785011,3729.03
"Madder, Madder Root, Garancine, And Munjeet",Madras,1893,7006,55731,417022,59.524
Oil-Seed Cake — Of Other Sorts,Malta,1897,7078,53465,3273996,462.559
"Madder, Madder Root, Garancine, And Munjeet",Madras,1896,5217,51809,496323,95.136
Oil-Seed Cake — Of Other Sorts,Malta,1894,9483,51239,2965342,312.701
"Madder, Madder Root, Garancine, And Munjeet",Bengal,1893,7006,45954,426799,60.919
Collodium,United States Of America,1897,1575,40378,1342385,852.308
Collodium,United States Of America,1896,1819,37565,1154707,634.803
"Madder, Madder Root, Garancine, And Munjeet",Bengal,1897,3793,36462,357148,94.16
Oil-Seed Cake — Of Other Sorts,Malta,1895,6070,36354,3062487,504.528
"Varnished, Japanned Or Enamelled",Other Foreign Countries,1895,4210,35808,438819,104.233
"Varnished, Japanned Or Enamelled",Canada,1893,3993,33524,525438,131.59
Collodium,United States Of America,1894,1270,32042,1484419,1168.834
"Varnished, Japanned Or Enamelled",France,1893,3993,30020,528942,132.467
Collodium,Holland,1896,1819,20497,1171775,644.186
Collodium,Portugal,1897,1575,14524,1368239,868.723
Collodium,Russia South,1897,1575,14513,1368250,868.73
Collodium,Portugal,1895,953,11532,1274440,1337.293
Tobacco — Burgundy,France,1895,863,11519,635,0.736
Collodium,Portugal,1896,1819,11033,1181239,649.389
Collodium,Portugal,1894,1270,10886,1505575,1185.492
Collodium,Holland,1897,1575,10497,1372266,871.28
Collodium,Austrian Territories,1897,1575,10247,1372516,871.439
Collodium,Belgium,1894,1270,7770,1508691,1187.946
Collodium,United States Of America,1895,953,7144,1278828,1341.897
Collodium,France,1895,953,6862,1279110,1342.193
Collodium,France,1894,1270,6379,1510082,1189.041
Collodium,Austrian Territories,1895,953,6355,1279617,1342.725
Collodium,Turkey Asiatic,1895,953,5507,1280465,1343.615
Gold,Australasia,1899,23,197,414,18.0
Gold,British Possessions In South Africa,1899,23,124,487,21.174
