engine,volume,group,phantom_article,parent_article,year,seq_start,seq_end,n_rows,parent_plus_phantom,parent_t1,ratio,closes
inf,as_1883,SUGAR,East Coast of Africa,"Cane, and other sorts",1883,2861,2924,56,23820111,,,
inf,as_1899,EGGS,British East-Indies,Eastern Coast of Africa,1895,6569,6623,55,2890143,,,
ch,as_1886,SUGAR,East Coast of Africa,"Cane, and Other Sorts",1886,3111,3186,43,18944387,,,
ch,as_1895,HIDES. Raw. and Pieces thereof,East Coast of Africa,Dry,1895,1595,1626,32,491544,,,
inf,as_1895,HIDES. Raw. and Pieces thereof,East Coast of Africa,Dry,1895,1598,1629,32,491244,,,
ch,as_1896,CAOUTCHouc,East Coast of Africa,West Coast of Africa,1896,311,340,30,374850,,,
ch,as_1896,"HIDES, Raw, and Pieces thereof",East-Coast of Africa,Dry,1896,1657,1685,29,366063,,,
inf,as_1896,"HIDES, Raw, and Pieces thereof",East-Coast of Africa,Dry,1896,1654,1682,29,365163,,,
ch,as_1895,NUTS AND KERNELS,West Africa,Commonly used for expressing oil therefrom,1895,2305,2332,28,68244,,,
inf,as_1895,NUTS AND KERNELS,West Africa,Commonly used for expressing oil therefrom,1895,2297,2324,28,68444,,,
ch,as_1893,COCOA,West Africa,"Cocoa or Chocolate, in the manufacture   of which Spirit has been used",1893,82,108,27,1090917,,,
ch,as_1889,SPICES,East Coast of Africa,Pepper,1889,3167,3193,24,42262083,,,
inf,as_1889,SPICES,East Coast of Africa,Pepper,1889,2907,2933,24,42311183,,,
ch,as_1896,SKINS and FURS,East Coast of Africa,"Sheep, Undressed",1896,3275,3297,23,13364634,,,
ch,as_1890,SPICES,East Coast of Africa,Pepper,1890,3273,3301,23,47087879,,,
inf,as_1896,SKINS and FURS,East Coast of Africa,"Sheep, Undressed",1896,3227,3249,23,13364634,,,
ch,as_1891,COCOA,West Africa,"Cocoa or Chocolate, ground, prepared or in any way manufactured",1891,74,95,22,3649736,,,
inf,as_1893,IVORY,East Coast of Africa,West Coast of Africa,1893,1879,1896,18,5219,,,
ch,as_1896,FEATHERS AND DOWN,East Coast of Africa,Ornamental,1896,1084,1100,17,1166517,,,
ch,as_1891,"DYE STUFFS, and Substances used in Tanning",West Africa,Unenumerated,1891,1035,1050,16,245194,,,
ch,as_1895,DYE WOODS,West Africa,Unenumerated,1895,993,1008,16,23555,,,
ch,as_1894,"HIDES, Raw, and Pieces thereof",East Coast of Africa,Dry,1894,1655,1670,16,419210,,,
inf,as_1883,WOOD AND TIMBER,East Coast of Africa,Mahogany : Unenumerated,1883,3199,3214,16,62736,,,
inf,as_1885,Cotton,East Coast of Africa,"SHELLS, of all KINDS",1885,2496,2511,16,0,,,
inf,as_1886,SPICES,East Coast of Africa,Pepper,1886,2739,2756,16,29095811,,,
inf,as_1894,"HIDES, Raw, and Pieces thereof",East Coast of Africa,Dry,1894,1576,1591,16,419755,,,
ch,as_1895,"SKINS, FURS, and PELTS",South Africa,"Sheep, Undressed",1895,3219,3233,15,28820515,,,
ch,as_1891,OIL,West Africa,Palm,1891,2365,2378,14,1018429,,,
ch,as_1896,GOLD,East Coast of Africa,"Ore of, or Ore of which the     greater part in value is Gold",1896,1417,1430,14,2227,,,
ch,as_1895,OIL,West Africa,Palm,1895,2406,2419,14,1262933,,,
inf,as_1891,OIL,West Africa,Palm,1891,2228,2241,14,1018429,,,
inf,as_1893,OIL,West Africa,Palm,1893,2467,2480,14,1172094,,,
inf,as_1895,OIL,West Africa,Palm,1895,2398,2411,14,1262903,,,
inf,as_1896,GOLD,East Coast of Africa,"Ore of, or Ore of which the greater part in value is Gold",1896,1415,1428,14,2227,,,
ch,as_1894,OIL,West Africa,Palm,1894,2466,2478,13,1137766,,,
ch,as_1893,OIL,West Africa,Palm,1893,2463,2475,13,1169943,,,
ch,as_1885,IVORY,East Coast of Africa,"Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse",1885,1647,1659,13,7333,,,
inf,as_1885,IVORY,East Coast of Africa,"Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse",1885,1408,1420,13,7330,,,
inf,as_1894,OIL,West Africa,Palm,1894,2398,2410,13,1137766,,,
ch,as_1894,NUTS AND KERNELS,East Coast of Africa,India,1894,2365,2376,12,69243,,,
ch,as_1886,OIL,West Africa,Palm,1886,2196,2207,12,1004419,,,
inf,as_1886,OIL,West Africa,Palm,1886,1918,1929,12,1004419,,,
inf,as_1883,IVORY,East Coast of Africa,"Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse",1883,1416,1427,12,13567,,,
inf,as_1886,IVORY,East Coast of Africa,"Teeth, Elephants', Sea Cow. Sea Horse, or Sea Morse",1886,1475,1486,12,9466,,,
inf,as_1894,NUTS AND KERNELS,East Coast of Africa,India,1894,2297,2308,12,69743,,,
ch,as_1889,OIL,West Africa,Palm,1889,2262,2272,11,1031440,,,
ch,as_1892,OIL,West Africa,Palm,1892,2663,2673,11,1055580,,,
ch,as_1885,Fish,West Africa,Palm,1885,2134,2144,11,905439,,,
ch,as_1887,OIL,West Africa,Palm,1887,2198,2208,11,968227,,,
ch,as_1888,OIL,West Africa,Palm,1888,2336,2346,11,953799,,,
ch,as_1891,NUTS AND KERNELS,West Africa,Commonly used for expressing oil therefrom,1891,2265,2275,11,62930,,,
ch,as_1894,"HIDES, Raw, and Pieces thereof",British Possessions in South             Africa,Wet,1894,1691,1701,11,716039,,,
inf,as_1885,OIL,West Africa,Palm,1885,1900,1910,11,905436,,,
inf,as_1887,OIL,West Africa,Palm,1887,1858,1868,11,967927,,,
inf,as_1891,NUTS AND KERNELS,West Africa,Commonly used for expressing oil therefrom,1891,2127,2137,11,62930,,,
inf,as_1892,OIL,West Africa,Palm,1892,2237,2247,11,1055580,,,
inf,as_1888,OIL,West Africa,Palm,1888,2058,2068,11,953799,,,
inf,as_1889,OIL,West Africa,Palm,1889,2058,2068,11,1031440,,,
