commodity,year,unit,drop_country,country_qty,excess,match,ratio_now,ratio_after,n_countries,gbp_per_year
Cotton — Raw,1872,Cwt,Peru,98433,99970,0.01537,1.00795,1.00012,22,35459393
Oxen And Bulls,1895,Number,Other British Possessions,1554,1554,0.0,1.00376,1.0,8,25336896
Corn And Grain — Wheat,1876,Cwt,Other Countries,109062,99980,0.08327,1.00225,0.9998,18,20788482
Oats,1894,Cwt,Other Foreign Countries,23618,22139,0.06262,1.00148,0.9999,18,19311677
Oats,1896,Cwt,Chile,15400,17949,0.14201,1.00102,1.00014,16,19311677
"Sugar — Unrefined : Cane, And Other Sorts",1897,Cwt,Cuba And Porto Rico,21320,16648,0.21914,1.00343,0.99904,27,15998445
"Sugar — Unrefined, Total",1886,Cwt,Mexico,55225,64442,0.14303,1.00399,1.00057,34,14434500
Sugar — Unrefined : Beetroot,1899,Cwt,Russia,20740,24044,0.13741,1.00258,1.00035,8,12391159
Butter,1881,Cwt,Russia,5642,5000,0.11379,1.00244,0.99969,13,9278378
Wet,1894,Cwt,Republic Of Colombia,884,940,0.05957,1.00154,1.00009,39,7681127
Wet,1895,Cwt,Bengal,5739,5984,0.04094,1.00776,1.00032,39,7681127
Wet,1896,Cwt,Bengal,1886,1941,0.02834,1.00321,1.00009,38,7681127
Coffee — Raw,1895,Cwt,Other Foreign Countries,1692,1758,0.03754,1.00227,1.00009,30,6547997
Regulus And Precipitate,1893,Ton,Other Foreign Countries,139,139,0.0,1.00117,1.0,22,5665569
Regulus And Precipitate,1894,Ton,Queensland,139,137,0.01439,1.00174,0.99997,24,5665569
Regulus And Precipitate,1900,Ton,Belgium,240,308,0.22078,1.00351,1.00078,20,5665569
Ore Of (Including Chrome),1896,Ton,France,24893,23878,0.04077,1.00439,0.99981,25,4920786
Ore Of (Including Chrome),1897,Ton,Australasia,18452,18520,0.00367,1.0031,1.00001,28,4920786
"Mutton, Fresh",1894,Cwt,Falkland Islands,6394,5000,0.21802,1.00218,0.99939,13,4805970
Husks And Shells,1893,Cwt,Other Foreign Countries,29,29,0.0,1.02134,1.0,4,4251858
Seeds — Flax Or Linseed,1894,Quarter,Republic Of Colombia,7668,8053,0.04781,1.00386,1.00018,18,4230776
Cork — Manufactured,1875,Lb,Snuff From All Countries,8397,8397,0.0,1.00151,1.0,5,3948661
"Cured Or Salted, Unenumerated",1893,Cwt,France,3412,2975,0.12808,1.00325,0.99952,20,3771046
"Copper, Ore Of",1894,Ton,Other British Possessions,169,164,0.02959,1.00198,0.99994,22,3701704
"Copper, Ore Of",1898,Ton,Sweden,251,216,0.13944,1.00241,0.99961,24,3701704
Petroleum,1886,Gallon,Germany,168232,125530,0.25383,1.00176,0.9994,7,3577533
Oil — Palm,1896,Cwt,French,13026,13026,0.0,1.01136,1.0,16,3221763
Lead — Dressed,1894,Cwt,New South Wales,543,553,0.01808,1.00151,1.00003,18,3110433
Lead — Dressed,1897,Cwt,Other Foreign Countries,609,900,0.32333,1.00246,1.0008,16,3110433
Iron — Ore Of,1895,Ton,Holland,5829,5722,0.01836,1.00129,0.99998,29,3007870
Iron — Ore Of,1897,Ton,Holland,8543,8572,0.00338,1.00144,1.0,31,3007870
Iron — Ore Of,1899,Ton,Portugal,10354,11322,0.0855,1.0016,1.00014,34,3007870
"Hides, Raw, And Pieces Thereof — Dry",1896,Cwt,Norway,3150,3002,0.04698,1.00813,0.9996,39,2955181
Wood And Timber — Teak,1893,Load,Other Foreign Countries,734,732,0.00272,1.02136,0.99994,10,2918011
Wood And Timber — Teak,1895,Load,Other Foreign Countries,150,160,0.0625,1.00269,1.00017,10,2918011
Wood And Timber — Teak,1896,Load,Other Foreign Countries,68,88,0.22727,1.00133,1.0003,14,2918011
Rice,1889,Cwt,Madras,65904,59950,0.09034,1.0091,0.9991,18,2911097
Rice,1895,Cwt,Bengal,2864646,2864616,1e-05,1.52743,0.99999,16,2911097
Rice,1896,Cwt,Madras,857725,859383,0.00193,1.18965,1.00037,18,2911097
Caoutchouc,1873,Cwt,Belgium,1966,1966,0.0,1.01249,1.0,17,2786864
Caoutchouc,1874,Cwt,West Coast Of Africa Foreign,780,760,0.02564,1.00588,0.99985,18,2786864
Caoutchouc,1882,Cwt,Straits Settlements,12991,12836,0.01193,1.07063,0.99915,19,2786864
Silk — Raw,1895,Lb,Hong Kong,29300,30000,0.02333,1.01928,1.00045,10,2626501
Lead — Pig And Sheet,1894,Ton,Norway,223,197,0.11659,1.00122,0.99984,24,2551505
Lead — Pig And Sheet,1895,Ton,Portugal,296,322,0.08075,1.00198,1.00016,20,2551505
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver",1895,Value,Germany,17010,17057,0.00276,1.00977,1.00003,20,2390910
Paper — Unprinted,1898,Cwt,Canada,6275,8100,0.22531,1.00277,1.00062,15,2316271
Paper — Unprinted,1899,Cwt,Austrian Territories,22140,20296,0.08329,1.00658,0.9994,15,2316271
Tobacco — Unmanufactured,1886,Lb,Germany,924560,1000000,0.07544,1.01216,1.00092,18,2303434
