class,commodity,year,origin,twin_origin,qty,value
"same place, dropped","Cured Or Salted, Unenumerated",1897,Canada,,280635,731060
"same place, dropped","Cured Or Salted, Unenumerated",1896,Canada,,236421,619296
"same place, dropped","Fish (Including Turtle) — Cured Or Salted, Other Sorts",1900,Canada,,97200,327448
"same place, dropped","Sugar — Unrefined : Cane, And Other Sorts",1894,Mauritius,,266679,154568
"same place, dropped",Caoutchouc,1883,East Coast Of Africa,,7664,109663
"same place, dropped","Sugar — Unrefined, Total",1895,Spanish West India Islands,,167906,96319
"same place, dropped",Wood And Timber — Mahogany,1894,The Gold Coast,,7131,62713
"same place, dropped",Oats,1893,Turkey,,110047,32145
"same place, dropped",Cork — Unmanufactured,1893,Algeria,,809,28770
"same place, dropped",Wood And Timber — Mahogany,1877,Hayti And St Domingo,,1765,18639
"same place, dropped","Sugar — Unrefined : Cane, And Other Sorts",1896,Mauritius,,34657,16731
"same place, dropped",Wood And Timber — Mahogany,1878,Hayti And St Domingo,,1251,12183
"same place, dropped","Sugar — Unrefined, Total",1896,Spanish West India Islands,,20160,11386
"same place, dropped","Sugar — Unrefined, Total",1897,Spanish West India Islands,,21320,11046
"same place, dropped",Nuts And Kernels — For Expressing Oil Therefrom,1896,Madras,,464,6738
"same place, dropped",Nuts And Kernels — For Expressing Oil Therefrom,1896,Straits Settlements,,470,6123
"same place, dropped",Nuts And Kernels — For Expressing Oil Therefrom,1896,The Gold Coast,,281,3037
"same place, dropped",Honey,1895,Spanish West India Islands,,2006,2291
"same place, dropped",Nuts And Kernels — For Expressing Oil Therefrom,1891,British Possessions In South Africa,,513,1934
"same place, dropped","Wood And Timber — Unenumerated (Not Being Ash, Beech, Birch, Elm, Oak, Or Wainscot)",1898,Spanish West India Islands,,132,820
"same place, dropped",Nuts And Kernels — Of Other Sorts,1894,Turkey,,795,795
"same place, dropped","Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenumerated",1899,Turkey,,638,697
"same place, dropped","Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenumerated",1898,Turkey,,513,607
"same place, dropped","Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenumerated",1897,Turkey,,420,420
