flow,measure,group,article,year,values
export_uk,quantity,,""" Hair or Wool, not otherwise enumerated """,1891,"5,009,700"
export_uk,quantity,,""" mixed with other ma-terials",1893,"13,361,000"
export_uk,quantity,,""" mixed with other ma-terials",1894,"12,625,900"
export_uk,quantity,,""" mixed with other ma-terials",1895,"18,833,300"
export_uk,quantity,,""" mixed with other ma-terials",1896,"17,767,100"
export_uk,quantity,,""" mixed with other ma-terials",1897,"15,258,700"
export_uk,quantity,,""" mixed with other materials",1900,"15,552,200"
export_uk,quantity,,",, Fresh",1895,"3,397"
export_uk,quantity,,",, Fresh",1896,"4,433"
export_uk,quantity,,",, Fresh",1897,"4,894"
export_uk,quantity,,",, Fresh",1898,"9,502"
export_uk,quantity,,",, Fresh",1899,"12,096"
export_uk,quantity,,ARTICLES—continued.,1898,"1,898"
export_uk,quantity,,ARTICLES—continued.,1899,"1,899"
export_uk,quantity,,Alkali,1870,"3,853,393|3,553,393|3,533,393"
export_uk,quantity,,Alkali,1899,"3,808,800"
export_uk,quantity,,All Wool,1900,"10,930,400"
export_uk,quantity,,Alpaca and Mohair,1900,"10,396,800"
export_uk,quantity,,Bacon,1895,"216,479"
export_uk,quantity,,Bacon,1896,"384,858"
export_uk,quantity,,Bacon,1897,"319,873"
export_uk,quantity,,Bacon,1898,"506,476"
export_uk,quantity,,Bacon,1899,"443,889"
export_uk,quantity,,"Bags and Sacks, Empty",1868,"2,144,598"
export_uk,quantity,,"Bags and Sacks, Empty, for packing Merchandise",1899,"2,129,400"
export_uk,quantity,,"Bar (except Railroad), {Angle, Bolt, and Rod",1896,"178,123"
export_uk,quantity,,"Barley, Bere or Bigg",1893,"20,139"
export_uk,quantity,,"Beads, of all sorts",1895,"1,690,965"
export_uk,quantity,,"Beads, of all sorts",1896,"1,791,411"
export_uk,quantity,,"Beads, of all sorts",1897,"1,871,794"
export_uk,quantity,,"Beads, of all sorts",1898,"2,105,858"
export_uk,quantity,,"Beads, of all sorts",1899,"2,525,085"
export_uk,quantity,,Beans,1893,"1,352"
export_uk,quantity,,"Beef, Salted",1895,"60,011"
export_uk,quantity,,"Beef, Salted",1896,"45,746"
export_uk,quantity,,"Beef, Salted",1897,"40,579"
export_uk,quantity,,"Beef, Salted",1898,"51,244"
export_uk,quantity,,"Beef, Salted",1899,"38,752"
export_uk,quantity,,Beer and Ale,1899,"485,032"
export_uk,quantity,,Billcloth and Sails,1870,"3,659,627"
export_uk,quantity,,Billcloth and Sails,1871,"1,129,532"
export_uk,quantity,,Billcloth and Sails,1872,"3,783,126"
export_uk,quantity,,Billcloth and Sails,1873,"4,521,683"
export_uk,quantity,,Billcloth and Sails,1874,"4,769,017"
export_uk,quantity,,Biscuit and Bread,1899,"241,995"
export_uk,quantity,,Black Plates for Tinning,1893,4
export_uk,quantity,,Black Plates for Tinning,1894,"45,433"
export_uk,quantity,,Blankets,1899,"765,000|862,500"
export_uk,quantity,,Blankets,1900,"857,900"
export_uk,quantity,,Bleached and Dyed,1888,"45,217,900"
export_uk,quantity,,Bottles and Manufactures of Green or Common Glass,1893,"639,202"
export_uk,quantity,,Bottles and Manufactures of Green or Common Glass,1900,"863,184"
export_uk,quantity,,Broad Piece Goods,1896,"7,510,500"
export_uk,quantity,,"Broad, all Wool",1893,"8,091,900"
export_uk,quantity,,"Broad, all Wool",1900,"11,041,100"
export_uk,quantity,,"Candles, Stearine",1870,"3,443,533"
export_uk,quantity,,"Carpets, not being Rugs",1894,"7,763,300"
export_uk,quantity,,"Carpets, not being Rugs",1895,"8,279,500"
export_uk,quantity,,"Carpets, not being Rugs",1899,"8,311,600"
export_uk,quantity,,"Carpets, not being Rugs",1900,"8,739,900"
export_uk,quantity,,"Carpets, not being of Wool unmixed or mixed with other materials",1893,"8,531,000"
export_uk,quantity,,"Carpets, not being of Wool unmixed or mixed with other materials",1900,"8,739,900"
export_uk,quantity,,"Carpets, not being of Woolun-",1893,"8,531,000"
export_uk,quantity,,"Carpets, not being of Woolun-",1894,"7,763,300"
export_uk,quantity,,"Carpets, not being of Woolun-",1895,"8,279,500"
export_uk,quantity,,"Carpets, not being of Woolun-",1896,"8,289,000"
export_uk,quantity,,"Carpets, not being of Woolun-",1897,"7,297,400"
export_uk,quantity,,"Cast and Wrought, and allother Manufactures",1885,"347,963"
export_uk,quantity,,"Cast and Wrought, and allother Manufactures",1886,"353,923"
export_uk,quantity,,"Cast and Wrought, and allother Manufactures",1887,"369,307"
export_uk,quantity,,"Cast and Wrought, and allother Manufactures",1888,"428,112"
export_uk,quantity,,"Cast and Wrought, and allother Manufactures",1889,"463,526"
export_uk,quantity,,"Cast or Wrought, and all other Manufactures",1869,"231,012|234,012"
export_uk,quantity,,Castings and Articles of Cast Iron,1867,"81,531"
export_uk,quantity,,Cavendish or Negrohead manufac-tured in Bond from unmanufac-tured Tobacco,1893,"1,587,177"
export_uk,quantity,,Cavendish or Negrohead manufac-tured in Bond from unmanufac-tured Tobacco,1894,"1,668,597"
export_uk,quantity,,Cavendish or Negrohead manufac-tured in Bond from unmanufac-tured Tobacco,1897,"3,356,322|3,336,322"
export_uk,quantity,,Cavendish or Negrohead manufac-tured in Bond from unmanufac-tured Tobacco,1898,"3,719,615"
export_uk,quantity,,Cavendish or Negrohead manufac-tured in Bond from unmanufac-tured Tobacco,1899,"3,797,576"
export_uk,quantity,,Cavendish or Negrohead manufactured in Bond from unmanufactured Tobacco,1899,"3,797,576"
export_uk,quantity,,Cavendish or Negrohead manufactured in Bond from unmanufactured Tobacco,1900,"4,719,412"
export_uk,quantity,,Cement,1868,"2,478,586|2,478,886"
export_uk,quantity,,Cement,1896,"358,769"
export_uk,quantity,,"Checked, Printed, {or Dried",1892,"12,157,000"
export_uk,quantity,,"Checked, Printed, {or Dried",1893,"15,406,100"
export_uk,quantity,,"Checked, Printed, {or Dried",1894,"16,875,200"
export_uk,quantity,,"Checked, Printed, {or Dried",1895,"20,235,800"
export_uk,quantity,,"Checked, Printed, {or Dried",1896,"17,986,100"
export_uk,quantity,,Chemical Products and Preparations (&amp;c. also Dye Stuffs),1887,"1,692,651"
export_uk,quantity,,Chemical Products and Preparations (&amp;c. also Dye Stuffs),1888,"1,931,964"
export_uk,quantity,,Chemical Products and Preparations (&amp;c. also Dye Stuffs),1889,"2,282,964"
export_uk,quantity,,Chemical Products and Preparations (&amp;c. also Dye Stuffs),1890,"2,706,625"
export_uk,quantity,,Chemical Products and Preparations (&amp;c. also Dye Stuffs),1891,"2,331,561"
export_uk,quantity,,Chemical Products and Preparations (See  also Dye Stuffs),1891,"2,331,561"
export_uk,quantity,,Chemical Products or Preparations,1881,"2,536,748"
export_uk,quantity,,Chemical Products or Preparations (See also Dye Stuffs) - Value £,1878,"1,892,864"
export_uk,quantity,,"Cloths, Coatings, Stuffs, &amp;c.",1889,"69,154,900"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Pre-pared",1896,"2,620,800"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Pre-pared",1897,"2,942,700"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Pre-pared",1898,"3,381,400"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Pre-pared",1899,"3,457,200"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Pre-pared",1900,"3,850,800"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Pre-pared in Bond",1900,"140,000"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Prepared",1896,"2,620,800"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Prepared",1897,"2,942,700"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Prepared",1898,"3,381,400"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Prepared",1899,"3,457,200"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Prepared",1900,"3,850,800"
export_uk,quantity,,"Cocoa or Chocolate, Ground or Prepared in Bond",1900,"140,000"
export_uk,quantity,,"Cocoa or Chocolate, Ground, Prepared, or in any way Manufactured in the United Kingdom - - - - -",1899,"3,457,200"
export_uk,quantity,,"Cocoa or Chocolate, Ground, Prepared, or in any way Manufactured in the United Kingdom . . . . Lbs.",1894,"2,447,503"
export_uk,quantity,,"Cocoa or Chocolate, Ground, Prepared,or in any way Manufactured in theUnited Kingdom",1893,"2,625,000"
export_uk,quantity,,"Cocoa or Chocolate, Ground, Prepared,or in any way Manufactured in theUnited Kingdom",1899,"3,457,200"
export_uk,quantity,,"Coffee, Kiln-dried, Roasted or Ground,in Bond",1897,"41,551"
export_uk,quantity,,"Coffee, Roasted",1893,6
export_uk,quantity,,"Combed or Carded, and Tops",1889,"9,016,000"
export_uk,quantity,,"Combed or Carded, and Tops",1900,"28,031,200"
export_uk,quantity,,Common Bottles,1896,"783,660"
export_uk,quantity,,"Copper, Ore",1893,2
export_uk,quantity,,"Copper, Unwrought",1868,"163,685"
export_uk,quantity,,"Cordage, Cables, Ropes, and Twine, of Hemp or like Material",1900,"210,185"
export_uk,quantity,,"Cordage, Cables, Ropes, and Twine, of Hemp or like Material . . .",1894,"242,307"
export_uk,quantity,,"Cordage, Cables, Ropes, and Twine, ofHemp or like Material",1893,"191,199"
export_uk,quantity,,"Cordage, Cables, Ropes, and Twine, ofHemp or like Material",1900,"210,185"
export_uk,quantity,,Corn: Wheat,1867,"339,335"
export_uk,quantity,,Cotton Yarn and Twist :  Grey Lbs.  Bleached and Dyed,1887,"251,026,000"
export_uk,quantity,,Cotton Yarn and Twist :  Grey Lbs.  Bleached and Dyed,1888,"255,846,100"
export_uk,quantity,,Crude in Cakes,1899,"108,130"
export_uk,quantity,,Crude in Cakes,1900,"140,412"
export_uk,quantity,,Drugs and Medicinal Preparations,1871,"720,830"
export_uk,quantity,,"Dyed, or Manufactured of Dyed Yarn",1900,"840,602,800"
export_uk,quantity,,"Dyed, or Manufactured ofDyed Yarn",1893,"626,283,500"
export_uk,quantity,,"Dyed, or Manufactured ofDyed Yarn",1899,"560,106,000|860,106,000"
export_uk,quantity,,"Dyed, or Manufactured ofDyed Yarn",1900,"840,602,800"
export_uk,quantity,,Felt,1893,"549,613"
export_uk,quantity,,Felt,1900,"478,598"
export_uk,quantity,,"Fish, Fresh and Cured, viz.:Herrings",1895,"1,425,115"
export_uk,quantity,,"Fish, Fresh and Cured, viz.:Herrings",1900,"1,540,875"
export_uk,quantity,,Fish: Herring,1876,"426,588"
