flow,measure,group,article,year,values,max_value
import,value,,"Chicory, Raw or Kiln Dried „ Roasted or Ground",1897,"98,236,188,658",98236188658
import,quantity,,Feathers :For Beds Cwts.Ornamental,1892,"98,115,853,256",98115853256
import,value,,"Coffee, Raw „ Kiln-dried, Roasted, or Ground „ and Chicory, Roasted or Ground, Mixed (see Chicoryand Coffee).",1899,"97,479,322,155",97479322155
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1882,"96,837,162,663",96837162663
export_uk,value,,"Matches, viz. :   Safety Matches . . . . Gross Boxes  Other Sorts . . . . „",1900,"96,000,692,100",96000692100
import,value,,"Chicory, Raw or Kiln Dried „ Roasted or Ground",1898,"94,335,108,769",94335108769
import,value,,"Coffee, Raw „ Kiln-dried, Roasted, or Ground „ and Chicory, Roasted or Ground, Mixed (see Chicoryand Coffee).",1898,"92,208,818,359",92208818359
import,value,,"Feathers, for Beds . . . . .Ornamental . . . . .",1887,"89,968,965,383",89968965383
export_uk,quantity,,"Meat: Beef, Pork, Bacon, and Hams - Cwts.  Medicines, Drugs, and Medicinal Preparations",1889,"88,664,971,415",88664971415
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1881,"79,115,978,257",79115978257
reexport,quantity,,"Metal : Leaf, not Gold Packets  Unenumerated, Unwrought Tons  Wrought or Manufactured ,,  Old, fit only to be re-manufactured",1898,"78,840,097,250",78840097250
import,value,,"Coffee, Raw „ Kiln-dried, Roasted, or Ground „ and Chicory, Roasted or Ground, Mixed (see Chicoryand Coffee).",1897,"75,648,212,054",75648212054
export_uk,quantity,,"Matches, viz. :  Safety Matches Gross Boxes  Other Sorts",1899,"73,500,619,200",73500619200
export_uk,value,,"Matches, viz. :   Safety Matches . . . . Gross Boxes  Other Sorts . . . . „",1899,"73,500,619,200",73500619200
export_uk,quantity,,"Meat: Beef, Pork, Bacon, and Hams - Cwts.  Medicines, Drugs, and Medicinal Preparations",1887,"73,350,869,083",73350869083
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1876,"72,086,661,203",72086661203
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1875,"72,005,545,148",72005545148
import,value,,"Coffee, Raw „ Kiln-dried, Roasted, or Ground „ and Chicory, Roasted or Ground, Mixed (see Chicoryand Coffee).",1896,"71,346,813,572",71346813572
export_uk,quantity,,"Meat: Beef, Pork, Bacon, and Hams - Cwts.  Medicines, Drugs, and Medicinal Preparations",1888,"70,760,932,154",70760932154
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1878,"70,175,638,645",70175638645
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1877,"69,346,417,991",69346417991
import,quantity,,"Bark:  For Tanners' or Dyers' use ""  Peruvian",1876,"67,231,926,021",67231926021
import,value,,Hats and Bonnets : Of Felt,1894,"64,930,110,898",64930110898
import,quantity,,"Bark:  For Tanners' or Dyers' use ""  Peruvian",1877,"64,566,234,900",64566234900
export_uk,quantity,,Paper : Hangings Cwts. Of other Sorts,1895,"64,316,842,526",64316842526
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1879,"61,614,973,021",61614973021
export_uk,quantity,,Paper Hangings Cwts.  Of other Sorts,1890,"61,058,904,997",61058904997
export_uk,quantity,,Paper Hangings Cwts.  Of other Sorts,1889,"60,546,928,837",60546928837
import,quantity,,"Bark:  For Tanners' or Dyers' use ""  Peruvian",1878,"58,752,553,886",58752553886
export_uk,quantity,,Paper : Hangings Cwts. Of other Sorts,1892,"58,098,873,653",58098873653
export_uk,quantity,,Paper : Hangings Cwts. Of other Sorts,1894,"57,606,841,074",57606841074
export_uk,quantity,,Paper : Hangings Cwts. Of other Sorts,1893,"56,956,852,801",56956852801
export_uk,quantity,,Paper Hangings Cwts.  Of other Sorts,1887,"55,175,765,920",55175765920
reexport,value,,"Nuts, For expressing Oil therefrom - - - - - - - - - - - - - - - Other sorts, unenumerated (not Fruit) - - - - - - - - - - - - - - -",1894,"51,520,116,671",51520116671
reexport,quantity,,"Metal : Leaf, not Gold Packets  Unenumerated, Unwrought Tons  Wrought or Manufactured ,,  Old, fit only to be re-manufactured",1895,"48,993,569,397",48993569397
import,quantity,,"Bark:  For Tanners' or Dyers' use ""  Peruvian",1875,"47,190,036,531",47190036531
reexport,value,,"Nuts, For expressing Oil therefrom - - - - - - - - - - - - - - - Other sorts, unenumerated (not Fruit) - - - - - - - - - - - - - - -",1895,"46,409,222,464",46409222464
reexport,quantity,,Hemp :Dressed or Undressed . . . . .Tow . . . . .Unenumerated Vegetable Substances applicable to the same uses as Hemp or Flax . . . . .,1899,"38,506,532,871",38506532871
import,quantity,,"Rags, and other materials for making Paper : Linen and Cotton Rags Tons Esparto, and other Materials",1887,"38,273,339,769",38273339769
reexport,value,Zinc,"Ore of Crude, in Cakes",1894,"37,235,010,215",37235010215
import,quantity,,"Rags, and other materials for making Paper : Linen and Cotton Rags Tons Esparto, and other Materials",1886,"36,604,312,814",36604312814
import,quantity,,"Rags, and other materials for making Paper : Linen and Cotton Rags Tons Esparto, and other Materials",1884,"36,233,260,544",36233260544
import,quantity,,Feathers :For Beds Cwts.Ornamental,1891,"35,601,714,575",35601714575
import,quantity,,"Rags, and other materials for making Paper : Linen and Cotton Rags Tons Esparto, and other Materials",1885,"35,470,299,100",35470299100
import,value,,Dye Woods :Logwood . . . . .Unenumerated . . . . .,1891,"33,584,686,069",33584686069
import,value,,Dye Woods :Logwood . . . . .Unenumerated . . . . .,1892,"33,353,868,410",33353868410
reexport,value,,"Nuts, For expressing Oil therefrom - - - - - - - - - - - - - - - Other sorts, unenumerated (not Fruit) - - - - - - - - - - - - - - -",1896,"32,401,126,309",32401126309
