shadow,unit,shadow_t1_years,candidate,kind,n_candidates_at_top,exact_years,gains_years,years,shadow_gbp,candidate_gbp
"Brass, Bronze, And Metal Bronzed Or Lacquered, }Manufactures Of",Cwt,8,"Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Not Otherwise Enumerated",ambiguous,2,2,5,1895;1896,170981,996198
Brass And Bronze Manufactures,Cwt,5,"Brass, Bronze, And Metal, Bronzed Or Lacquered, Manufactures Of, Unenumerated",ambiguous,3,2,2,1892;1896,106836,1013441
Brass And Bronze Manufactures,Cwt,5,"Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Not Otherwise Enumerated",ambiguous,3,2,2,1895;1896,106836,996198
Brass And Bronze Manufactures,Cwt,5,"Beads Of All Sorts — Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Unenumerated",ambiguous,3,2,2,1893;1894,106836,591901
"Brass, Bronze, And Metal Bronzed Or Lacquered, }Manufactures Of",Cwt,8,"Beads Of All Sorts — Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Unenumerated",ambiguous,2,2,2,1893;1894,170981,591901
"Chicory And Coffee, Roasted Or Ground Mixed",Lb,7,"Coffee And Chicory, Mixed",resolved,1,3,4,1893;1895;1896,549,57981
Dried,Cwt,9,"Fruit — Unenumerated, Dried",resolved,1,2,8,1893;1894,240962,7356237
"Of Other Sorts (Including ""Nuts, For Fruit"")",Value,17,"Flowers, Artificial — Nuts, Principally Used As Fruit",resolved,1,2,2,1878;1879,461492,3460012
"Fish : Fresh, Herrings",Cwt,5,"China, Or Porcelain, And Earthenware — Fresh (Not Of British Taking) : Herrings",resolved,1,2,2,1895;1896,114934,238954
"Manufactures Of Iron And Steel — Girders, Beams, Joists And Pillars",Ton,5,"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel: Girders, Beams, And Pillars",resolved,1,2,2,1896;1897,467385,2234568
