rule,parent,unit,year,n_children,parent_t1,children_t1,parent_origins,children_origins,n_children_t1,n_children_origins,anchor_ratio,origin_ratio,cross_ratio,parent_ratio,children_ratio
TOTAL,"Sugar — Unrefined, Total",Cwt,1868,2,11796161,,,,0,0,,,,,
TOTAL,"Sugar — Unrefined, Total",Cwt,1869,2,11033653,,,,0,0,,,,,
TOTAL,"Sugar — Unrefined, Total",Cwt,1870,2,12798631,,,,0,0,,,,,
TOTAL,"Sugar — Unrefined, Total",Cwt,1871,2,12126508,,,,0,0,,,,,
TOTAL,"Sugar — Unrefined, Total",Cwt,1872,2,13776696,,1385,,0,0,,,,0.0001,
TOTAL,"Sugar — Unrefined, Total",Cwt,1873,2,14243328,,14210659,,0,0,,,,0.9977,
TOTAL,"Sugar — Unrefined, Total",Cwt,1874,2,14130041,,929,,0,0,,,,0.0001,
TOTAL,"Sugar — Unrefined, Total",Cwt,1875,2,16264711,,16261711,,0,0,,,,0.9998,
TOTAL,"Sugar — Unrefined, Total",Cwt,1876,2,15612214,,15582214,,0,0,,,,0.9981,
TOTAL,"Sugar — Unrefined, Total",Cwt,1877,2,16620944,,16619954,,0,0,,,,0.9999,
TOTAL,"Sugar — Unrefined, Total",Cwt,1878,2,14916381,,14918381,,0,0,,,,1.0001,
TOTAL,"Sugar — Unrefined, Total",Cwt,1879,2,17734223,,17734223,,0,0,,,,1.0000,
TOTAL,"Sugar — Unrefined, Total",Cwt,1880,2,17001613,,17001613,,0,0,,,,1.0000,
TOTAL,"Sugar — Unrefined, Total",Cwt,1881,2,18651383,,18651383,,0,0,,,,1.0000,
TOTAL,"Sugar — Unrefined, Total",Cwt,1882,2,19839225,,19839225,19839225,0,2,,1.0000,1.0000,1.0000,
TOTAL,"Sugar — Unrefined, Total",Cwt,1883,2,20366627,,20366627,20300244,0,2,,0.9967,0.9967,1.0000,
TOTAL,"Sugar — Unrefined, Total",Cwt,1884,2,19622679,,19619679,19619679,0,2,,1.0000,0.9998,0.9998,
TOTAL,"Sugar — Unrefined, Total",Cwt,1885,2,19416559,,19366556,19396556,0,2,,1.0015,0.9990,0.9974,
