pair_id	fiscal_year	volume	md_path	family	stmt_no	l_idx	l_offset	l_rows	l_inherited	r_idx	r_offset	r_rows	r_inherited	row_delta
0	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	summary_17	17	63	243497	44	0	64	249250	39	0	-5
1	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	262	1114739	36	0	263	1118650	35	0	-1
2	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	264	1123310	46	0	265	1127460	37	0	-9
3	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	266	1132771	45	0	267	1136893	42	0	-3
4	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	268	1142298	42	0	269	1145986	38	0	-4
5	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	270	1151513	44	0	271	1155283	43	0	-1
6	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	272	1161463	43	0	273	1165432	35	0	-8
7	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	274	1169892	52	0	275	1174211	48	0	-4
8	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	276	1180360	46	0	277	1184428	42	0	-4
9	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	278	1189914	46	0	279	1194361	42	0	-4
10	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	280	1199820	51	0	281	1205368	49	0	-2
11	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	282	1211531	58	0	283	1215426	50	0	-8
12	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	284	1221721	44	0	285	1225397	43	0	-1
13	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	286	1230956	46	0	287	1235336	45	0	-1
14	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	288	1241038	46	0	289	1245438	44	0	-2
15	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	290	1251245	50	0	291	1255975	47	0	-3
16	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	292	1262845	54	0	293	1268268	49	0	-5
17	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	294	1275081	47	0	295	1279561	40	0	-7
18	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	296	1285093	47	0	297	1289386	38	0	-9
19	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	298	1294589	43	0	299	1299323	46	0	3
20	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	300	1305689	46	0	301	1309450	40	0	-6
21	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	302	1314630	46	0	303	1319092	47	0	1
22	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	304	1325023	57	0	305	1329892	43	0	-14
23	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	306	1335408	52	0	307	1339984	50	0	-2
24	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	308	1347032	53	0	309	1351292	48	0	-5
25	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	310	1357554	49	0	311	1362079	45	0	-4
26	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	312	1367812	49	0	313	1372223	42	0	-7
27	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	314	1377566	49	0	315	1382046	46	0	-3
28	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	316	1387854	51	0	317	1392734	11	0	-40
