pair_id	fiscal_year	volume	md_path	family	stmt_no	l_idx	l_offset	l_rows	l_inherited	r_idx	r_offset	r_rows	r_inherited	row_delta
0	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	248	1101253	45	0	249	1105786	44	0	-1
1	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	250	1112106	48	0	251	1116470	39	0	-9
2	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	252	1122180	45	0	253	1126181	39	0	-6
3	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	254	1131755	50	0	255	1135992	45	0	-5
4	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	256	1142332	46	0	257	1146055	43	0	-3
5	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	258	1152054	49	0	259	1156449	45	0	-4
6	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	260	1162719	51	0	261	1167536	43	0	-8
7	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	262	1172177	43	0	263	1176434	41	0	-2
8	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	264	1182038	33	0	265	1185465	32	0	-1
9	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	266	1189660	48	0	267	1194943	46	0	-2
10	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	268	1200871	47	0	269	1204992	44	0	-3
11	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	270	1210720	49	0	271	1215221	44	0	-5
12	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	272	1219879	48	0	273	1224251	43	0	-5
13	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	274	1230942	45	0	275	1235397	43	0	-2
14	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	276	1241421	50	0	277	1246362	45	0	-5
15	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	278	1253023	47	0	279	1257779	45	0	-2
16	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	280	1264074	48	0	281	1268620	42	0	-6
17	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	282	1274823	50	0	283	1279397	44	0	-6
18	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	284	1284884	44	0	285	1289517	42	0	-2
19	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	286	1294983	49	0	287	1300974	45	0	-4
20	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	288	1307334	17	0	289	1310647	40	0	23
21	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	290	1315813	52	0	291	1320267	43	0	-9
22	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	292	1326325	52	0	293	1331069	50	0	-2
23	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	294	1338126	43	0	295	1342578	42	0	-1
24	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	296	1348114	50	0	297	1352771	44	0	-6
25	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	298	1358933	36	0	299	1362751	35	0	-1
26	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37		300	1367306	47	0	301	1371681	40	0	-7
27	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	302	1376870	50	0	303	1381586	45	0	-5
28	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	304	1388499	41	0	305	1392582	13	0	-28
29	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	306	1396316	46	0	307	1400781	41	0	-5
30	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	308	1406497	14	0	309	1409541	44	0	30
31	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	310	1416007	46	0	311	1420148	39	0	-7
32	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	312	1425885	48	0	313	1430501	43	0	-5
33	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	314	1436720	43	0	315	1441118	40	0	-3
34	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	316	1446490	47	0	317	1451421	43	0	-4
35	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	318	1457557	43	0	319	1461793	39	0	-4
36	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	320	1467419	43	0	321	1471508	40	0	-3
37	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	322	1477184	45	0	323	1481364	45	0	0
38	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	324	1487414	52	0	325	1491984	49	0	-3
39	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	326	1499082	46	0	327	1503741	46	0	0
40	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	328	1510941	46	0	329	1515872	44	0	-2
41	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	330	1522611	41	0	331	1526806	39	0	-2
42	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	332	1532360	39	0	333	1536359	39	0	0
43	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	334	1541494	50	0	335	1546156	45	0	-5
44	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	336	1553039	49	0	337	1557599	46	0	-3
45	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	338	1564251	47	0	339	1568475	44	0	-3
46	1899	statcan_plato_w2_1899	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_plato_w2/CS4-4-1899-eng/CS4-4-1899-eng.md	imports_37	37	340	1575308	43	0	341	1579094	42	0	-1
