fiscal_year,volume,pair_id,row_seq,era,labels,align_status,key,tot_imp_qty,tot_imp_value,gt_qty,gt_value,gt_duty,pt_qty,pt_value,pt_duty,sx_qty,sx_value,sx_duty,efc_qty,efc_value,efc_duty,closes
1899,cdn_34_5_1899,0,24,GP,"2 "" "" casks.....",joined_weak,position,,54,23.54,23,8.64,,,,,,,54,23,8.64,2
1899,cdn_34_5_1899,0,28,GP,,right_only,,,,,939,187.8,,4094,614.1,,,,,5033,801.9,2
1899,cdn_34_5_1899,0,38,GP,"4 Animals, living, viz. :— Hogs..... > Ontario .....",joined_weak,position,40,6,40,6,0.6,,,,,,,,40,0.6,0
1899,cdn_34_5_1899,1,1,GP,Switzerland.....,left_only,,28,2226,,,,,,,,,,,,,
1899,cdn_34_5_1899,1,4,GP,Quebec.....,joined_weak,position,628,38240,1,74,14.8,,,,,,,1.74,14.8,,-1
1899,cdn_34_5_1899,1,20,GP,"3 "" Sheep..... > Great Britain.....",left_only,,46,2460,,,,,,,,,,,,,
1899,cdn_34_5_1899,1,22,GP,Total..... > Quebec.....,joined_weak,position,65,2510,19,50,10.0,,,,,,,19.5,10.0,,-1
1899,cdn_34_5_1899,2,17,GP,3 Baking powders..... > United States.....,joined_weak,position,23125,6135,1412,381,84.72,,117,22.39,,,,,498,107.11,2
1899,cdn_34_5_1899,5,12,GP,,right_only,,,,,21727,5430.5,,5830,1092.18,,,,,27557,6522.68,2
1899,cdn_34_5_1899,5,20,GP,,right_only,,,,,,,,25,4.6899999999999995,,,,,25,4.6899999999999995,2
1899,cdn_34_5_1899,5,37,GP,"Total..... > 4 Boats—Open pleasure sail boats, skiffs and canoes.....",joined_weak,position,,25,923.24,874,218.5,1,49,9.19,,,,25,923,227.69,2
1899,cdn_34_5_1899,5,41,GP,"4 Boats—Open pleasure sail boats, skiffs and canoes.....",joined_weak,position,,23,867.21,777,194.25,,,,,,,21,777,194.25,2
1899,cdn_34_5_1899,5,43,GP,"4 Boats—Open pleasure sail boats, skiffs and canoes.....",joined_weak,position,,85,1714.85,1714,428.5,,,,,,,85,1714,428.5,2
1899,cdn_34_5_1899,6,0,GP,1 Bolsters and pillows..... > Great Britain.....,left_only,,,312,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,1,GP,United States.....,left_only,,,1749,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,2,GP,Total..... > Ontario.....,left_only,,,1458,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,3,GP,Quebec.....,left_only,,,167,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,7,GP,"2 Bone, manufactures of, N.E.S..... > Great Britain.....",left_only,,,9066,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,8,GP,China.....,left_only,,,1,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,9,GP,France.....,left_only,,,987,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,10,GP,Germany.....,left_only,,,338,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,11,GP,Holland.....,left_only,,,1,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,12,GP,Japan.....,left_only,,,39,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,13,GP,United States.....,left_only,,,11744,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,14,GP,Total..... > Ontario.....,left_only,,,7330,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,15,GP,Quebec.....,left_only,,,3312,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,16,GP,Nova Scotia.....,left_only,,,5453,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,17,GP,N. Brunswick.....,left_only,,,105,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,18,GP,Manitoba.....,left_only,,,137,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,19,GP,B. Columbia.....,left_only,,,5803,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,20,GP,Yukon.....,left_only,,,36,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,21,GP,,left_only,,,22176,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,22,GP,"3 Books, printed; periodicals and pamphlets, N.E.S..... > Great Britain.....",left_only,,,170208,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,23,GP,Australasia.....,left_only,,,25,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,24,GP,Hong Kong.....,left_only,,,4,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,25,GP,Newfoundland.....,left_only,,,17,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,26,GP,Belgium.....,left_only,,,1348,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,27,GP,China.....,left_only,,,19,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,28,GP,France.....,left_only,,,31232,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,29,GP,Germany.....,left_only,,,1060,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,30,GP,Holland.....,left_only,,,202,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,31,GP,Japan.....,left_only,,,27,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,32,GP,United States.....,left_only,,,477351,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,33,GP,Total..... > Ontario.....,left_only,,,407279,,,,,,,,,,,,,
1899,cdn_34_5_1899,6,34,GP,Quebec.....,left_only,,,152227,,,,,,,,,,,,,
