fiscal_year,volume,pair_id,row_seq,era,labels,align_status,key,tot_imp_qty,tot_imp_value,gt_qty,gt_value,gt_duty,pt_qty,pt_value,pt_duty,sx_qty,sx_value,sx_duty,efc_qty,efc_value,efc_duty,closes
1907,statcan_nibi_w2_1907,0,16,SX,Hogs..... > Great Britain...,left_only,,250,60,,,,,,,,,,,,,
1907,statcan_nibi_w2_1907,0,19,SX,Horned cattle..... > Great Britain...,left_only,,12,2500,,,,,,,,,,,,,
1907,statcan_nibi_w2_1907,0,32,SX,Sheep..... > Great Britain...,left_only,,441,14030,,,,,,,,,,,,,
1907,statcan_nibi_w2_1907,1,17,SX,France...,left_only,,72,27,72,27,4.32,,,,,,,,,,
1907,statcan_nibi_w2_1907,1,19,SX,,right_only,,,,,,,,250,44,,,,,83362,17551.18,0
1907,statcan_nibi_w2_1907,1,20,SX,,right_only,,,,,,,,,,,,,,292603,17551.18,0
1907,statcan_nibi_w2_1907,1,21,SX,Total...,joined_weak,position,293957,83914,292353,83399,17541.18,,3827,885.66,,,,,83443,17551.18,0
1907,statcan_nibi_w2_1907,4,14,SX,Holland,left_only,,52,10,,,,,,,,,,,,,
1907,statcan_nibi_w2_1907,4,26,SX,Portugal,left_only,,,7,,,,,,,,,,,,,
1907,statcan_nibi_w2_1907,5,12,SX,France...,joined_weak,position,4347,1328,3582,1134,537.3,,,,,,,,17,537.5,0
1907,statcan_nibi_w2_1907,5,14,SX,,right_only,,,,,,,,,,,,,,2581,,0
1907,statcan_nibi_w2_1907,6,0,SX,Great Britain.....,joined_weak,position,,132536,,8940,1894.8,105078,14726.67,,17647,5168.13,,131665,21789.6,,0
1907,statcan_nibi_w2_1907,6,1,SX,Hong Kong.....,joined_weak,position,,42,,42,8.65,,,,790,230.99,,42,8.65,,-1
1907,statcan_nibi_w2_1907,6,2,SX,Aust. Hungary.....,joined_weak,position,,3125,,2335,539.3,,,,,,,3125,770.29,,0
1907,statcan_nibi_w2_1907,6,3,SX,Belgium.....,joined_weak,position,,3181,,3181,697.1,,,,,,,3181,697.1,,0
