reldiff,volume,group,article,year,country_sum,t1_value,tier,n_cells
0.00000,as_1872,EMBROIDERY and NEEDLEWORK,,1872,87097.0,87097.0,A,7
0.00000,as_1872,"FLOWERS, ARTIFICIAL",,1872,411540.0,411540.0,A,4
0.00000,as_1872,LEATHER MANUFACTURES,"Manufactures, Unenumerated",1872,139209.0,139209.0,C,7
0.00000,as_1872,SILK MANUFACTURES,Of Countries out of Europe,1872,287258.0,287258.0,A,6
0.00000,as_1872,Toys,,1872,325242.0,325242.0,A,6
0.00000,as_1872,WATCHES,,1872,351199.0,351199.0,A,4
0.00000,as_1873,"DRUGS, Unenumerated",,1873,334377.0,334377.0,A,13
0.00000,as_1873,EMBROIDERY and NEEDLEWORK,,1873,87419.0,87419.0,A,6
0.00000,as_1873,LEATHER MANUFACTURES,"Manufactures, Unenumerated",1873,183259.0,183259.0,C,7
0.00000,as_1873,LINEN MANUFACTURES,,1873,234903.0,234903.0,A,8
0.00000,as_1873,MUSICAL INSTRUMENTS,,1873,602106.0,602106.0,A,7
0.00000,as_1873,SILK MANUFACTURES,Of Countries out of Europe,1873,284889.0,284889.0,A,6
0.00000,as_1873,TOYS,,1873,305056.0,305056.0,A,6
0.00000,as_1873,Watches,,1873,407283.0,407283.0,A,4
0.00000,as_1874,LEATHER MANUFACTURES,"Manufactures, Unenumerated",1874,254833.0,254833.0,C,7
0.00000,as_1874,MUSICAL INSTRUMENTS,,1874,747710.0,747710.0,A,7
0.00000,as_1874,TOYS,,1874,294257.0,294257.0,A,6
0.00000,as_1875,EMBROIDERY and NEEDLEWORK,,1875,94105.0,94105.0,A,6
0.00000,as_1875,LEATHER MANUFACTURES,"Manufactures, Unenumerated",1875,308290.0,308290.0,C,7
0.00000,as_1875,LINEN MANUFACTURES,,1875,216427.0,216427.0,A,8
0.00000,as_1875,MUSICAL INSTRUMENTS,,1875,633857.0,633857.0,A,6
0.00000,as_1875,SILK MANUFACTURES,Of Countries out of Europe,1875,246200.0,246200.0,A,5
0.00000,as_1875,WATCHES,,1875,451197.0,451197.0,A,4
0.00000,as_1876,EMBROIDERY and NEEDLEWORK,,1876,106483.0,106483.0,A,6
0.00000,as_1876,"FLOWERS, ARTIFICIAL",,1876,527001.0,527001.0,A,5
0.00000,as_1876,LEATHER MANUFACTURES,"Manufactures, Unenumerated",1876,233204.0,233204.0,B,7
0.00000,as_1876,MUSICAL INSTRUMENTS,,1876,574220.0,574220.0,A,6
0.00000,as_1876,SILK MANUFACTURES,Of Countries out of Europe,1876,260331.0,260331.0,A,5
0.00000,as_1876,TOYS,,1876,428794.0,428794.0,A,6
0.00000,as_1876,"VEGETABLES, Unenumerated",,1876,199413.0,199413.0,B,6
0.00000,as_1876,WATCHES,,1876,450067.0,450067.0,A,5
0.00000,as_1877,"DRUGS, Unenumerated",,1877,481501.0,481501.0,A,18
0.00000,as_1877,"FLOWERS, ARTIFICIAL",,1877,588828.0,588828.0,A,5
0.00000,as_1877,LINEN MANUFACTURES,,1877,289459.0,289459.0,C,8
0.00000,as_1877,MUSICAL INSTRUMENTS,,1877,615702.0,615702.0,A,6
0.00000,as_1877,PAINTERS' COLOURS AND PIGMENTS,,1877,759552.0,759552.0,A,7
0.00000,as_1877,SILK MANUFACTURES,Of Countries out of Europe,1877,229166.0,229166.0,B,4
0.00000,as_1877,"VEGETABLES, Unenumerated",,1877,216463.0,216463.0,A,6
0.00000,as_1877,WATCHES,,1877,504164.0,504164.0,A,4
0.00000,as_1878,EMBROIDERY and NEEDLEWORK,,1878,82428.0,82428.0,A,6
0.00000,as_1878,LEATHER MANUFACTURES,"Manufactures, Unenumerated",1878,613492.0,613492.0,A,7
0.00000,as_1878,LINEN MANUFACTURES,,1878,236611.0,236611.0,B,8
0.00000,as_1878,MUSICAL INSTRUMENTS,,1878,610045.0,610045.0,A,7
0.00000,as_1878,PAINTERS' COLOURS AND PIGMENTS,,1878,719740.0,719740.0,A,7
0.00000,as_1878,SILK MANUFACTURES,Of Countries out of Europe,1878,224787.0,224787.0,B,4
0.00000,as_1878,TOYS,,1878,554926.0,554926.0,A,7
0.00000,as_1878,"VEGETABLES, Unenumerated",,1878,264525.0,264525.0,A,6
0.00000,as_1878,WATCHES,,1878,512468.0,512468.0,A,4
0.00000,as_1879,"BUTTONS and STUDS, not of Metal",,1879,567055.0,567055.0,A,5
0.00000,as_1879,EMBROIDERY and NEEDLEWORK,,1879,48038.0,48038.0,A,5
0.00000,as_1879,"FLOWERS, ARTIFICIAL",,1879,471145.0,471145.0,A,5
0.00000,as_1879,LINEN MANUFACTURES,,1879,199680.0,199680.0,B,7
0.00000,as_1879,MUSICAL INSTRUMENTS,,1879,564509.0,564509.0,A,7
0.00000,as_1879,SILK MANUFACTURES,Of Countries out of Europe,1879,330744.0,330744.0,B,4
0.00000,as_1879,TOYS,,1879,449919.0,449919.0,A,7
0.00000,as_1879,"VEGETABLES, Unenumerated",,1879,338457.0,338457.0,A,6
0.00000,as_1879,WATCHES,,1879,458588.0,458588.0,A,5
0.00000,as_1880,EMBROIDERY and NEEDLEWORK,,1880,45240.0,45240.0,A,6
0.00000,as_1880,LEATHER MANUFACTURES,Unenumerated,1880,278753.0,278753.0,A,7
0.00000,as_1880,MUSICAL INSTRUMENTS,,1880,706878.0,706878.0,A,7
0.00000,as_1880,SILK MANUFACTURES,Of Countries out of Europe,1880,239852.0,239852.0,B,4
0.00000,as_1880,"VEGETABLES, Unenumerated",,1880,369717.0,369717.0,A,6
0.00000,as_1880,WATCHES,,1880,427663.0,427663.0,A,6
0.00000,as_1881,"FLOWERS, ARTIFICIAL",,1881,497644.0,497644.0,A,5
0.00000,as_1881,LEATHER MANUFACTURES,Unenumerated,1881,305162.0,305162.0,A,7
0.00000,as_1881,LINEN,MANUFACTURES,1881,254055.0,254055.0,A,8
0.00000,as_1881,SILK MANUFACTURES,Of Countries out of Europe,1881,168451.0,168451.0,C,4
0.00000,as_1881,Toys,,1881,546206.0,546206.0,A,7
0.00000,as_1881,"VEGETABLES, Unenumerated",,1881,393072.0,393072.0,B,8
0.00000,as_1881,WATCHES,,1881,467830.0,467830.0,A,4
0.00000,as_1882,"CHEMICAL MANUFACTURES and PRODUCTS, Unenumerated",,1882,1519201.0,1519201.0,A,12
0.00000,as_1882,MUSICAL INSTRUMENTS,,1882,899792.0,899792.0,A,7
0.00000,as_1882,PAINTERS' COLOURS AND PIGMENTS,,1882,870234.0,870234.0,B,7
0.00000,as_1882,TOYS,,1882,525597.0,525597.0,A,6
0.00000,as_1882,"VEGETABLES, Raw; Unenumerated",,1882,416409.0,416409.0,A,8
0.00000,as_1883,"FLOWERS, ARTIFICIAL",,1883,452824.0,452824.0,A,6
0.00000,as_1883,MUSICAL INSTRUMENTS,,1883,879814.0,879814.0,A,16
0.00000,as_1883,TOYS,,1883,555012.0,555012.0,A,9
0.00000,as_1884,"FLOWERS, ARTIFICIAL",,1884,332256.0,332256.0,A,6
0.00000,as_1884,MUSICAL INSTRUMENTS,,1884,815188.0,815188.0,A,8
0.00000,as_1884,"SHELLS, of all KINDS",,1884,289335.0,289335.0,B,21
0.00000,as_1885,EMBROIDERY and NEEDLEWORK,,1885,153652.0,153652.0,A,13
0.00000,as_1885,"FLOWERS, ARTIFICIAL",,1885,298288.0,298288.0,A,9
0.00000,as_1885,MUSICAL INSTRUMENTS,,1885,729576.0,729576.0,A,12
0.00000,as_1885,Toys,,1885,572792.0,572792.0,A,12
0.00000,as_1886,EMBROIDERY and NEEDLEWORK,,1886,194046.0,194046.0,A,13
0.00000,as_1886,LEATHER Manufactures,Unenumerated,1886,167480.0,167480.0,B,11
0.00000,as_1886,MATCHES,,1886,417644.0,417644.0,A,9
0.00000,as_1886,MUSICAL INSTRUMENTS,,1886,729805.0,729805.0,A,14
0.00000,as_1886,SHELLS of all kinds,,1886,277056.0,277056.0,A,18
0.00000,as_1887,CHEMICAL MANUFACTURES and PRODUCTS,,1887,1313293.0,1313293.0,A,19
