article_group,article,volume,rows,median_other_volumes,ratio,other_volumes,seq_start,seq_end,years,span
NUTS AND KERNELS,Eastern Coast of Africa,as_1897,1352,65,20.8,1,14388,17154,1893-1897,2767
PAPER,Hangings,as_1898,1065,6,177.5,21,16072,17136,1894-1898,1065
METAL,"Leaf, not Gold",as_1898,629,5,125.8,21,13733,14361,1894-1898,629
DYE WOODS,Logwood,as_1898,535,8,66.9,21,5748,6282,1894-1898,535
POTATOES,,as_1897,492,12,41.0,25,17479,17970,1893-1897,492
LEAD,Pig and Sheet,as_1897,482,9,53.6,10,12025,12506,1893-1897,482
PAPER,Strawboard and Millboard,as_1899,361,12,30.1,2,16083,16443,1895-1899,361
TOBACCO,Cigars,as_1899,360,13,27.7,13,27136,27495,1895-1899,360
Cotton,Tares and Lentils,as_1899,351,5,70.2,19,18404,18754,1895-1899,351
SPIRITS,Brandy,as_1897,342,12,28.5,15,26881,27222,1893-1897,342
PORK,Fresh,as_1899,340,7,48.6,24,17238,17577,1895-1899,340
FRUIT,"Unenumerated, Dried",as_1899,325,12,27.1,3,7760,8084,1895-1899,325
"CARDS, PLAYING",,as_1897,312,8,39.0,16,25749,26060,1893-1897,312
FRUIT,"Nuts, used as Fruit",as_1899,285,16,17.8,13,7333,7617,1895-1899,285
TOBACCO,Unmanufactured,as_1898,278,21,13.2,13,27053,27330,1894-1898,278
HATS OR BONNETS,Of Other Materials,as_1899,278,11,25.3,8,9505,9782,1895-1899,278
TOYS,,as_1897,249,9,27.7,17,22482,22730,1893-1897,249
Horse,,as_1899,238,9,26.4,5,9120,9357,1895-1899,238
SALTPETRE (Nitrate of Potash),,as_1898,226,9,25.1,13,17937,18162,1894-1898,226
SLATES,,as_1899,223,8,27.9,3,20288,20510,1895-1899,223
FRUIT,"Rum, Imitation",as_1898,223,5,44.6,3,26495,26717,1894-1898,223
WOOLLEN YARN,Unenumerated,as_1897,222,4,55.5,21,24464,24820,1893-1897,357
SPIRITS,Rum,as_1887,213,17,12.5,18,72,284,1887-1887,213
SUGAR,"Glucose, Solid or Liquid",as_1899,211,5,42.2,7,21683,21893,1895-1899,211
"ANIMALS, LIVING",Geldings,as_1899,186,18,10.3,8,501,686,1895-1899,186
SPIRITS,Perfumed,as_1897,185,11,16.8,4,27223,27407,1893-1897,185
MANURES,Phosphate of Lime and Rock,as_1899,159,14,11.4,12,13265,13423,1895-1899,159
HEMP,Tow,as_1897,155,7,22.1,1,9742,9896,1893-1897,155
GUM,"Lac, Seed, Shell, Stick, and Dye",as_1899,106,4,26.5,13,8648,8753,1895-1899,106
"SAUCES or CONDIMENTS, Unenumerated",,as_1899,100,5,20.0,12,17875,17974,1895-1899,100
IRON,"Steel, Unwrought",as_1899,100,9,11.1,16,11092,11191,1895-1899,100
